cell,track,dose_deg,tp50_ar21_count,tp75_total_count,tp75_over_tp50_ar21,AP50,AP75,status
DIOR-R/22,P,0,49736,33653,0.6766326202348399,0.5367777305863244,0.3503169642709411,exact_tau75_evaluator_survival
DIOR-R/22,P,15,46024,1844,0.04006605249435077,0.5041689465061905,0.2283443623207002,exact_tau75_evaluator_survival
DIOR-R/22,P,30,18807,4,0.00021268676556601265,0.4164062452069789,0.21705578499096015,exact_tau75_evaluator_survival
DIOR-R/3,D,0,54945,43227,0.7867321867321867,0.6447894824490826,0.42751614932966026,exact_tau75_evaluator_survival
DIOR-R/3,D,15,49296,102,0.002069133398247322,0.5592183025690838,0.25327981160338203,exact_tau75_evaluator_survival
DIOR-R/3,D,30,17694,0,0.0,0.4403849321187702,0.25286892047902887,exact_tau75_evaluator_survival
DIOR-R/61,S,0,53388,41297,0.773525885966884,0.6462051923401343,0.45151851121447273,exact_tau75_evaluator_survival
DIOR-R/61,S,15,49107,3544,0.07216893721872646,0.5759374506427777,0.2788079495902608,exact_tau75_evaluator_survival
DIOR-R/61,S,30,22928,1,4.3614794138171665e-05,0.4604342139004708,0.261155503485448,exact_tau75_evaluator_survival
FAIR1M-v1.0/24,P,0,29391,10312,0.35085570412711375,0.34667685487637717,0.24236736977228834,exact_tau75_evaluator_survival
FAIR1M-v1.0/24,P,15,26140,369,0.014116296863045141,0.3181459160715411,0.20500272985635304,exact_tau75_evaluator_survival
FAIR1M-v1.0/24,P,30,9219,1,0.00010847163466753444,0.2756215930033872,0.2043088667029021,exact_tau75_evaluator_survival
SODA-A/23,D,0,219127,100397,0.45816809430147815,0.6030454864020368,0.2745748095604141,exact_tau75_evaluator_survival
SODA-A/23,D,15,184108,9,4.8884350489929826e-05,0.5444061848627443,0.1845965838744109,exact_tau75_evaluator_survival
SODA-A/23,D,30,99958,0,0.0,0.4384844345460353,0.1843402650761048,exact_tau75_evaluator_survival
SODA-A/4,S,0,262335,156557,0.596782739626813,0.729527646331421,0.3805299193553744,exact_tau75_evaluator_survival
SODA-A/4,S,15,239535,10643,0.04443192017867952,0.6321988216077142,0.20853499881609638,exact_tau75_evaluator_survival
SODA-A/4,S,30,163314,22,0.00013470982279535128,0.5092910023090159,0.2059381931220463,exact_tau75_evaluator_survival
