aspect_ratio,ideal_delta_0.50_deg,ideal_delta_0.75_deg
1.0,90.0,25.6
1.0099,90.0,25.6
1.0198,90.0,25.6
1.0297,90.0,25.5
1.0396,90.0,25.5
1.0495,90.0,25.5
1.0595,90.0,25.4
1.0694,90.0,25.4
1.0793,90.0,25.3
1.0892,90.0,25.3
1.0991,90.0,25.2
1.109,90.0,25.1
1.1189,90.0,25.1
1.1288,90.0,25.0
1.1387,90.0,24.9
1.1486,90.0,24.8
1.1586,90.0,24.7
1.1685,90.0,24.6
1.1784,90.0,24.5
1.1883,90.0,24.4
1.1982,90.0,24.3
1.2081,90.0,24.2
1.218,90.0,24.1
1.2279,90.0,24.0
1.2378,90.0,23.9
1.2477,90.0,23.8
1.2577,90.0,23.7
1.2676,90.0,23.6
1.2775,90.0,23.5
1.2874,90.0,23.3
1.2973,90.0,23.2
1.3072,90.0,23.1
1.3171,90.0,23.0
1.327,90.0,22.9
1.3369,90.0,22.8
1.3468,90.0,22.6
1.3568,90.0,22.5
1.3667,90.0,22.4
1.3766,90.0,22.3
1.3865,90.0,22.2
1.3964,90.0,22.0
1.4063,90.0,21.9
1.4162,90.0,21.8
1.4261,90.0,21.7
1.436,90.0,21.6
1.4459,90.0,21.5
1.4559,90.0,21.3
1.4658,90.0,21.2
1.4757,90.0,21.1
1.4856,90.0,21.0
1.4955,90.0,20.9
1.5054,85.2,20.8
1.5153,81.9,20.7
1.5252,79.6,20.5
1.5351,77.8,20.4
1.545,76.2,20.3
1.555,74.8,20.2
1.5649,73.5,20.1
1.5748,72.3,20.0
1.5847,71.2,19.9
1.5946,70.2,19.8
1.6045,69.3,19.7
1.6144,68.3,19.6
1.6243,67.5,19.5
1.6342,66.7,19.4
1.6441,65.9,19.3
1.6541,65.1,19.2
1.664,64.4,19.1
1.6739,63.7,19.0
1.6838,63.0,18.9
1.6937,62.4,18.8
1.7036,61.8,18.7
1.7135,61.1,18.6
1.7234,60.6,18.5
1.7333,60.0,18.4
1.7432,59.4,18.3
1.7532,58.9,18.2
1.7631,58.3,18.1
1.773,57.8,18.0
1.7829,57.2,17.9
1.7928,56.7,17.8
1.8027,56.2,17.7
1.8126,55.7,17.6
1.8225,55.2,17.6
1.8324,54.7,17.5
1.8423,54.2,17.4
1.8523,53.7,17.3
1.8622,53.2,17.2
1.8721,52.8,17.1
1.882,52.3,17.0
1.8919,51.9,17.0
1.9018,51.4,16.9
1.9117,51.0,16.8
1.9216,50.6,16.7
1.9315,50.2,16.6
1.9414,49.7,16.6
1.9514,49.3,16.5
1.9613,48.9,16.4
1.9712,48.6,16.3
1.9811,48.2,16.2
1.991,47.8,16.2
2.0009,47.4,16.1
2.0108,47.1,16.0
2.0207,46.7,15.9
2.0306,46.4,15.9
2.0405,46.0,15.8
2.0505,45.7,15.7
2.0604,45.3,15.7
2.0703,45.0,15.6
2.0802,44.7,15.5
2.0901,44.4,15.4
2.1,44.1,15.4
2.2,41.2,14.7
2.3,38.7,14.1
2.4,36.5,13.5
2.5,34.6,13.0
2.6,32.9,12.5
2.7,31.4,12.1
2.8,30.0,11.7
2.9,28.8,11.3
3.0,27.6,10.9
3.1,26.6,10.5
3.2,25.6,10.2
3.3,24.7,9.9
3.4,23.9,9.6
3.5,23.1,9.4
3.6,22.4,9.1
3.7,21.8,8.9
3.8,21.1,8.6
3.9,20.5,8.4
4.0,20.0,8.2
4.1,19.4,8.0
4.2,18.9,7.8
4.3,18.5,7.6
4.4,18.0,7.5
4.5,17.6,7.3
4.6,17.2,7.1
4.7,16.8,7.0
4.8,16.4,6.9
4.9,16.1,6.7
5.0,15.7,6.6
5.1,15.4,6.5
5.2,15.1,6.3
5.3,14.8,6.2
5.4,14.5,6.1
5.5,14.2,6.0
5.6,14.0,5.9
5.7,13.7,5.8
5.8,13.5,5.7
5.9,13.2,5.6
6.0,13.0,5.5
6.1,12.8,5.4
6.2,12.6,5.3
6.3,12.4,5.2
6.4,12.2,5.2
6.5,12.0,5.1
6.6,11.8,5.0
6.7,11.6,4.9
6.8,11.4,4.9
6.9,11.3,4.8
7.0,11.1,4.7
7.1,10.9,4.7
7.2,10.8,4.6
7.3,10.6,4.5
7.4,10.5,4.5
7.5,10.4,4.4
7.6,10.2,4.4
7.7,10.1,4.3
7.8,9.9,4.2
7.9,9.8,4.2
8.0,9.7,4.1
8.1,9.6,4.1
8.2,9.5,4.0
8.3,9.3,4.0
8.4,9.2,3.9
8.5,9.1,3.9
8.6,9.0,3.9
8.7,8.9,3.8
8.8,8.8,3.8
8.9,8.7,3.7
9.0,8.6,3.7
9.1,8.5,3.6
9.2,8.4,3.6
9.3,8.3,3.6
9.4,8.2,3.5
9.5,8.1,3.5
9.6,8.1,3.5
9.7,8.0,3.4
9.8,7.9,3.4
9.9,7.8,3.4
10.0,7.7,3.3
