cell,track,dose_deg,stratum,matched_count,severe_count,severe_rate,AP50,AP75,fp50
DIOR-R/22,P,0,all,49736,299,0.00601174199774811,0.5367777305863244,0.35031696427094106,149785
DIOR-R/22,P,0,ar21_3,28080,93,0.003311965811965812,0.5367777305863244,0.35031696427094106,149785
DIOR-R/22,P,0,ar3_5,15678,117,0.007462686567164179,0.5367777305863244,0.35031696427094106,149785
DIOR-R/22,P,0,ar5_plus,2115,62,0.029314420803782507,0.5367777305863244,0.35031696427094106,149785
DIOR-R/22,P,2,all,49672,452,0.0090996939925914,0.5385082275592783,0.3479654036130157,149849
DIOR-R/22,P,2,ar21_3,28066,114,0.004061854200812371,0.5385082275592783,0.3479654036130157,149849
DIOR-R/22,P,2,ar3_5,15670,160,0.01021059349074665,0.5385082275592783,0.3479654036130157,149849
DIOR-R/22,P,2,ar5_plus,2079,151,0.07263107263107263,0.5385082275592783,0.3479654036130157,149849
DIOR-R/22,P,5,all,49389,1815,0.036749073680374174,0.5361946684079123,0.3375023249496017,150132
DIOR-R/22,P,5,ar21_3,28034,316,0.011272026824570165,0.5361946684079123,0.3375023249496017,150132
DIOR-R/22,P,5,ar3_5,15608,735,0.0470912352639672,0.5361946684079123,0.3375023249496017,150132
DIOR-R/22,P,5,ar5_plus,1899,731,0.3849394418114797,0.5361946684079123,0.3375023249496017,150132
DIOR-R/22,P,10,all,48303,13497,0.27942363828333644,0.5218150843211297,0.2955357794046735,151218
DIOR-R/22,P,10,ar21_3,27917,3586,0.12845219758570048,0.5218150843211297,0.2955357794046735,151218
DIOR-R/22,P,10,ar3_5,15328,8623,0.5625652400835073,0.5218150843211297,0.2955357794046735,151218
DIOR-R/22,P,10,ar5_plus,1250,1188,0.9504,0.5218150843211297,0.2955357794046735,151218
DIOR-R/22,P,15,all,46024,37349,0.8115113853641578,0.5041689465061905,0.22834436232070016,153497
DIOR-R/22,P,15,ar21_3,27609,22178,0.8032887826433409,0.5041689465061905,0.22834436232070016,153497
DIOR-R/22,P,15,ar3_5,14312,13933,0.9735187255449972,0.5041689465061905,0.22834436232070016,153497
DIOR-R/22,P,15,ar5_plus,364,361,0.9917582417582418,0.5041689465061905,0.22834436232070016,153497
DIOR-R/22,P,20,all,41786,40901,0.978820657636529,0.4818767908191475,0.2171260892971522,157735
DIOR-R/22,P,20,ar21_3,26833,26421,0.9846457719971676,0.4818767908191475,0.2171260892971522,157735
DIOR-R/22,P,20,ar3_5,11295,11254,0.9963700752545374,0.4818767908191475,0.2171260892971522,157735
DIOR-R/22,P,20,ar5_plus,17,17,1.0,0.4818767908191475,0.2171260892971522,157735
