cell,track,dose_deg,stratum,status
DIOR-R/22,P,0,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,0,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,0,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,0,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,2,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,2,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,2,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,2,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,5,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,5,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,5,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,5,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,10,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,10,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,10,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,10,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,15,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,15,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,15,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,15,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,20,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,20,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,20,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,20,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,25,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,25,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,25,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,25,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,30,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,30,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,30,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,P,30,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,0,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,0,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,0,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,0,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,2,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,2,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,2,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,2,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,5,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,5,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,5,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,5,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,10,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,10,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,10,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,10,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,15,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,15,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,15,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,15,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,20,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,20,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,20,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,20,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,25,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,25,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,25,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,25,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,30,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,30,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,30,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,D,30,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,0,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,0,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,0,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,0,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,2,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,2,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,2,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,2,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,5,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,5,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,5,"[3,5)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,5,"[5,+inf)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,10,all,NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,10,"[2.1,3)",NOT_RUN_EVALUATOR_R010
DIOR-R/22,S,10,"[3,5)",NOT_RUN_EVALUATOR_R010
