cell,dose_deg,component,AP50,AP75,severe_rate
DIOR-R/22,0,+,0.5367777305863244,0.35031696427094106,0.00601174199774811
DIOR-R/22,0,-,0.5367777305863244,0.35031696427094106,0.00601174199774811
DIOR-R/22,2,+,0.5385082275592782,0.3479654036130158,0.0090996939925914
DIOR-R/22,2,-,0.5365087283215557,0.3481091062080778,0.009755803194271231
DIOR-R/22,5,+,0.5361946684079123,0.3375023249496017,0.036749073680374174
DIOR-R/22,5,-,0.5338690623718017,0.33717796458687066,0.037325668481671154
DIOR-R/22,10,+,0.5218150843211296,0.29553577940467357,0.27942363828333644
DIOR-R/22,10,-,0.52263248495819,0.29368274800104427,0.2673706004140787
DIOR-R/22,15,+,0.5041689465061905,0.2283443623207002,0.8115113853641578
DIOR-R/22,15,-,0.504367631836336,0.2277632379083811,0.8035846670446121
DIOR-R/22,20,+,0.4818767908191476,0.21712608929715227,0.978820657636529
DIOR-R/22,20,-,0.48321090273744377,0.21705951403266405,0.9790500789209355
DIOR-R/22,25,+,0.4511358934026884,0.21705593138712573,0.9945773720167888
DIOR-R/22,25,-,0.4509248633512876,0.21705395079690987,0.9946702198534311
DIOR-R/22,30,+,0.416406245206979,0.21705578499096015,0.9969692135906844
DIOR-R/22,30,-,0.41650270109962884,0.21705395079690987,0.9967825307241943
DIOR-R/3,0,+,0.6447894824490825,0.4275096655454352,0.005532805532805533
DIOR-R/3,0,-,0.6447894824490825,0.4275096655454352,0.005532805532805533
DIOR-R/3,2,+,0.6430871044134634,0.4239903700184944,0.009508369915663308
DIOR-R/3,2,-,0.6431657521345981,0.42386788521405555,0.009967927691522705
DIOR-R/3,5,+,0.635259662530012,0.4052769897261898,0.04703641292402374
DIOR-R/3,5,-,0.6371210392935287,0.40752579534918876,0.046408475228651554
DIOR-R/3,10,+,0.6056598701370193,0.3417645227040689,0.2979459784816793
DIOR-R/3,10,-,0.6064462751900173,0.3403320102294885,0.29640774873048714
DIOR-R/3,15,+,0.5681996646526173,0.26288089230105294,0.81171581238868
DIOR-R/3,15,-,0.5686679337314339,0.27014940660222436,0.8057820167801172
DIOR-R/3,20,+,0.5407155771939552,0.2528797668534247,0.9748612962883317
DIOR-R/3,20,-,0.5387742880281247,0.25288093214084656,0.9767391772560844
DIOR-R/3,25,+,0.49872000076377176,0.252866628694224,0.9937775199725789
DIOR-R/3,25,-,0.5001889241118158,0.2528634734761542,0.9951300410655997
DIOR-R/3,30,+,0.4551021700722565,0.25286234844594707,0.9973316117925544
DIOR-R/3,30,-,0.4539881906551007,0.25286247751584356,0.9974910239217891
DIOR-R/61,0,+,0.6462051923401344,0.45151851121447273,0.008822207237581479
DIOR-R/61,0,-,0.6462051923401344,0.45151851121447273,0.008822207237581479
DIOR-R/61,2,+,0.6449571366427362,0.44666312504547456,0.013426594408085961
DIOR-R/61,2,-,0.6449461321438554,0.4475747816329466,0.012396384231649226
DIOR-R/61,5,+,0.6366021637933902,0.42138839293330915,0.05003679175864607
DIOR-R/61,5,-,0.6378229426840853,0.42262693009496843,0.0481979944205685
DIOR-R/61,10,+,0.6094557848185802,0.36184316097669267,0.30403887856257744
DIOR-R/61,10,-,0.6113003924852864,0.35634704238810366,0.3034654709213553
DIOR-R/61,15,+,0.5759374506427777,0.2788079495902608,0.801392876779278
DIOR-R/61,15,-,0.5768184986785948,0.2841312166594291,0.8037074760643715
DIOR-R/61,20,+,0.5440324559194372,0.26121117056234494,0.9739435997171145
DIOR-R/61,20,-,0.5430542617887919,0.2632590313892545,0.9759820030436029
DIOR-R/61,25,+,0.5057964711531172,0.261157050622445,0.9931449993305663
DIOR-R/61,25,-,0.5064753519123839,0.26115718608929084,0.9937956301981654
DIOR-R/61,30,+,0.4604342139004708,0.261155503485448,0.9965544312630844
DIOR-R/61,30,-,0.45841507950562316,0.2611560191977803,0.9966541932643628
FAIR1M-v1.0/24,0,+,0.3466768548763771,0.24236736977228823,0.004423122724643598
FAIR1M-v1.0/24,0,-,0.3466768548763771,0.24236736977228823,0.004423122724643598
FAIR1M-v1.0/24,2,+,0.3464481864197555,0.24066266866620808,0.007417993738941064
FAIR1M-v1.0/24,2,-,0.34659141437640806,0.24026695453863356,0.006800870511425462
FAIR1M-v1.0/24,5,+,0.34576234370105047,0.22973028180678795,0.04623053810434308
FAIR1M-v1.0/24,5,-,0.34612836947902553,0.23065254848864228,0.04870395634379263
FAIR1M-v1.0/24,10,+,0.3390118379310504,0.2155059474803573,0.30168399677904983
FAIR1M-v1.0/24,10,-,0.34020806952173466,0.21643215904248936,0.3216964598668069
FAIR1M-v1.0/24,15,+,0.31814591607154113,0.20500272985635304,0.7475133894414691
FAIR1M-v1.0/24,15,-,0.3176759782919909,0.2049905151253462,0.7783305905315933
FAIR1M-v1.0/24,20,+,0.30455251719915405,0.20431213016258604,0.9511075809725532
FAIR1M-v1.0/24,20,-,0.3057728054709278,0.20430982047023966,0.9600872118892942
FAIR1M-v1.0/24,25,+,0.28999581719840656,0.20430916654510273,0.9912610753732249
FAIR1M-v1.0/24,25,-,0.29221525755313793,0.2043092712299495,0.9915867615218064
FAIR1M-v1.0/24,30,+,0.2756215930033871,0.20430886670290205,0.9977220956719818
FAIR1M-v1.0/24,30,-,0.2758207410504495,0.20430886670290205,0.9972375690607734
SODA-A/23,0,+,0.6030454864020368,0.2745748095604141,0.002655994012604563
SODA-A/23,0,-,0.6030454864020368,0.2745748095604141,0.002655994012604563
SODA-A/23,2,+,0.6030497257995591,0.2711262131608442,0.00401336876421116
SODA-A/23,2,-,0.6030033515301694,0.2713285038055128,0.0038340408051485693
SODA-A/23,5,+,0.6027424954451295,0.24238322960974357,0.03247124465482152
SODA-A/23,5,-,0.6026325663546919,0.24655453319478124,0.02664442108150112
SODA-A/23,10,+,0.5976582407259791,0.21131588321995928,0.261457913066867
SODA-A/23,10,-,0.5969244470218775,0.20905652851724943,0.25497937972740553
SODA-A/23,15,+,0.5507848156752997,0.18749563388848392,0.66459617611165
SODA-A/23,15,-,0.5516468920543882,0.18674063346573708,0.6751848528911302
SODA-A/23,20,+,0.5279680189331578,0.18524057603654545,0.9398492328681597
SODA-A/23,20,-,0.5299634300001357,0.18444223397125847,0.9439287318460847
SODA-A/23,25,+,0.4906936896230878,0.18444288720652538,0.9906730184209505
SODA-A/23,25,-,0.48983632291016654,0.18436400361268002,0.990423026039818
SODA-A/23,30,+,0.4527454254471095,0.18436400361268002,0.997429692063757
SODA-A/23,30,-,0.4529419074969597,0.18436400361268002,0.9973908462188177
SODA-A/4,0,+,0.7295276463314209,0.3805299193553744,0.0036137000400251586
SODA-A/4,0,-,0.7295276463314209,0.3805299193553744,0.0036137000400251586
SODA-A/4,2,+,0.729424304754581,0.37467524466093716,0.004967518604367452
SODA-A/4,2,-,0.7294329802099324,0.376194268520943,0.005452625076737118
SODA-A/4,5,+,0.7288254313456306,0.3045769225802714,0.03173639895878658
SODA-A/4,5,-,0.728936538539338,0.30879919271750517,0.033294646743072684
SODA-A/4,10,+,0.7144980890374357,0.24068647318414957,0.2636845384136165
SODA-A/4,10,-,0.7157609656804826,0.24113495152784198,0.26226201565904245
SODA-A/4,15,+,0.6321988216077142,0.20853499881609638,0.6540505562861377
SODA-A/4,15,-,0.636613999701206,0.20855992531437217,0.6667992114284279
SODA-A/4,20,+,0.5898393520092956,0.20608499904112595,0.9264611967235874
SODA-A/4,20,-,0.5902193601859606,0.20601177107813398,0.932471882561405
SODA-A/4,25,+,0.5622445203425143,0.20594976130850756,0.9877533783783784
SODA-A/4,25,-,0.564363591141973,0.20595159904353896,0.9868959745837029
SODA-A/4,30,+,0.5092910023090159,0.20593819312204634,0.9971404778524805
SODA-A/4,30,-,0.5129837916084142,0.20592554793572476,0.9967650032166161
