canonical_anon_id,dataset,class,size_bin,aspect_ratio,ar_bin,ar21,sampling_component,high_disagreement_or_ambiguous,sampling_seed
885f088889e15db7,DIOR-R,storagetank,small,1.076923,ar<1.6,False,boundary,True,20260722
f85a7daeac39ebeb,DIOR-R,storagetank,small,1.2,ar<1.6,False,boundary,True,20260722
d86f87aaf790b25f,DIOR-R,overpass,large,4.078014,ar>=2.1,True,boundary,True,20260722
807b99eb9be9279b,DIOR-R,Expressway-Service-area,medium,1.537676,ar<1.6,False,boundary,True,20260722
2826262db34abf4e,DIOR-R,harbor,medium,1.173616,ar<1.6,False,boundary,True,20260722
8b99a371bfe4d287,DIOR-R,storagetank,medium,1.413793,ar<1.6,False,boundary,True,20260722
6debc5abc56e8aeb,DIOR-R,baseballfield,small,1.272727,ar<1.6,False,boundary,True,20260722
495ec00599149c07,DIOR-R,windmill,small,1.733333,1.6<=ar<2.1,False,boundary,True,20260722
36398e51d6143a74,DIOR-R,storagetank,small,1.3125,ar<1.6,False,boundary,True,20260722
1e3d8cc1e6c55d3b,DIOR-R,Expressway-toll-station,small,1.5,ar<1.6,False,boundary,True,20260722
3f2bfa7d8e6debbc,DIOR-R,storagetank,medium,1.047619,ar<1.6,False,boundary,True,20260722
bb54e96164aa272d,DIOR-R,bridge,small,1.647059,1.6<=ar<2.1,False,boundary,True,20260722
fbe650b1bdf5daa4,DIOR-R,vehicle,small,2.475248,ar>=2.1,True,boundary,True,20260722
c42c861402c080cb,DIOR-R,bridge,medium,2.636387,ar>=2.1,True,boundary,True,20260722
e9aa2a06a31d5d39,DIOR-R,harbor,medium,1.709677,1.6<=ar<2.1,False,boundary,True,20260722
320b6a01156fb505,DIOR-R,tenniscourt,medium,1.942119,1.6<=ar<2.1,False,random_regular,False,20260722
6b885cd5147d59a3,DIOR-R,ship,small,2.176471,ar>=2.1,True,random_regular,False,20260722
3221770800266275,DIOR-R,ship,medium,2.894737,ar>=2.1,True,random_regular,False,20260722
bf3f8d9e4b2ea467,DIOR-R,basketballcourt,medium,2.535521,ar>=2.1,True,random_regular,False,20260722
288d818b5d6c0f9f,DIOR-R,ship,small,2.0,1.6<=ar<2.1,False,random_regular,False,20260722
239f1c7b133a86b3,DIOR-R,ship,medium,1.402085,ar<1.6,False,random_regular,False,20260722
dbd2bb2c41304299,DIOR-R,vehicle,small,4.84841,ar>=2.1,True,random_regular,False,20260722
24b572df6ef2d75c,DIOR-R,ship,small,2.6,ar>=2.1,True,random_regular,False,20260722
ec4e635defc85042,DIOR-R,airplane,medium,1.067049,ar<1.6,False,random_regular,False,20260722
8f9579cf2f7c3272,DIOR-R,ship,small,3.093248,ar>=2.1,True,random_regular,False,20260722
