comparison,group_type,group_value,n,mean,median,p90,p95,P_gt_5,P_gt_10,interpretation
annotator_1_vs_official_GT,overall,all,468,5.2721,1.7639,6.724,10.0975,0.173077,0.051282,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_1_vs_official_GT,dataset,DIOR-R,127,7.0971,1.4321,5.2146,85.6958,0.110236,0.062992,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_1_vs_official_GT,dataset,FAIR1M-v1.0,172,3.6505,1.8709,6.1381,8.0858,0.168605,0.023256,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_1_vs_official_GT,dataset,SODA-A,169,5.5511,1.9475,8.3405,11.9894,0.224852,0.071006,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_1_vs_official_GT,size,large,23,12.1805,0.9278,68.1574,87.1421,0.130435,0.130435,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_1_vs_official_GT,size,medium,68,10.4367,1.253,31.1123,89.0943,0.117647,0.102941,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_1_vs_official_GT,size,small,377,3.9191,1.9111,6.6249,9.1517,0.185676,0.037135,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_1_vs_official_GT,ar_bin,1.6<=ar<2.1,108,6.4409,1.9772,9.5909,13.9908,0.277778,0.092593,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_1_vs_official_GT,ar_bin,ar<1.6,44,21.634,2.6448,89.3078,89.5544,0.25,0.227273,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_1_vs_official_GT,ar_bin,ar>=2.1,316,2.5944,1.6457,5.6889,6.7804,0.126582,0.012658,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_1_vs_official_GT,ar21,true,316,2.5944,1.6457,5.6889,6.7804,0.126582,0.012658,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_2_vs_official_GT,overall,all,463,5.1219,1.7899,6.9371,10.2594,0.161987,0.051836,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_2_vs_official_GT,dataset,DIOR-R,124,7.5586,1.5881,5.9869,86.7293,0.137097,0.064516,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_2_vs_official_GT,dataset,FAIR1M-v1.0,176,3.8323,1.7986,5.8075,7.9114,0.119318,0.017045,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_2_vs_official_GT,dataset,SODA-A,163,4.6607,1.8684,8.2189,10.7604,0.226994,0.079755,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_2_vs_official_GT,size,large,22,12.7434,0.75,78.1383,87.3232,0.136364,0.136364,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_2_vs_official_GT,size,medium,69,11.6466,1.3902,86.3851,89.2768,0.144928,0.115942,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_2_vs_official_GT,size,small,372,3.4609,1.9814,6.6256,8.4239,0.166667,0.034946,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_2_vs_official_GT,ar_bin,1.6<=ar<2.1,102,6.5228,2.646,8.431,10.5358,0.264706,0.078431,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_2_vs_official_GT,ar_bin,ar<1.6,43,22.0036,1.9749,88.8956,89.459,0.27907,0.232558,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_2_vs_official_GT,ar_bin,ar>=2.1,318,2.3898,1.644,5.5581,7.5358,0.113208,0.018868,discrepancy to dataset official annotation; official GT is not assumed error-free
annotator_2_vs_official_GT,ar21,true,318,2.3898,1.644,5.5581,7.5358,0.113208,0.018868,discrepancy to dataset official annotation; official GT is not assumed error-free
