candidate_id,dataset,dataset_version,split,detector,angle_head_coder,backbone,seed,checkpoint_alias,checkpoint_present,checkpoint_bytes,checkpoint_sha256,checkpoint_source,checkpoint_selection_rule,config_alias,config_bytes,config_sha256,log_alias,log_bytes,log_sha256,framework,framework_commit,code_license,code_license_sha256,dataset_license,evaluator,tile_merge_nms,full_split_present,all_image_count,empty_gt_images_verified,complete_gt_verified,class_mapping_verified,angle_convention_verified,mother_scene_mapping_verified,split_aggregate_hash,raw_to_final_persistence,tta_availability,prior_outcome_exposure,protocol_participation,outcome_exposure_evidence,protocol_evidence,independence_tier,neutral_sort_key,first_failed_gate,gate_status,estimated_gpu_hours,estimated_disk_gb,official_url,public_checksum,notes
ARS-DETR_DIOR-R/16,DIOR-R,UNVERIFIED,reported full-val / audited actual identity,ARS-DETR,registered historical head,registered historical backbone,registered,external_baseline_library/registered_baseline,False,0,,historical pth_data registration; library absent on current server,historical detector criterion; exact source unavailable,,0,,,0,,historical,UNVERIFIED,UNVERIFIED,,UNVERIFIED_DATASET_NOT_PRESENT,historical evaluator,UNVERIFIED,False,5863,False,False,False,False,False,,NOT_COMPLETE,UNVERIFIED,True,False,known 5863-image legacy universe; prior NRC inspected,original A6 provenance audit,EXCLUDED,,PRIOR_OUTCOME_EXPOSURE,EXCLUDED,NOT_ESTIMATED_AFTER_EXCLUSION,NOT_ESTIMATED_AFTER_EXCLUSION,,,known 5863-image legacy universe; prior NRC inspected; historical unit tag /16; pth_data and dataset store unavailable on current server
ARS-DETR_DOTA-v1.0/14,DOTA-v1.0,v1.0,reported full-val / audited actual identity,ARS-DETR,registered historical head,registered historical backbone,registered,external_baseline_library/registered_baseline,False,0,,historical pth_data registration; library absent on current server,historical detector criterion; exact source unavailable,,0,,,0,,historical,UNVERIFIED,UNVERIFIED,,UNVERIFIED_DATASET_NOT_PRESENT,historical evaluator,UNVERIFIED,False,0,False,False,False,False,False,,NOT_COMPLETE,UNVERIFIED,False,False,manifest points only to vanished /dev/shm raw/schema; not persistent,original A6 provenance audit,EXCLUDED,,CHECKPOINT_AND_FULL_UNIVERSE_MISSING,EXCLUDED,NOT_ESTIMATED_AFTER_EXCLUSION,NOT_ESTIMATED_AFTER_EXCLUSION,,,manifest points only to vanished /dev/shm raw/schema; not persistent; historical unit tag /14; pth_data and dataset store unavailable on current server
DIOR-R|registered|RotatedRetinaNet|CSL|seed0|961910ce16b8,DIOR-R,registered,trainval -> test,RotatedRetinaNet,CSL,ResNet-50-FPN,0,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed0/best_dota_mAP_epoch_11.pth,True,156854186,961910ce16b8af14396f5b6dac14befee5937a0e8dd5cfdd2fb7811a8d65e816,project-trained existing asset,best detector mAP checkpoint; target risk not used for checkpoint selection,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed0/csl_dior_seed0.py,12626,18bffad2ee5fe4f53ca874a72cea328a42e5adad2dfb9d2a5b753979e851c59c,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed0/20260709_093420/20260709_093420.log,326927,c62aaf2f0d59809b5b727c8e32a995f72c24fff7ed1a14668140d0ca6798f54b,mmrotate_1x,3ff004eb21ea040455b5585db229edba4037f1bf,Apache-2.0 repository license,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,UNVERIFIED_DATASET_NOT_PRESENT,historical full evaluator exists but candidate excluded before evaluator gate,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,False,0,False,False,False,False,False,,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,NOT_EVALUATED; frozen missing-TTA policy would apply,False,True,K2 full-converged angle-head and native-score outcomes,K2 score-direction/native-signal design,EXCLUDED,,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,EXCLUDED,NOT_ESTIMATED_AFTER_EXCLUSION,NOT_ESTIMATED_AFTER_EXCLUSION,,,dataset store is empty on this server; no outcome file was opened
DIOR-R|registered|RotatedRetinaNet|CSL|seed1|fc04a60988b2,DIOR-R,registered,trainval -> test,RotatedRetinaNet,CSL,ResNet-50-FPN,1,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed1/best_dota_mAP_epoch_11.pth,True,156852842,fc04a60988b2dc17bdcc30d44de9665a7a847470f9ea75345f65b17cec359875,project-trained existing asset,best detector mAP checkpoint; target risk not used for checkpoint selection,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed1/csl_dior_seed0.py,12626,4c71b7058f712702f1d09e604fbf31cff2447a33816c4f6cc51994323566549f,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed1/20260710_083803/20260710_083803.log,327919,ce525e834c698a534c2c0dac3b74cd1cfd0f3bb32bf0ee2621a1662eaac8dc64,mmrotate_1x,3ff004eb21ea040455b5585db229edba4037f1bf,Apache-2.0 repository license,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,UNVERIFIED_DATASET_NOT_PRESENT,historical full evaluator exists but candidate excluded before evaluator gate,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,False,0,False,False,False,False,False,,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,NOT_EVALUATED; frozen missing-TTA policy would apply,False,True,K2 full-converged angle-head and native-score outcomes,K2 score-direction/native-signal design,EXCLUDED,,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,EXCLUDED,NOT_ESTIMATED_AFTER_EXCLUSION,NOT_ESTIMATED_AFTER_EXCLUSION,,,dataset store is empty on this server; no outcome file was opened
DIOR-R|registered|RotatedRetinaNet|CSL|seed2|a85861553e52,DIOR-R,registered,trainval -> test,RotatedRetinaNet,CSL,ResNet-50-FPN,2,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed2/best_dota_mAP_epoch_11.pth,True,156851050,a85861553e52c55b1bf48ef41ffa2fefa89ee322e3a7b122d576c27bc6825d1f,project-trained existing asset,best detector mAP checkpoint; target risk not used for checkpoint selection,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed2/csl_dior_seed0.py,12626,edf6d709cf008e05d72beb206e774659721538a9548e06b12507b8d9dc9d7b6d,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed2/20260710_142751/20260710_142751.log,327560,00480c572b321371c227bf996c9261bf949ad17b31a96d4f706a8ee75287a6c8,mmrotate_1x,3ff004eb21ea040455b5585db229edba4037f1bf,Apache-2.0 repository license,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,UNVERIFIED_DATASET_NOT_PRESENT,historical full evaluator exists but candidate excluded before evaluator gate,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,False,0,False,False,False,False,False,,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,NOT_EVALUATED; frozen missing-TTA policy would apply,False,True,K2 full-converged angle-head and native-score outcomes,K2 score-direction/native-signal design,EXCLUDED,,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,EXCLUDED,NOT_ESTIMATED_AFTER_EXCLUSION,NOT_ESTIMATED_AFTER_EXCLUSION,,,dataset store is empty on this server; no outcome file was opened
DIOR-R|registered|RotatedRetinaNet|DCL|seed0|719290fb5cd4,DIOR-R,registered,trainval -> test,RotatedRetinaNet,DCL,ResNet-50-FPN,0,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed0/best_dota_mAP_epoch_12.pth,True,154292778,719290fb5cd4041074c11e4e8c8a299405415f85a9bb7c6f5097bd2014053bda,project-trained existing asset,best detector mAP checkpoint; target risk not used for checkpoint selection,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed0/dcl_dior_seed0.py,12647,3bc3dc0e10d7e3a37b3b5c5d12c3ebef47b06590177bedefa15bf42f1ed5d1ab,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed0/20260709_173916/20260709_173916.log,328822,c53f020b7b57bdb7f514bc69447fce53d7cf1ed54acdfe5ee38bcc90eb75df47,mmrotate_1x,3ff004eb21ea040455b5585db229edba4037f1bf,Apache-2.0 repository license,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,UNVERIFIED_DATASET_NOT_PRESENT,historical full evaluator exists but candidate excluded before evaluator gate,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,False,0,False,False,False,False,False,,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,NOT_EVALUATED; frozen missing-TTA policy would apply,False,True,K2 full-converged angle-head and native-score outcomes,K2 score-direction/native-signal design,EXCLUDED,,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,EXCLUDED,NOT_ESTIMATED_AFTER_EXCLUSION,NOT_ESTIMATED_AFTER_EXCLUSION,,,dataset store is empty on this server; no outcome file was opened
DIOR-R|registered|RotatedRetinaNet|DCL|seed1|c7b383471580,DIOR-R,registered,trainval -> test,RotatedRetinaNet,DCL,ResNet-50-FPN,1,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed1/best_dota_mAP_epoch_12.pth,True,154286250,c7b383471580db962b5111d6b9d4c3cbf90415c4be08918a5fab77d372b3b101,project-trained existing asset,best detector mAP checkpoint; target risk not used for checkpoint selection,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed1/dcl_dior_seed0.py,12647,3619c840a3225e9c51bcd3c7f2e54f84ed4b0f213e25498695e667dbe24dab42,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed1/20260711_055809/20260711_055809.log,328453,9e4622623ce75eb111b530b2e9033dfbe2a38c5ce0da85f07731a6d78640c72c,mmrotate_1x,3ff004eb21ea040455b5585db229edba4037f1bf,Apache-2.0 repository license,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,UNVERIFIED_DATASET_NOT_PRESENT,historical full evaluator exists but candidate excluded before evaluator gate,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,False,0,False,False,False,False,False,,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,NOT_EVALUATED; frozen missing-TTA policy would apply,False,True,K2 full-converged angle-head and native-score outcomes,K2 score-direction/native-signal design,EXCLUDED,,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,EXCLUDED,NOT_ESTIMATED_AFTER_EXCLUSION,NOT_ESTIMATED_AFTER_EXCLUSION,,,dataset store is empty on this server; no outcome file was opened
DIOR-R|registered|RotatedRetinaNet|DCL|seed2|ed7863c20998,DIOR-R,registered,trainval -> test,RotatedRetinaNet,DCL,ResNet-50-FPN,2,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed2/best_dota_mAP_epoch_12.pth,True,154289898,ed7863c20998b6566dfa0c845e269d17bb76660c446b7fc688dc91569f043dc6,project-trained existing asset,best detector mAP checkpoint; target risk not used for checkpoint selection,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed2/dcl_dior_seed0.py,12646,4a730794940b22d83e6be5c0b64cf9e56929f1c423352dd77f54c5ea3ae2f3d0,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__DCL__DIOR-R__seed2/20260711_094124/20260711_094124.log,184273,2865a0629006b4d844b3bc1425ee23e75315f77bcfd294ce36d239371242b611,mmrotate_1x,3ff004eb21ea040455b5585db229edba4037f1bf,Apache-2.0 repository license,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,UNVERIFIED_DATASET_NOT_PRESENT,historical full evaluator exists but candidate excluded before evaluator gate,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,False,0,False,False,False,False,False,,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,NOT_EVALUATED; frozen missing-TTA policy would apply,False,True,K2 full-converged angle-head and native-score outcomes,K2 score-direction/native-signal design,EXCLUDED,,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,EXCLUDED,NOT_ESTIMATED_AFTER_EXCLUSION,NOT_ESTIMATED_AFTER_EXCLUSION,,,dataset store is empty on this server; no outcome file was opened
DIOR-R|registered|RotatedRetinaNet|PSC|seed0|c92af20f3d0d,DIOR-R,registered,trainval -> test,RotatedRetinaNet,PSC,ResNet-50-FPN,0,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed0/best_dota_mAP_epoch_12.pth,True,154168682,c92af20f3d0dd5d736edaa6c42f73e9ff48cd587e8b696ee6608a5ba920949b9,project-trained existing asset,best detector mAP checkpoint; target risk not used for checkpoint selection,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed0/psc_dior_seed0.py,12528,53ebf7e5df3e2df8187a33ac1f6da47798b09389746a0a05334218944172eaf5,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed0/20260709_002523/20260709_002523.log,325955,381f22aa470a68f7282dc1d957c81e854fa3ea037fe5dfa5882792810335f061,mmrotate_1x,3ff004eb21ea040455b5585db229edba4037f1bf,Apache-2.0 repository license,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,UNVERIFIED_DATASET_NOT_PRESENT,historical full evaluator exists but candidate excluded before evaluator gate,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,False,0,False,False,False,False,False,,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,NOT_EVALUATED; frozen missing-TTA policy would apply,False,True,K2 full-converged angle-head and native-score outcomes,K2 score-direction/native-signal design,EXCLUDED,,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,EXCLUDED,NOT_ESTIMATED_AFTER_EXCLUSION,NOT_ESTIMATED_AFTER_EXCLUSION,,,dataset store is empty on this server; no outcome file was opened
DIOR-R|registered|RotatedRetinaNet|PSC|seed1|805af3e4533c,DIOR-R,registered,trainval -> test,RotatedRetinaNet,PSC,ResNet-50-FPN,1,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed1/best_dota_mAP_epoch_12.pth,True,154169450,805af3e4533cb918f9fdc7566a861182039da809f34fdb06292b204f5b41ea7a,project-trained existing asset,best detector mAP checkpoint; target risk not used for checkpoint selection,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed1/psc_dior_seed0.py,12528,479d6c6c99edbecc9cf4e31ca268b04c3ca2e5ecd47a1862c3350f4f48ed8427,top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed1/20260709_093310/20260709_093310.log,328516,e02892472f51736c3bdf26fbb898512b3db74f23afcfc5a49187e894bf06702a,mmrotate_1x,3ff004eb21ea040455b5585db229edba4037f1bf,Apache-2.0 repository license,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,UNVERIFIED_DATASET_NOT_PRESENT,historical full evaluator exists but candidate excluded before evaluator gate,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,False,0,False,False,False,False,False,,NOT_EVALUATED_AFTER_EARLY_EXCLUSION,NOT_EVALUATED; frozen missing-TTA policy would apply,False,True,K2 full-converged angle-head and native-score outcomes,K2 score-direction/native-signal design,EXCLUDED,,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,EXCLUDED,NOT_ESTIMATED_AFTER_EXCLUSION,NOT_ESTIMATED_AFTER_EXCLUSION,,,dataset store is empty on this server; no outcome file was opened
