candidate_id,checkpoint_sha256,same_hash_candidates,repository_checkpoint_hit,repository_config_hit,prior_prediction_or_result_path_hit,protocol_participation,prior_outcome_exposure,known_internal_old_project_overlap,selection_lineage,status,first_failed_gate,evidence
ARS-DETR_DIOR-R/16,,,False,False,True,False,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,historical detector criterion; exact source unavailable,EXCLUDED,PRIOR_OUTCOME_EXPOSURE,known 5863-image legacy universe; prior NRC inspected
ARS-DETR_DOTA-v1.0/14,,,False,False,False,False,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,historical detector criterion; exact source unavailable,EXCLUDED,CHECKPOINT_AND_FULL_UNIVERSE_MISSING,manifest points only to vanished /dev/shm raw/schema; not persistent
DIOR-R|registered|RotatedRetinaNet|CSL|seed0|961910ce16b8,961910ce16b8af14396f5b6dac14befee5937a0e8dd5cfdd2fb7811a8d65e816,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
DIOR-R|registered|RotatedRetinaNet|CSL|seed1|fc04a60988b2,fc04a60988b2dc17bdcc30d44de9665a7a847470f9ea75345f65b17cec359875,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
DIOR-R|registered|RotatedRetinaNet|CSL|seed2|a85861553e52,a85861553e52c55b1bf48ef41ffa2fefa89ee322e3a7b122d576c27bc6825d1f,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
DIOR-R|registered|RotatedRetinaNet|DCL|seed0|719290fb5cd4,719290fb5cd4041074c11e4e8c8a299405415f85a9bb7c6f5097bd2014053bda,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
DIOR-R|registered|RotatedRetinaNet|DCL|seed1|c7b383471580,c7b383471580db962b5111d6b9d4c3cbf90415c4be08918a5fab77d372b3b101,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
DIOR-R|registered|RotatedRetinaNet|DCL|seed2|ed7863c20998,ed7863c20998b6566dfa0c845e269d17bb76660c446b7fc688dc91569f043dc6,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
DIOR-R|registered|RotatedRetinaNet|PSC|seed0|c92af20f3d0d,c92af20f3d0dd5d736edaa6c42f73e9ff48cd587e8b696ee6608a5ba920949b9,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
DIOR-R|registered|RotatedRetinaNet|PSC|seed1|805af3e4533c,805af3e4533cb918f9fdc7566a861182039da809f34fdb06292b204f5b41ea7a,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
