cell,track,dose_deg,ar_bin,reps,seed,same_pair_ci_low,same_pair_ci_high,rematched_ci_low,rematched_ci_high
DIOR-R/22,P,15,"[2.1,3)",1000,20260806+row_index,0.11156862201124446,0.1297748609694751,0.11185999897413193,0.1292365675627011
DIOR-R/22,D,15,"[2.1,3)",1000,20260806+row_index,0.004621884818401496,0.0069758970763465844,0.004758339003088655,0.007130928839893453
DIOR-R/22,+,15,"[2.1,3)",1000,20260806+row_index,0.1117393502234928,0.12822424949279332,0.11209912065687287,0.1281557745824356
DIOR-R/22,-,15,"[2.1,3)",1000,20260806+row_index,0.11823085283396492,0.13649938616712154,0.11864660458391903,0.13639081413555657
DIOR-R/22,S,15,"[2.1,3)",1000,20260806+row_index,0.11536444813673061,0.13225124297032778,0.1153859898233485,0.13269732535235343
DIOR-R/22,P,15,"[3,5)",1000,20260806+row_index,0.0013226344835420211,0.003310702180610788,0.0014025179884884686,0.003260694914908054
DIOR-R/22,D,15,"[3,5)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/22,+,15,"[3,5)",1000,20260806+row_index,0.0013526478119598915,0.003302451306469478,0.0013672551548127817,0.003215186093200902
DIOR-R/22,-,15,"[3,5)",1000,20260806+row_index,0.0027730530042550028,0.005154407422916895,0.0026903313699110244,0.00512700073949571
DIOR-R/22,S,15,"[3,5)",1000,20260806+row_index,0.002302558883825319,0.003890447071329186,0.002296384854328043,0.003931679224209615
DIOR-R/22,P,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/22,D,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/22,+,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/22,-,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/22,S,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/3,P,15,"[2.1,3)",1000,20260806+row_index,0.12902214625565647,0.14603898215796138,0.12879755207593296,0.14635510822292758
DIOR-R/3,D,15,"[2.1,3)",1000,20260806+row_index,0.005038378246982428,0.007246383278570974,0.0050584828878501905,0.007261436871578123
DIOR-R/3,+,15,"[2.1,3)",1000,20260806+row_index,0.12845998396376931,0.14573935672542454,0.12821708590454858,0.14498837187453834
DIOR-R/3,-,15,"[2.1,3)",1000,20260806+row_index,0.13935732949336277,0.15864949815826315,0.13977469833628522,0.159879689209654
