case,official_AP50,cleanroom_AP50,official_AP75,cleanroom_AP75,max_abs_diff,status
single_tp,1.0000000000000002,1.0,1.0000000000000002,1.0,2.220446049250313e-16,PASS
single_fp,0.0,0.0,0.0,0.0,0.0,PASS
single_fn,0.0,0.0,0.0,0.0,0.0,PASS
duplicate_greedy,1.0000000000000002,1.0,1.0000000000000002,1.0,2.220446049250313e-16,PASS
class_mismatch,0.0,0.0,0.0,0.0,0.0,PASS
stable_tie,1.0000000000000002,1.0,1.0000000000000002,1.0,2.220446049250313e-16,PASS
gt_only_image,0.5454545454545455,0.5454545454545454,0.5454545454545455,0.5454545454545454,1.1102230246251565e-16,PASS
zero_pred_image,0.0,0.0,0.0,0.0,0.0,PASS
empty_pred_class,0.5000000000000001,0.5,0.5000000000000001,0.5,1.1102230246251565e-16,PASS
empty_gt_class,0.5000000000000001,0.5,0.5000000000000001,0.5,1.1102230246251565e-16,PASS
rotation_90,0.0,0.0,0.0,0.0,0.0,PASS
wh_swap_equivalent,1.0000000000000002,1.0,1.0000000000000002,1.0,2.220446049250313e-16,PASS
edge_iou50,0.0,0.0,0.0,0.0,0.0,PASS
different_image,0.0,0.0,0.0,0.0,0.0,PASS
two_classes,1.0000000000000002,1.0,1.0000000000000002,1.0,2.220446049250313e-16,PASS
tp_then_fp,1.0000000000000002,1.0,1.0000000000000002,1.0,2.220446049250313e-16,PASS
fp_then_tp,0.5000000000000001,0.5,0.5000000000000001,0.5,1.1102230246251565e-16,PASS
two_images,1.0000000000000002,1.0,1.0000000000000002,1.0,2.220446049250313e-16,PASS
one_of_two_gt,0.5454545454545455,0.5454545454545454,0.5454545454545455,0.5454545454545454,1.1102230246251565e-16,PASS
post_nms_identity,1.0000000000000002,1.0,1.0000000000000002,1.0,2.220446049250313e-16,PASS
le90_0_90_boundary,90.0,90.0,90.0,90.0,0.0,PASS
le90_wh_swap,0.0,0.0,0.0,0.0,0.0,PASS
bootstrap_optimizer_synthetic_00,0.34265290265290266,0.34265290265290266,0.26622956522478053,0.26622956522478053,0.0,PASS
bootstrap_optimizer_synthetic_01,0.8330862846304024,0.8330862846304024,0.411721840251252,0.411721840251252,0.0,PASS
bootstrap_optimizer_synthetic_02,0.5663049517327593,0.5663049517327593,0.05803030303030303,0.05803030303030303,0.0,PASS
bootstrap_optimizer_synthetic_03,0.4873781959836916,0.4873781959836916,0.07689705400592708,0.07689705400592708,0.0,PASS
bootstrap_optimizer_synthetic_04,0.6034830447330448,0.6034830447330448,0.4769318181818182,0.4769318181818182,0.0,PASS
bootstrap_optimizer_synthetic_05,0.4248421275694003,0.4248421275694003,0.008651197287560922,0.008651197287560922,0.0,PASS
bootstrap_optimizer_synthetic_06,0.655051097892007,0.655051097892007,0.2999218790247499,0.2999218790247499,0.0,PASS
bootstrap_optimizer_synthetic_07,0.7885124545165356,0.7885124545165356,0.37108387810628873,0.37108387810628873,0.0,PASS
bootstrap_optimizer_synthetic_08,0.5621371375950253,0.5621371375950253,0.40731955321861735,0.40731955321861735,0.0,PASS
bootstrap_optimizer_synthetic_09,0.3451991817965153,0.3451991817965153,0.17194520069968253,0.17194520069968253,0.0,PASS
bootstrap_optimizer_synthetic_10,0.6849920808543803,0.6849920808543803,0.36773974448161295,0.36773974448161295,0.0,PASS
bootstrap_optimizer_synthetic_11,0.5044868549102647,0.5044868549102647,0.20902597402597403,0.20902597402597403,0.0,PASS
bootstrap_optimizer_synthetic_12,0.49231775169275166,0.49231775169275166,0.31089174714174717,0.31089174714174717,0.0,PASS
bootstrap_optimizer_synthetic_13,0.4854154320130256,0.4854154320130256,0.15809523809523812,0.15809523809523812,0.0,PASS
bootstrap_optimizer_synthetic_14,0.494322048733844,0.494322048733844,0.0,0.0,0.0,PASS
bootstrap_optimizer_synthetic_15,0.9726602564102566,0.9726602564102566,0.44597779114824576,0.44597779114824576,0.0,PASS
bootstrap_optimizer_synthetic_16,0.4148819488592216,0.4148819488592216,0.23831307581307581,0.23831307581307581,0.0,PASS
bootstrap_optimizer_synthetic_17,0.79099648457603,0.79099648457603,0.4942045454545455,0.4942045454545455,0.0,PASS
bootstrap_optimizer_synthetic_18,0.35086239917826667,0.35086239917826667,0.22597758601048076,0.22597758601048076,0.0,PASS
bootstrap_optimizer_synthetic_19,0.4408716560685999,0.4408716560685999,0.18601521467186835,0.18601521467186835,0.0,PASS
