cell,dataset,detector,track,dose_deg,AP50,AP75,matched_ar21,severe_rate
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,0,0.5367777305863244,0.35031696427094106,49736,0.00601174199774811
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,2,0.5385082275592782,0.3479654036130158,49672,0.0090996939925914
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,5,0.5361946684079123,0.3375023249496017,49389,0.036749073680374174
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,10,0.5218150843211296,0.29553577940467357,48303,0.27942363828333644
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,15,0.5041689465061905,0.2283443623207002,46024,0.8115113853641578
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,20,0.4818767908191476,0.21712608929715227,41786,0.978820657636529
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,25,0.4511358934026884,0.21705593138712573,32641,0.9945773720167888
DIOR-R/22,DIOR-R,rotated_retinanet_psc,P,30,0.416406245206979,0.21705578499096015,18807,0.9969692135906844
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,0,0.5367777305863244,0.35031696427094106,49736,0.00601174199774811
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,2,0.5382102347575461,0.34456938374906965,49623,0.01604094875360216
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,5,0.5346519150724706,0.32945174295764285,49181,0.0683597324169903
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,10,0.5185338484260023,0.2852395492658003,47780,0.43172875680200923
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,15,0.4986667488116643,0.21730614773544596,44795,0.941042527067753
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,20,0.4767069312255616,0.2170536747847863,39822,0.997463713525187
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,25,0.4398679867931875,0.2170536747847863,28607,0.9994057398538819
DIOR-R/22,DIOR-R,rotated_retinanet_psc,D,30,0.409312030478446,0.2170536747847863,14696,0.999251497005988
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,0,0.5367777305863244,0.35031696427094106,49736,0.00601174199774811
