fold_type,target_cell,delta_linear_minus_nonlinear,bootstrap_mean,ci_low,ci_high,bootstrap_reps,supported,status
leave_dataset,A,-0.15191341047989304,-0.15214901032159767,-0.19128252562971515,-0.10976407861116164,1000,False,COMPUTED_R011
leave_dataset,B,-0.06880900805384682,-0.06860405643996337,-0.0902311247305519,-0.04659429421362712,1000,False,COMPUTED_R011
leave_dataset,C,-0.16036538403592793,-0.15996959869305596,-0.190305124414184,-0.13102079441600484,1000,False,COMPUTED_R011
leave_dataset,D,-0.10253446239457109,-0.1022527802722851,-0.12114274516252566,-0.082221120302225,1000,False,COMPUTED_R011
leave_dataset,E,-0.023724474510669613,-0.02535791655595866,-0.03511639419914381,-0.01462207177845787,1000,False,COMPUTED_R011
leave_dataset,F,-0.003230116120702453,-0.0032146616702579253,-0.009466335977895651,0.0031020259902624033,1000,False,COMPUTED_R011
leave_detector,A,0.06909053133698917,0.07028549668102232,0.05495054398901466,0.08694645395636279,1000,True,COMPUTED_R011
leave_detector,B,0.15136553328808333,0.15075177724034974,0.12566453878306136,0.17881756473038776,1000,True,COMPUTED_R011
leave_detector,C,,,,,,,NOT_IDENTIFIABLE_SINGLE_DATASET_RTMDET
leave_detector,D,-0.0416687594375823,-0.041990887408824076,-0.05546168774957692,-0.02626763838921644,1000,False,COMPUTED_R011
leave_detector,E,0.028931118314911575,0.02845831466287663,0.018019679704452903,0.04009031565011705,1000,True,COMPUTED_R011
leave_detector,F,0.008569720053124952,0.008498272304500983,0.00016502325968510147,0.017306455766977903,1000,True,COMPUTED_R011
