fold_type,target_cell,target_dataset,target_detector,source_cells,source_fit_count,target_audit_count,target_images,nrc_score_only,nrc_score_ar_size_linear,nrc_nonlinear_geometry,delta_linear_minus_nonlinear,ci_low,ci_high,bootstrap_mean,bootstrap_reps,aurc_linear,aurc_nonlinear,risk70_linear,risk70_nonlinear,supported,leakage_check,target_gt_use,status
leave_dataset,A,DIOR-R,rotated_retinanet_psc,D|E|F,122044,25065,3494,0.608245776518466,0.7587963679091001,0.9107097783889931,-0.15191341047989304,-0.19128252562971515,-0.10976407861116164,-0.15214901032159767,1000,1.3933206415225743,1.5808552942745406,1.4573777306342361,1.5651040452027487,False,PASS_SOURCE_DCAL_FIT_ONLY,D_audit_evaluation_only,COMPUTED_R011
leave_dataset,B,DIOR-R,oriented_rcnn,D|E|F,122044,27671,3641,0.5740924939852454,0.6695852559292381,0.7383942639830849,-0.06880900805384682,-0.0902311247305519,-0.04659429421362712,-0.06860405643996337,1000,1.4764135288412576,1.5654658376010646,1.5538509678865842,1.650103863028728,False,PASS_SOURCE_DCAL_FIT_ONLY,D_audit_evaluation_only,COMPUTED_R011
leave_dataset,C,DIOR-R,rotated_rtmdet_s,D|E|F,122044,27385,3690,0.4653350472201418,0.6139702939159973,0.7743356779519253,-0.16036538403592793,-0.190305124414184,-0.13102079441600484,-0.15996959869305596,1000,1.5963444965442741,1.8312385244721712,1.6467325996413955,1.88936606562923,False,PASS_SOURCE_DCAL_FIT_ONLY,D_audit_evaluation_only,COMPUTED_R011
leave_dataset,D,FAIR1M-v1.0,rotated_retinanet_psc,A|B|C|E|F,149485,15120,1221,0.937874181587115,0.6742524442663242,0.7767869066608953,-0.10253446239457109,-0.12114274516252566,-0.082221120302225,-0.1022527802722851,1000,1.824445976391222,1.9792805627295535,2.066405297328243,2.0961527020350523,False,PASS_SOURCE_DCAL_FIT_ONLY,D_audit_evaluation_only,COMPUTED_R011
leave_dataset,E,SODA-A,rotated_retinanet_psc,A|B|C|D,43901,101102,4076,0.8113271079429394,0.5891693815014594,0.612893856012129,-0.023724474510669613,-0.03511639419914381,-0.01462207177845787,-0.02535791655595866,1000,1.4853503054340573,1.5171063627107555,1.7441462675347361,1.7268021667223297,False,PASS_SOURCE_DCAL_FIT_ONLY,D_audit_evaluation_only,COMPUTED_R011
leave_dataset,F,SODA-A,oriented_rcnn,A|B|C|D,43901,120925,4120,0.6878337108549574,0.5722039531473267,0.5754340692680292,-0.003230116120702453,-0.009466335977895651,0.0031020259902624033,-0.0032146616702579253,1000,1.6545725326910807,1.6593435253761006,1.9407268918106044,1.8879927793265758,False,PASS_SOURCE_DCAL_FIT_ONLY,D_audit_evaluation_only,COMPUTED_R011
leave_detector,A,DIOR-R,rotated_retinanet_psc,B|C|F,86143,25065,3494,0.608245776518466,0.6867360160830547,0.6176454847460655,0.06909053133698917,0.05495054398901466,0.08694645395636279,0.07028549668102232,1000,1.3043633005334414,1.2190721549933572,1.3949681953568414,1.3767286126696778,True,PASS_SOURCE_DCAL_FIT_ONLY,D_audit_evaluation_only,COMPUTED_R011
leave_detector,B,DIOR-R,oriented_rcnn,A|C|D|E,83702,27671,3641,0.5740924939852454,0.7285077169395683,0.577142183651485,0.15136553328808333,0.12566453878306136,0.17881756473038776,0.15075177724034974,1000,1.5526707128813677,1.3567741204553465,1.6478225785129645,1.5152831813212542,True,PASS_SOURCE_DCAL_FIT_ONLY,D_audit_evaluation_only,COMPUTED_R011
leave_detector,C,DIOR-R,rotated_rtmdet_s,,,,,,,,,,,,,,,,,,,,NOT_IDENTIFIABLE_SINGLE_DATASET_RTMDET
leave_detector,D,FAIR1M-v1.0,rotated_retinanet_psc,B|C|F,86143,15120,1221,0.937874181587115,0.6746126591377863,0.7162814185753686,-0.0416687594375823,-0.05546168774957692,-0.02626763838921644,-0.041990887408824076,1000,1.8249899273645165,1.8879128215805308,2.05985944143661,2.075349809254888,False,PASS_SOURCE_DCAL_FIT_ONLY,D_audit_evaluation_only,COMPUTED_R011
leave_detector,E,SODA-A,rotated_retinanet_psc,B|C|F,86143,101102,4076,0.8113271079429394,0.5881038312380459,0.5591727129231343,0.028931118314911575,0.018019679704452903,0.04009031565011705,0.02845831466287663,1000,1.4839240283133168,1.4451986921683968,1.7430709574968757,1.713877871431766,True,PASS_SOURCE_DCAL_FIT_ONLY,D_audit_evaluation_only,COMPUTED_R011
leave_detector,F,SODA-A,oriented_rcnn,A|C|D|E,83702,120925,4120,0.6878337108549574,0.5765623214503072,0.5679926013971822,0.008569720053124952,0.00016502325968510147,0.017306455766977903,0.008498272304500983,1000,1.6610099926817203,1.6483522212090231,1.9526435475398614,1.891584540159188,True,PASS_SOURCE_DCAL_FIT_ONLY,D_audit_evaluation_only,COMPUTED_R011
