cell,track,dose_deg,stratum,matched_count,severe_count,status,severe_rate,mean_angle_error_deg
DIOR-R/22,P,0,all,49736,299,COMPUTED_R011,0.00601174199774811,1.6653344256977949
DIOR-R/22,P,0,"[2.1,3)",31943,120,COMPUTED_R011,0.003756691606924835,1.7142715941945514
DIOR-R/22,P,0,"[3,5)",15678,117,COMPUTED_R011,0.007462686567164179,1.58712079369637
DIOR-R/22,P,0,"[5,+inf)",2115,62,COMPUTED_R011,0.029314420803782507,1.5060121321879107
DIOR-R/22,P,2,all,49672,452,COMPUTED_R011,0.0090996939925914,2.6505868115124405
DIOR-R/22,P,2,"[2.1,3)",31923,141,COMPUTED_R011,0.0044168781129593085,2.70236480437804
DIOR-R/22,P,2,"[3,5)",15670,160,COMPUTED_R011,0.01021059349074665,2.585771523276977
DIOR-R/22,P,2,"[5,+inf)",2079,151,COMPUTED_R011,0.07263107263107263,2.344067667886258
DIOR-R/22,P,5,all,49389,1815,COMPUTED_R011,0.036749073680374174,5.183137549875821
DIOR-R/22,P,5,"[2.1,3)",31882,349,COMPUTED_R011,0.010946615645191645,5.222564392289682
DIOR-R/22,P,5,"[3,5)",15608,735,COMPUTED_R011,0.0470912352639672,5.144031153775305
DIOR-R/22,P,5,"[5,+inf)",1899,731,COMPUTED_R011,0.3849394418114797,4.842624669674958
DIOR-R/22,P,10,all,48303,13497,COMPUTED_R011,0.27942363828333644,10.011520000748488
DIOR-R/22,P,10,"[2.1,3)",31725,3686,COMPUTED_R011,0.1161859732072498,10.049096655450402
DIOR-R/22,P,10,"[3,5)",15328,8623,COMPUTED_R011,0.5625652400835073,9.987151148574043
DIOR-R/22,P,10,"[5,+inf)",1250,1188,COMPUTED_R011,0.9504,9.356645117318347
DIOR-R/22,P,15,all,46024,37349,COMPUTED_R011,0.8115113853641578,14.930841546088363
DIOR-R/22,P,15,"[2.1,3)",31348,23055,COMPUTED_R011,0.7354536174556591,14.987698272671597
DIOR-R/22,P,15,"[3,5)",14312,13933,COMPUTED_R011,0.9735187255449972,14.856356971148792
DIOR-R/22,P,15,"[5,+inf)",364,361,COMPUTED_R011,0.9917582417582418,12.962925533989793
DIOR-R/22,P,20,all,41786,40901,COMPUTED_R011,0.978820657636529,19.82057095026255
DIOR-R/22,P,20,"[2.1,3)",30474,29630,COMPUTED_R011,0.9723042593686422,19.905734985423113
DIOR-R/22,P,20,"[3,5)",11295,11254,COMPUTED_R011,0.9963700752545374,19.600097134394993
DIOR-R/22,P,20,"[5,+inf)",17,17,COMPUTED_R011,1.0,13.641920523120847
DIOR-R/22,P,25,all,32641,32464,COMPUTED_R011,0.9945773720167888,24.527880023899485
DIOR-R/22,P,25,"[2.1,3)",27511,27344,COMPUTED_R011,0.993929700846934,24.663336782106967
DIOR-R/22,P,25,"[3,5)",5128,5118,COMPUTED_R011,0.9980499219968799,23.804721014365274
DIOR-R/22,P,25,"[5,+inf)",2,2,COMPUTED_R011,1.0,15.4321429445992
DIOR-R/22,P,30,all,18807,18750,COMPUTED_R011,0.9969692135906844,29.155280554637972
DIOR-R/22,P,30,"[2.1,3)",18385,18329,COMPUTED_R011,0.9969540386184389,29.25719598904879
DIOR-R/22,P,30,"[3,5)",422,421,COMPUTED_R011,0.9976303317535545,24.71519699624253
DIOR-R/22,P,30,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,D,0,all,49736,299,COMPUTED_R011,0.00601174199774811,1.6653344256977949
DIOR-R/22,D,0,"[2.1,3)",31943,120,COMPUTED_R011,0.003756691606924835,1.7142715941945514
DIOR-R/22,D,0,"[3,5)",15678,117,COMPUTED_R011,0.007462686567164179,1.58712079369637
DIOR-R/22,D,0,"[5,+inf)",2115,62,COMPUTED_R011,0.029314420803782507,1.5060121321879107
DIOR-R/22,D,2,all,49623,796,COMPUTED_R011,0.01604094875360216,3.6580486952589224
DIOR-R/22,D,2,"[2.1,3)",31920,212,COMPUTED_R011,0.006641604010025063,3.7100487964270537
DIOR-R/22,D,2,"[3,5)",15656,307,COMPUTED_R011,0.01960909555442003,3.579446998171633
DIOR-R/22,D,2,"[5,+inf)",2047,277,COMPUTED_R011,0.1353199804592086,3.4483491057674795
DIOR-R/22,D,5,all,49181,3362,COMPUTED_R011,0.0683597324169903,6.637132534957179
DIOR-R/22,D,5,"[2.1,3)",31848,663,COMPUTED_R011,0.020817633760361717,6.696986765896828
DIOR-R/22,D,5,"[3,5)",15546,1484,COMPUTED_R011,0.09545863887816802,6.550775316938131
DIOR-R/22,D,5,"[5,+inf)",1787,1215,COMPUTED_R011,0.6799104644655848,6.321671854688653
DIOR-R/22,D,10,all,47780,20628,COMPUTED_R011,0.43172875680200923,11.58942030454742
DIOR-R/22,D,10,"[2.1,3)",31644,7061,COMPUTED_R011,0.22313866767791682,11.663178278310147
DIOR-R/22,D,10,"[3,5)",15107,12544,COMPUTED_R011,0.8303435493479844,11.473960015507176
DIOR-R/22,D,10,"[5,+inf)",1029,1023,COMPUTED_R011,0.9941690962099126,11.01630200015934
DIOR-R/22,D,15,all,44795,42154,COMPUTED_R011,0.941042527067753,16.51802916813731
DIOR-R/22,D,15,"[2.1,3)",31123,28494,COMPUTED_R011,0.9155287086720432,16.60744947006497
DIOR-R/22,D,15,"[3,5)",13569,13558,COMPUTED_R011,0.9991893286166998,16.321666473812133
DIOR-R/22,D,15,"[5,+inf)",103,102,COMPUTED_R011,0.9902912621359223,15.366741230332918
DIOR-R/22,D,20,all,39822,39721,COMPUTED_R011,0.997463713525187,21.387562317583928
DIOR-R/22,D,20,"[2.1,3)",29829,29734,COMPUTED_R011,0.996815179858527,21.49603431726571
DIOR-R/22,D,20,"[3,5)",9993,9987,COMPUTED_R011,0.9993995797057941,21.06377453828742
DIOR-R/22,D,20,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,D,25,all,28607,28590,COMPUTED_R011,0.9994057398538819,26.148658101461493
