radial_norm,noise_level,modulation_threshold,boundary_mass,radial_risk_coupling,unwrap_ambiguity,frequency_ratio,n,decoded_angle_mean_deg,angle_error_mean_deg,phase_mod_mean,negative_phase_mod_nrc_continuous,phase_mod_nrc_continuous,phase_mod_nrc_severe_event,direction_margin_nrc_continuous,multi_frequency_disagreement_nrc_continuous,unwrap_energy_gap_nrc_continuous,candidate_switch_rate,severe_event_rate,phase_mod_direction
0.55,0.03,0.3,0.1,-0.8,0.05,1:2,512,-1.67221858,23.90343227,0.35184969,1.88439364,0.14396334,0.06163602,0.14385306,0.81583731,0.81583731,0.0,0.42773438,INFORMATIVE
0.55,0.03,0.3,0.1,-0.8,0.45,1:2,512,-2.97667219,24.96952803,0.38508412,1.89696045,0.18364177,0.15061721,0.15848018,0.94732858,0.94732858,0.0,0.4296875,INFORMATIVE
0.55,0.03,0.3,0.1,-0.8,0.85,1:2,512,0.65509487,44.13664536,0.34878904,1.05167964,1.05042371,0.97870028,0.88749558,1.05168747,1.05168747,0.0,0.84179688,NEAR_RANDOM
0.55,0.03,0.3,0.1,0.0,0.05,1:2,512,0.80481451,39.01927007,0.3025,1.04339968,1.04339968,1.08435722,0.37988596,0.92171591,0.92171591,0.0,0.69921875,NEAR_RANDOM
0.55,0.03,0.3,0.1,0.0,0.45,1:2,512,-0.14634767,47.34264182,0.3025,0.94508221,0.94508221,0.91777937,0.76668814,1.0193983,1.0193983,0.0,0.87304688,NEAR_RANDOM
0.55,0.03,0.3,0.1,0.0,0.85,1:2,512,-0.05890108,47.10606513,0.3025,1.01317566,1.01317566,0.98953799,0.94476563,0.98390081,0.98390081,0.0,0.87890625,NEAR_RANDOM
0.55,0.03,0.3,0.1,0.8,0.05,1:2,512,-0.88221562,23.90851645,0.35131197,1.87883006,0.15059689,0.05751353,0.15052602,1.18402109,1.18402109,0.0,0.44140625,INFORMATIVE
0.55,0.03,0.3,0.1,0.8,0.45,1:2,512,-2.41611018,26.72154381,0.35906106,1.79748415,0.21543574,0.15339277,0.19700148,1.01104883,1.01104883,0.0,0.48046875,INFORMATIVE
0.55,0.03,0.3,0.1,0.8,0.85,1:2,512,-0.89884604,47.09154468,0.35299827,1.02134545,1.04476219,1.03501855,0.75967044,0.97211554,0.97211554,0.0,0.88476562,NEAR_RANDOM
0.55,0.03,0.3,0.4,-0.8,0.05,1:2,512,-2.91095806,29.91920328,0.36766945,1.92365082,0.11371463,0.04058522,0.11359421,0.78182838,0.78182838,0.0,0.44726562,INFORMATIVE
0.55,0.03,0.3,0.4,-0.8,0.45,1:2,512,-0.11078497,32.74836771,0.36274479,1.82174699,0.1675529,0.1088686,0.15301439,0.99095149,0.99095149,0.0,0.50195312,INFORMATIVE
0.55,0.03,0.3,0.4,-0.8,0.85,1:2,512,-0.65105358,57.39952293,0.33733009,1.01573118,0.9934567,1.04765489,0.8066693,0.95517004,0.95517004,0.0,0.875,NEAR_RANDOM
0.55,0.03,0.3,0.4,0.0,0.05,1:2,512,2.21856895,50.48730537,0.3025,0.93209836,0.93209836,0.90145837,0.35136696,1.01546546,1.01546546,0.0,0.75976562,NEAR_RANDOM
0.55,0.03,0.3,0.4,0.0,0.45,1:2,512,-0.27394587,60.91105835,0.3025,0.99024617,0.99024617,0.92779261,0.91097435,1.06707769,1.06707769,0.0,0.921875,NEAR_RANDOM
0.55,0.03,0.3,0.4,0.0,0.85,1:2,512,0.10274346,58.30800545,0.3025,0.96960832,0.96960832,0.97393955,0.91480685,1.02864847,1.02864847,0.0,0.921875,NEAR_RANDOM
0.55,0.03,0.3,0.4,0.8,0.05,1:2,512,0.32714467,31.79836716,0.34529241,1.83471646,0.12347904,0.03038407,0.12333902,1.14280516,1.14280516,0.0,0.48242188,INFORMATIVE
0.55,0.03,0.3,0.4,0.8,0.45,1:2,512,1.78383075,33.49895253,0.35699654,1.88512383,0.16359867,0.21395175,0.13987802,0.99772597,0.99772597,0.0,0.50976562,INFORMATIVE
0.55,0.03,0.3,0.4,0.8,0.85,1:2,512,1.3297477,56.02169213,0.34620266,1.01801656,1.01700197,1.02239465,0.74108711,0.93625111,0.93625111,0.0,0.87890625,NEAR_RANDOM
0.55,0.03,0.3,0.75,-0.8,0.05,1:2,512,-3.32325868,36.91848146,0.35467255,2.00101473,0.05730196,0.01431323,0.05727514,0.74574088,0.74574088,0.0,0.46875,INFORMATIVE
0.55,0.03,0.3,0.75,-0.8,0.45,1:2,512,-1.85539044,40.17057158,0.35108185,1.81936466,0.13321645,0.12283073,0.12024952,0.9702866,0.9702866,0.0,0.52734375,INFORMATIVE
0.55,0.03,0.3,0.75,-0.8,0.85,1:2,512,0.22702432,72.37398077,0.35889273,1.0040765,1.10455208,1.11170644,0.65924985,0.84227225,0.84227225,0.0,0.9296875,REVERSE
0.55,0.03,0.3,0.75,0.0,0.05,1:2,512,1.02023425,62.61033685,0.3025,0.94273344,0.94273344,0.93621498,0.26253731,0.93343696,0.93343696,0.0,0.79492188,NEAR_RANDOM
0.55,0.03,0.3,0.75,0.0,0.45,1:2,512,-0.54062308,75.32503036,0.3025,1.04355845,1.04355845,1.02205223,0.84524409,0.94802697,0.94802697,0.0,0.95117188,NEAR_RANDOM
0.55,0.03,0.3,0.75,0.0,0.85,1:2,512,0.66169999,75.25037291,0.3025,1.07030339,1.07030339,1.05117424,0.86425462,0.91004685,0.91004685,0.0,0.95703125,NEAR_RANDOM
0.55,0.03,0.3,0.75,0.8,0.05,1:2,512,-2.04651824,37.69825595,0.35020777,2.02359424,0.04909464,0.0147093,0.04905393,1.27754673,1.27754673,0.0,0.45703125,INFORMATIVE
0.55,0.03,0.3,0.75,0.8,0.45,1:2,512,1.16251017,37.51587053,0.35690967,1.89456488,0.11741718,0.12540796,0.10305278,0.97046944,0.97046944,0.0,0.49023438,INFORMATIVE
0.55,0.03,0.3,0.75,0.8,0.85,1:2,512,0.4896129,72.53862289,0.34920434,1.06775254,0.97119521,1.01915209,0.81914608,1.04783951,1.04783951,0.0,0.95117188,NEAR_RANDOM
0.55,0.03,0.47,0.1,-0.8,0.05,1:2,512,0.97158445,37.75605423,0.37289155,1.39517606,0.33903303,0.14769188,0.33904449,0.94757577,0.94757577,0.0,0.6953125,INFORMATIVE
0.55,0.03,0.47,0.1,-0.8,0.45,1:2,512,0.0,47.15394083,0.35081126,0.97853759,1.02070425,0.94416203,1.00978885,0.91633987,0.91633987,0.0,0.88867188,NEAR_RANDOM
0.55,0.03,0.47,0.1,-0.8,0.85,1:2,512,0.0,46.23034567,0.35267633,1.01362255,1.00571652,1.00534385,0.97597749,0.96561375,0.96561375,0.0,0.87109375,NEAR_RANDOM
0.55,0.03,0.47,0.1,0.0,0.05,1:2,512,0.0,49.32065562,0.3025,1.04647162,1.04647162,0.93856421,0.98174284,1.07747597,1.07747597,0.0,0.89648438,NEAR_RANDOM
0.55,0.03,0.47,0.1,0.0,0.45,1:2,512,0.0,47.28746881,0.3025,1.0105795,1.0105795,0.98623607,0.96732253,0.9463903,0.9463903,0.0,0.88476562,NEAR_RANDOM
0.55,0.03,0.47,0.1,0.0,0.85,1:2,512,0.0,49.22313934,0.3025,0.94782712,0.94782712,0.95945528,0.93553747,0.9826457,0.9826457,0.0,0.90429688,NEAR_RANDOM
