dataset,seed,intervention,parameter,AP50,AP75,delta_AP50,delta_AP75,AP_invariant,evidence_role
DIOR-R,0,RADIAL_FULL_EVALUATOR,0.25,0.50108,0.262996,-0.03282800000000008,-0.07724399999999998,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,0.5,0.532198,0.336366,-0.0017100000000001003,-0.0038739999999999886,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,0.75,0.533939,0.34018,3.100000000000325e-05,-6.0000000000004494e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,0.9,0.533896,0.340229,-1.2000000000012001e-05,-1.0999999999983245e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,1.0,0.533908,0.34024,0.0,0.0,True,RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,1.1,0.533908,0.340279,0.0,3.900000000001125e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,1.25,0.533901,0.340285,-7.000000000090267e-06,4.500000000001725e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,1.5,0.533902,0.340337,-6.000000000061512e-06,9.700000000001374e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,2.0,0.533902,0.340346,-6.000000000061512e-06,0.00010599999999999499,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,4.0,0.533824,0.340372,-8.400000000008401e-05,0.000132000000000021,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,0.25,0.502538,0.265973,-0.03479399999999999,-0.07550499999999999,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,0.5,0.536402,0.337622,-0.0009299999999999864,-0.003856000000000026,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,0.75,0.537324,0.34138,-8.000000000008e-06,-9.799999999998699e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,0.9,0.537328,0.341503,-4.000000000004e-06,2.4999999999997247e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,1.0,0.537332,0.341478,0.0,0.0,True,RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,1.1,0.537332,0.341485,0.0,6.999999999979245e-06,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,1.25,0.537336,0.341492,4.000000000004e-06,1.4000000000014001e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,1.5,0.537336,0.341475,4.000000000004e-06,-3.000000000030756e-06,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,2.0,0.537337,0.341475,4.999999999921734e-06,-3.000000000030756e-06,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,4.0,0.537336,0.341448,4.000000000004e-06,-3.0000000000030003e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,0.25,0.506076,0.263208,-0.03521300000000005,-0.07515,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,0.5,0.540117,0.335385,-0.0011720000000000619,-0.0029730000000000034,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,0.75,0.541296,0.338083,6.999999999979245e-06,-0.0002749999999999697,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,0.9,0.541288,0.338026,-1.0000000000287557e-06,-0.00033199999999999896,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,1.0,0.541289,0.338358,0.0,0.0,True,RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,1.1,0.541289,0.338385,0.0,2.6999999999999247e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,1.25,0.541289,0.338383,0.0,2.4999999999997247e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,1.5,0.541287,0.338381,-2.0000000000575113e-06,2.2999999999995246e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,2.0,0.541287,0.338358,-2.0000000000575113e-06,0.0,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,4.0,0.541283,0.338476,-6.000000000061512e-06,0.00011800000000000699,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,0.25,0.532371,0.176339,-0.06563299999999994,-0.084037,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,0.5,0.597311,0.257462,-0.0006929999999999437,-0.002913999999999972,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,0.75,0.598014,0.260399,1.0000000000065512e-05,2.2999999999995246e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,0.9,0.598003,0.26038,-1.0000000000287557e-06,4.000000000004e-06,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,1.0,0.598004,0.260376,0.0,0.0,True,RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,1.1,0.598,0.260375,-4.000000000004e-06,-9.999999999732445e-07,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,1.25,0.598,0.260384,-4.000000000004e-06,8.000000000008e-06,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,1.5,0.598,0.260358,-4.000000000004e-06,-1.8000000000018e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,2.0,0.597999,0.260356,-5.000000000032756e-06,-2.0000000000020002e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,4.0,0.597998,0.260361,-5.999999999950489e-06,-1.4999999999987246e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,0.25,0.505353,0.167957,-0.06780399999999998,-0.08122300000000002,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,0.5,0.571846,0.246588,-0.0013110000000000621,-0.002592000000000011,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,0.75,0.573163,0.24917,5.999999999950489e-06,-1.0000000000010001e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,0.9,0.573154,0.249178,-2.9999999999752447e-06,-2.000000000002e-06,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,1.0,0.573157,0.24918,0.0,0.0,True,RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,1.1,0.573153,0.24918,-4.000000000004e-06,0.0,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,1.25,0.573155,0.249178,-2.0000000000575113e-06,-2.000000000002e-06,False,MECHANISM_ONLY_NOT_RANKING_ONLY
