record_type,dataset,seed,raw_path,raw_sha256,cache_path,cache_sha256,key,dtype,shape,raw_content_hash,cache_content_hash,raw_rows,eligible_rows,row_order_instance_id_hash,cache_row_order_hash,tolerance,max_abs_error,status,notes
r001_lock,,,dis/server_reports/orientbench-c-r001-20260805.md,e719c2f9ab1619fafa0f6e8faf4d3c54f30fb6e81bd89aca17b79ff6bdbf5a5e,,,,,,e719c2f9ab1619fafa0f6e8faf4d3c54f30fb6e81bd89aca17b79ff6bdbf5a5e,e719c2f9ab1619fafa0f6e8faf4d3c54f30fb6e81bd89aca17b79ff6bdbf5a5e,,,e725310b04a8b9f414d1b0faf1efdd22a8efb74e,e725310b04a8b9f414d1b0faf1efdd22a8efb74e,byte-exact,0,PASS,snapshot Git blob and raw SHA-256
r001_lock,,,top_journal_v3_reaudit_055/paper_B_psc_mechanism/reports/b3_candidate_cluster_bootstrap_reaudit_r001.csv,5565e64408c893d530c6afb3519a452c6ed9e5c6e119d0ccba05c85d7a3f55b8,,,,,,5565e64408c893d530c6afb3519a452c6ed9e5c6e119d0ccba05c85d7a3f55b8,5565e64408c893d530c6afb3519a452c6ed9e5c6e119d0ccba05c85d7a3f55b8,,,89b6075af152aa593138cc2c250940609a5a8316,89b6075af152aa593138cc2c250940609a5a8316,byte-exact,0,PASS,snapshot Git blob and raw SHA-256
r001_lock,,,top_journal_v3_reaudit_055/paper_B_psc_mechanism/reports/b4_candidate_external_bootstrap_reaudit_r001.csv,26f50915102d166a550b2a05887cddcfd3c3bc866d40ddd64e0d79147f13d30d,,,,,,26f50915102d166a550b2a05887cddcfd3c3bc866d40ddd64e0d79147f13d30d,26f50915102d166a550b2a05887cddcfd3c3bc866d40ddd64e0d79147f13d30d,,,814596ff420e9e6ba58cb8ccb4beb6a3edd2d938,814596ff420e9e6ba58cb8ccb4beb6a3edd2d938,byte-exact,0,PASS,snapshot Git blob and raw SHA-256
r001_lock,,,top_journal_v3_reaudit_055/paper_B_psc_mechanism/reports/b5_gate_reaudit_r001.csv,4f5f0d56d3038df0b373885dcd9392c279348d4812039b97949e9356c61887bd,,,,,,4f5f0d56d3038df0b373885dcd9392c279348d4812039b97949e9356c61887bd,4f5f0d56d3038df0b373885dcd9392c279348d4812039b97949e9356c61887bd,,,067a2f75cc909c29c4a3834ab415808c782e6639,067a2f75cc909c29c4a3834ab415808c782e6639,byte-exact,0,PASS,snapshot Git blob and raw SHA-256
r001_lock,,,top_journal_v3_reaudit_055/paper_B_psc_mechanism/reports/b3_b4_estimand_equivalence_tests_r001.csv,89f0675e1c2e14d2fd1779fa1aba3c1a88685dbe14aaa97c3de3f53205238e6a,,,,,,89f0675e1c2e14d2fd1779fa1aba3c1a88685dbe14aaa97c3de3f53205238e6a,89f0675e1c2e14d2fd1779fa1aba3c1a88685dbe14aaa97c3de3f53205238e6a,,,87268a8f0bf1e9c491b33487687371db99db115e,87268a8f0bf1e9c491b33487687371db99db115e,byte-exact,0,PASS,snapshot Git blob and raw SHA-256
r001_lock,,,top_journal_v3_reaudit_055/paper_B_psc_mechanism/reports/b3_b4_reaudit_manifest_r001.json,2406f27a690d054772b1d3c69fc170a3ef893de5144dbc998318047c6a32c54d,,,,,,2406f27a690d054772b1d3c69fc170a3ef893de5144dbc998318047c6a32c54d,2406f27a690d054772b1d3c69fc170a3ef893de5144dbc998318047c6a32c54d,,,025d64e0d2525f02fc14049262905e6556448725,025d64e0d2525f02fc14049262905e6556448725,byte-exact,0,PASS,snapshot Git blob and raw SHA-256
r001_lock,,,top_journal_v3_reaudit_055/paper_B_psc_mechanism/scripts/reaudit_b3_b4_r001.py,d40a9de1cab22e4300c8abbad45374e619b9926dbbea6c79b22c5d6bd4cb0266,,,,,,d40a9de1cab22e4300c8abbad45374e619b9926dbbea6c79b22c5d6bd4cb0266,d40a9de1cab22e4300c8abbad45374e619b9926dbbea6c79b22c5d6bd4cb0266,,,7aecadcaf30956627251fbfd4cb3cb93d4065dbb,7aecadcaf30956627251fbfd4cb3cb93d4065dbb,byte-exact,0,PASS,snapshot Git blob and raw SHA-256
r001_lock,,,top_journal_v3_reaudit_055/paper_B_psc_mechanism/scripts/test_b3_b4_reaudit_r001.py,8b38c858a5bf844774ead33f164782335c4c9055380e3b69f888052b4bcd7311,,,,,,8b38c858a5bf844774ead33f164782335c4c9055380e3b69f888052b4bcd7311,8b38c858a5bf844774ead33f164782335c4c9055380e3b69f888052b4bcd7311,,,af3ebd227b2eaac947a6c2b9141bd37bf75166b5,af3ebd227b2eaac947a6c2b9141bd37bf75166b5,byte-exact,0,PASS,snapshot Git blob and raw SHA-256
cache_array,DIOR-R,0,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/matched_phase.jsonl,e793354efdb9db4fbdaaebda91e5d46c47b4529a57ca88fcf7fd3ae2dba60856,top_journal_v3_reaudit_055/paper_B_psc_mechanism/artifacts/b3_cache/DIOR_R_seed0.npz,5a3f6c1f5c7529b749d5912078b2ddc9a48c2b67df211eafb5d1e2dd5d0f1545,ar,float64,[48282],82f00950d2de31df8681673b060abf97591002ce192ac5d2b4f74dfb330d7861,82f00950d2de31df8681673b060abf97591002ce192ac5d2b4f74dfb330d7861,85040,48282,90d355ef6bdfba6b9e2e404e260f82400db13ef6b5d50b0b82c5549a9cdfb607,,rtol=0;atol=0;NaN-equal,0.0,PASS,direct JSON field parse followed only by GT aspect_ratio>=2.1; no floating derivation
cache_array,DIOR-R,0,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/matched_phase.jsonl,e793354efdb9db4fbdaaebda91e5d46c47b4529a57ca88fcf7fd3ae2dba60856,top_journal_v3_reaudit_055/paper_B_psc_mechanism/artifacts/b3_cache/DIOR_R_seed0.npz,5a3f6c1f5c7529b749d5912078b2ddc9a48c2b67df211eafb5d1e2dd5d0f1545,boundary,float64,[48282],ece88328b833793a8d4c83b0d705bb85c9ad5ebd6ffac0f4b055bf3abd9bec28,ece88328b833793a8d4c83b0d705bb85c9ad5ebd6ffac0f4b055bf3abd9bec28,85040,48282,90d355ef6bdfba6b9e2e404e260f82400db13ef6b5d50b0b82c5549a9cdfb607,,rtol=0;atol=0;NaN-equal,0.0,PASS,direct JSON field parse followed only by GT aspect_ratio>=2.1; no floating derivation
