dataset,seed,endpoint,analysis,factor,estimate,uncontrolled,n,status
DIOR-R,0,endpoint_continuous,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,0.09921353841019942,0.18638323086485178,48282,COMPLETE
DIOR-R,0,endpoint_continuous,availability,objectness,nan,0.18638323086485178,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
DIOR-R,0,endpoint_continuous,within_bin,size,0.1831307388965972,0.18638323086485178,48282,COMPLETE
DIOR-R,0,endpoint_continuous,within_bin,aspect_ratio,0.1873107201604548,0.18638323086485178,48282,COMPLETE
DIOR-R,0,endpoint_continuous,within_bin,detection_score,0.21740284958392858,0.18638323086485178,48282,COMPLETE
DIOR-R,0,endpoint_continuous,within_bin,feature_norm,0.06050605908675992,0.18638323086485178,48282,COMPLETE
DIOR-R,0,endpoint_continuous,within_bin,boundary,0.028803531333005318,0.18638323086485178,48282,COMPLETE
DIOR-R,0,endpoint_continuous,within_class,class,0.06356745830933061,0.18638323086485178,48282,max_class_share=0.586513
DIOR-R,0,endpoint_continuous,boundary_interaction,boundary_near,nan,0.18638323086485178,0,INSUFFICIENT
DIOR-R,0,endpoint_continuous,boundary_interaction,boundary_intermediate,nan,0.18638323086485178,0,INSUFFICIENT
DIOR-R,0,endpoint_continuous,boundary_interaction,boundary_far,0.18638323086485178,0.18638323086485178,48282,COMPLETE
DIOR-R,0,endpoint_severe_event,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,-0.048387726217514325,-0.015679545429883056,48282,COMPLETE
DIOR-R,0,endpoint_severe_event,availability,objectness,nan,-0.015679545429883056,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
DIOR-R,0,endpoint_severe_event,within_bin,size,-0.02014941044951351,-0.015679545429883056,48282,COMPLETE
DIOR-R,0,endpoint_severe_event,within_bin,aspect_ratio,-0.016947212427969302,-0.015679545429883056,48282,COMPLETE
DIOR-R,0,endpoint_severe_event,within_bin,detection_score,-0.00723588978564766,-0.015679545429883056,48282,COMPLETE
DIOR-R,0,endpoint_severe_event,within_bin,feature_norm,-0.015573616798497874,-0.015679545429883056,48282,COMPLETE
DIOR-R,0,endpoint_severe_event,within_bin,boundary,-0.012217491372076516,-0.015679545429883056,48282,COMPLETE
DIOR-R,0,endpoint_severe_event,within_class,class,-0.02114028427580296,-0.015679545429883056,48282,max_class_share=0.586513
DIOR-R,0,endpoint_severe_event,boundary_interaction,boundary_near,nan,-0.015679545429883056,0,INSUFFICIENT
DIOR-R,0,endpoint_severe_event,boundary_interaction,boundary_intermediate,nan,-0.015679545429883056,0,INSUFFICIENT
DIOR-R,0,endpoint_severe_event,boundary_interaction,boundary_far,-0.015679545429883056,-0.015679545429883056,48282,COMPLETE
DIOR-R,1,endpoint_continuous,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,0.1044347016114465,0.1719066188738413,48152,COMPLETE
