path,bytes,sha256
DECISIVE_REPORT.md,3804,317d677401fbaabf4538ee282d3c2d80c7db20668b4c224b5b6a9630b1cee29d
audit_endpoints.py,5595,8ece2469a096af6ac3b163818822cbb4b398c81c455bf760a6c2f65aad1e6449
audit_protocol.json,889,7903b94123755304df7f897ed6c7039afd3ed2ee680bc10d8de0519863145596
build_bundle.py,2895,bdce8e4fa61b4d64b683ce4a66b5da515b47fe5370732ed95e7be191b468a651
compare_ab.py,4613,a6b07df6e9d4efb446c62a79f78423ff4e02fa76e88bdf024b0b4fd58aed0b03
deviation_ledger.csv,766,476c2aaf32407177b7af461b18670e610497acd299768df8348fed2b8e8bde83
execution_ledger.csv,575,3ff5b441dcc22463da30c23149ae8010af90e85c19ce353fa36e440a2d758e59
execution_summary.json,877,6939c9d64b92a0559d03b67fa328c7cc7e6d128b7aa6374daed9192857179181
finalize_artifacts.py,2932,1b1ea4b84dccebeb4044a97f9abf66ed2bfa05dd1e3b10c976984236e96c8c02
finalize_results.py,6698,60ed6aed83455d37084418022b503ff34a5a9f7ebe23b90d0c991a8b6bd90438
implementation_a.py,17982,4d9e1b9fe7d074a18cd0cb0c3eeb7ea87c65ebd71fea17535b4384eecbe07d0c
implementation_b.py,14610,1742e7c4c422ffb25bcbd46bd806f4f9d1fbb8a0fc2b8c5812c40601065716c1
multimodality_a.py,5667,1b449d23916a5551192190e9785b0a124f6f90961e3db19d23549be5aa3d62bf
multimodality_b.py,6049,f64a89f4c6f5b05dcc54496c380f29db0aa1e90f070fe6bbc5a9c178e25c6458
mutations/cases/m01_kill_e_floor/protocol.json,888,3f301a0f9201be921c3bd7c1b90eb26463fe8d1c368652b4229bbaeb41d2080a
mutations/cases/m02_common_support/protocol.json,812,df493a70f364e5d57234483896dbb035e9deca422a220adb040798afdb4da263
mutations/cases/m03_nominal_coverage/t4.csv,3210,6fa2e1a7e6a515924cb1566854a45a000d6d8e0422c7b8a9867d8f66814b8785
mutations/cases/m04_dip_threshold/protocol.json,888,e64f38cd352bdae1645ef781875d397bf15935e23e20e0163a3f2e6c44df8af4
mutations/cases/m05_judgment/judgment.json,556,eac007beccc8e00558bb6ea6b1c78615bbf8cb7740967ccdae44cb4e8184e0da
mutations/cases/m06_target_label_guard/fit_guard.csv,498,ba371c487533587aa148367441f812e01caa360699873ab84e97b1cf247fe125
mutations/mutation_results.json,3871,9653f45f7e8c0b6623715e790d2945261be4195340070d16d76fd42997551a50
prepare_inputs.py,7981,404657a39d48dce3c7f640f345ad85c36ad0da757bb9dd76155d64b2bbbb8c88
reproduce.sh,416,a114433a19539af21f2e105d0131975ee4e33bf5f3df5978f7948e8b9b3b403e
resource_usage.json,499,f8f76e9a9bd56e198830e32fbfd5ed8ade61a6fa709cfb2644d0bf799c2c5281
run_mutations.py,3402,1cd216853f6b249495f86fba6206d080f4a097e5f8401e4ca7ba36239ee0a97f
validate_r036.py,12374,094e45a8392048a616ba8ed44a25188d5e5bc686ee72ba148238e6cd697b1bfb
validation/bundle_validation.json,501,b166f5d7005d550aded74daa2747e33fe656944377f20c72ad5185cbcf2f40bf
validation/validation.json,501,b166f5d7005d550aded74daa2747e33fe656944377f20c72ad5185cbcf2f40bf
verify_bundle_manifest.py,892,69396c7c4722f44bd2f4360cc3d512340bd5e17630480b6e8026fba5a1bef0f3
