cell,dataset,baseline_id,detector,selector,source,protocol,near_square_handling,ar_threshold,split,n,nrc,aurc,r70,r90
DIOR#22,DIOR-R,22,rotated_retinanet_psc,detection_score,052_matched_17field_full,unmasked_all,excluded,none,D_cal+D_audit,29994,1.141,5.3601,4.969,4.748
DIOR#22,DIOR-R,22,rotated_retinanet_psc,detection_score,052_matched_17field_full,masked_ar1.6_all,excluded,1.6,D_cal+D_audit,24988,0.5424,1.1373,1.442,1.606
DIOR#22,DIOR-R,22,rotated_retinanet_psc,detection_score,052_matched_17field_full,masked_ar1.3_all,excluded,1.3,D_cal+D_audit,26048,0.5494,1.2141,1.532,1.712
DIOR#22,DIOR-R,22,rotated_retinanet_psc,detection_score,052_matched_17field_full,masked_ar1.6_Daudit,excluded,1.6,D_audit,12891,0.5615,1.1818,1.527,1.648
DIOR#22,DIOR-R,22,rotated_retinanet_psc,detection_score,052_matched_17field_full,not_near_square_all,excluded,none,D_cal+D_audit,26885,0.5359,1.2115,1.568,1.751
FAIR1M#24,FAIR1M-v1.0,24,rotated_retinanet_psc,detection_score,052_matched_17field_full,unmasked_all,excluded,none,D_cal+D_audit,54768,1.6203,6.9743,5.127,4.745
FAIR1M#24,FAIR1M-v1.0,24,rotated_retinanet_psc,detection_score,052_matched_17field_full,masked_ar1.6_all,excluded,1.6,D_cal+D_audit,45740,0.8848,2.2838,2.386,2.457
FAIR1M#24,FAIR1M-v1.0,24,rotated_retinanet_psc,detection_score,052_matched_17field_full,masked_ar1.3_all,excluded,1.3,D_cal+D_audit,48249,0.9534,2.5088,2.504,2.56
FAIR1M#24,FAIR1M-v1.0,24,rotated_retinanet_psc,detection_score,052_matched_17field_full,masked_ar1.6_Daudit,excluded,1.6,D_audit,21754,0.9205,2.3535,2.435,2.47
FAIR1M#24,FAIR1M-v1.0,24,rotated_retinanet_psc,detection_score,052_matched_17field_full,not_near_square_all,excluded,none,D_cal+D_audit,49775,1.0193,2.6625,2.566,2.608
SODA#23,SODA-A,23,rotated_retinanet_psc,detection_score,052_matched_17field_full,unmasked_all,excluded,none,D_cal+D_audit,309218,1.7979,8.7522,5.781,5.327
SODA#23,SODA-A,23,rotated_retinanet_psc,detection_score,052_matched_17field_full,masked_ar1.6_all,excluded,1.6,D_cal+D_audit,267796,0.9138,2.2741,2.196,2.329
SODA#23,SODA-A,23,rotated_retinanet_psc,detection_score,052_matched_17field_full,masked_ar1.3_all,excluded,1.3,D_cal+D_audit,280222,1.0495,2.73,2.454,2.552
SODA#23,SODA-A,23,rotated_retinanet_psc,detection_score,052_matched_17field_full,masked_ar1.6_Daudit,excluded,1.6,D_audit,136919,0.9064,2.2555,2.184,2.317
SODA#23,SODA-A,23,rotated_retinanet_psc,detection_score,052_matched_17field_full,not_near_square_all,excluded,none,D_cal+D_audit,285701,1.1482,3.0077,2.595,2.656
DOTA#20,DOTA-v1.0,20,rotated_retinanet_psc,detection_score,052_matched_17field_full,unmasked_all,excluded,none,D_cal+D_audit,486,1.0368,1.4159,1.363,1.373
DOTA#20,DOTA-v1.0,20,rotated_retinanet_psc,detection_score,052_matched_17field_full,masked_ar1.6_all,excluded,1.6,D_cal+D_audit,486,1.0368,1.4159,1.363,1.373
DOTA#20,DOTA-v1.0,20,rotated_retinanet_psc,detection_score,052_matched_17field_full,masked_ar1.3_all,excluded,1.3,D_cal+D_audit,486,1.0368,1.4159,1.363,1.373
DOTA#20,DOTA-v1.0,20,rotated_retinanet_psc,detection_score,052_matched_17field_full,masked_ar1.6_Daudit,excluded,1.6,D_audit,280,1.0294,1.4179,1.38,1.386
DOTA#20,DOTA-v1.0,20,rotated_retinanet_psc,detection_score,052_matched_17field_full,not_near_square_all,excluded,none,D_cal+D_audit,486,1.0368,1.4159,1.363,1.373
DIOR#3,DIOR-R,3,oriented_rcnn,detection_score,052_matched_17field_full,unmasked_all,excluded,none,D_cal+D_audit,32161,1.1404,5.1464,4.573,4.535
DIOR#3,DIOR-R,3,oriented_rcnn,detection_score,052_matched_17field_full,masked_ar1.6_all,excluded,1.6,D_cal+D_audit,26957,0.5258,1.2433,1.485,1.719
DIOR#3,DIOR-R,3,oriented_rcnn,detection_score,052_matched_17field_full,masked_ar1.3_all,excluded,1.3,D_cal+D_audit,28086,0.5138,1.2752,1.535,1.783
DIOR#3,DIOR-R,3,oriented_rcnn,detection_score,052_matched_17field_full,masked_ar1.6_Daudit,excluded,1.6,D_audit,14072,0.5277,1.2768,1.545,1.759
DIOR#3,DIOR-R,3,oriented_rcnn,detection_score,052_matched_17field_full,not_near_square_all,excluded,none,D_cal+D_audit,29058,0.5123,1.3069,1.599,1.821
DIOR#61,DIOR-R,61,rotated_rtmdet_s,detection_score,052_matched_17field_full,unmasked_all,excluded,none,D_cal+D_audit,32696,1.0585,4.5934,3.878,4.101
