cls,AP50_s1a,AP50_ours,diff
airplane,0.583,0.5867,-0.0037
airport,0.1326,0.1852,-0.0526
baseballfield,0.673,0.6606,0.0123
basketballcourt,0.8439,0.8077,0.0362
bridge,0.1615,0.2004,-0.0389
chimney,0.7135,0.7196,-0.006
dam,0.1312,0.1762,-0.0451
Expressway-Service-area,0.6017,0.5945,0.0072
Expressway-toll-station,0.5003,0.4994,0.0008
golffield,0.6648,0.6519,0.0128
groundtrackfield,0.764,0.7391,0.0249
harbor,0.1866,0.2167,-0.0301
overpass,0.3496,0.3608,-0.0113
ship,0.8126,0.7927,0.0199
stadium,0.648,0.6315,0.0165
storagetank,0.5904,0.5741,0.0164
tenniscourt,0.8505,0.8122,0.0382
trainstation,0.3935,0.405,-0.0115
vehicle,0.3737,0.3869,-0.0132
windmill,0.6191,0.6198,-0.0007
