run_id,head,dataset,seed,lr,amp_mode,final_ap50,status,eval_json
K2_final__PSC__DIOR-R__seed0,PSC,DIOR-R,0,0.0025,amp,0.539,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__PSC__DIOR-R__seed0.json
K2_final__PSC__DIOR-R__seed1,PSC,DIOR-R,1,0.0025,amp,0.537,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__PSC__DIOR-R__seed1.json
K2_final__PSC__DIOR-R__seed2,PSC,DIOR-R,2,0.0025,amp,0.541,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__PSC__DIOR-R__seed2.json
K2_final__PSC__SODA-A__seed0,PSC,SODA-A,0,0.01,prev,0.598,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__PSC__SODA-A__seed0.json
K2_final__PSC__SODA-A__seed1,PSC,SODA-A,1,0.01,amp,0.573,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__PSC__SODA-A__seed1.json
K2_final__PSC__SODA-A__seed2,PSC,SODA-A,2,0.01,amp,0.588,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__PSC__SODA-A__seed2.json
K2_final__CSL__DIOR-R__seed0,CSL,DIOR-R,0,0.0025,prev,0.315,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__DIOR-R__seed0.json
K2_final__CSL__DIOR-R__seed1,CSL,DIOR-R,1,0.0025,prev,0.298,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__DIOR-R__seed1.json
K2_final__CSL__DIOR-R__seed2,CSL,DIOR-R,2,0.0025,prev,0.325,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__DIOR-R__seed2.json
K2_final__CSL__SODA-A__seed0,CSL,SODA-A,0,0.0025,prev,0.318,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__SODA-A__seed0.json
K2_final__CSL__SODA-A__seed1,CSL,SODA-A,1,0.0025,amp,0.362,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__SODA-A__seed1.json
K2_final__CSL__SODA-A__seed2,CSL,SODA-A,2,0.0025,prev,0.366,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__SODA-A__seed2.json
K2_final__DCL__DIOR-R__seed0,DCL,DIOR-R,0,0.0025,prev,0.423,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__DCL__DIOR-R__seed0.json
K2_final__DCL__DIOR-R__seed1,DCL,DIOR-R,1,0.0025,prev,0.434,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__DCL__DIOR-R__seed1.json
K2_final__DCL__DIOR-R__seed2,DCL,DIOR-R,2,0.0025,amp,0.433,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__DCL__DIOR-R__seed2.json
K2_final__DCL__SODA-A__seed0,DCL,SODA-A,0,0.0025,prev,0.541,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__DCL__SODA-A__seed0.json
K2_final__DCL__SODA-A__seed1,DCL,SODA-A,1,0.0025,amp,0.552,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__DCL__SODA-A__seed1.json
K2_final__DCL__SODA-A__seed2,DCL,SODA-A,2,0.0025,prev,0.547,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__DCL__SODA-A__seed2.json
K2_final__direct_regression_le90__DIOR-R__seed0,direct_regression_le90,DIOR-R,0,0.0025,amp+fp32_exhausted,,failed_training,
K2_final__direct_regression_le90__DIOR-R__seed1,direct_regression_le90,DIOR-R,1,0.0025,amp+fp32_exhausted,,failed_training,
K2_final__direct_regression_le90__DIOR-R__seed2,direct_regression_le90,DIOR-R,2,0.0025,amp+fp32_exhausted,,failed_training,
K2_final__direct_regression_le90__SODA-A__seed0,direct_regression_le90,SODA-A,0,0.0025,prev,0.0,complete,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__direct_regression_le90__SODA-A__seed0.json
K2_final__direct_regression_le90__SODA-A__seed1,direct_regression_le90,SODA-A,1,0.0025,amp+fp32_exhausted,,failed_training,
K2_final__direct_regression_le90__SODA-A__seed2,direct_regression_le90,SODA-A,2,0.0025,amp+fp32_exhausted,,failed_training,
