run_id,checkpoint,ckpt_sha,log,log_sha,eval_json,eval_sha,evaluator,can_recompute
K2_final__PSC__DIOR-R__seed0,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed0/epoch_12.pth,dcaa351dbb558ce9,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_final__PSC__DIOR-R__seed0.log,0ae900961f6f00f1,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__PSC__DIOR-R__seed0.json,75f9e74fc60484e3,torch VOC-AP==DOTAMetric + instrumented native,yes
K2_final__PSC__DIOR-R__seed1,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed1/epoch_12.pth,800b7294a303d0f8,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_final__PSC__DIOR-R__seed1.log,f1c28689d198b440,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__PSC__DIOR-R__seed1.json,f7acc099f3bf8118,torch VOC-AP==DOTAMetric + instrumented native,yes
K2_final__PSC__DIOR-R__seed2,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed2/epoch_12.pth,5f1b80d0c10d4439,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_final__PSC__DIOR-R__seed2.log,5a4cef06186cad06,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__PSC__DIOR-R__seed2.json,6f88538be057062a,torch VOC-AP==DOTAMetric + instrumented native,yes
K2_final__PSC__SODA-A__seed0,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__SODA-A__seed0/epoch_12.pth,c4e272b2f59096da,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_final__PSC__SODA-A__seed0.log,7ad4ff13a0a4f22a,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__PSC__SODA-A__seed0.json,3d21f3cec3816e97,torch VOC-AP==DOTAMetric + instrumented native,yes
K2_final__PSC__SODA-A__seed1,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__SODA-A__seed1/epoch_12.pth,e3c16510c1f675c3,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_final__PSC__SODA-A__seed1.log,3888464e77dcc985,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__PSC__SODA-A__seed1.json,586709c7335b9cf5,torch VOC-AP==DOTAMetric + instrumented native,yes
K2_final__PSC__SODA-A__seed2,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__SODA-A__seed2/epoch_12.pth,5a4e0b71d79ca33b,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_final__PSC__SODA-A__seed2.log,32646fed62166923,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__PSC__SODA-A__seed2.json,b8b399d5d007af98,torch VOC-AP==DOTAMetric + instrumented native,yes
K2_final__CSL__DIOR-R__seed0,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed0/epoch_12.pth,9c17aa7cfef8502f,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_final__CSL__DIOR-R__seed0.log,4ce70b89f87c49aa,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__DIOR-R__seed0.json,be0fcd4b55d49499,torch VOC-AP==DOTAMetric + instrumented native,yes
K2_final__CSL__DIOR-R__seed1,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed1/epoch_12.pth,6a65a07eda54edf2,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_final__CSL__DIOR-R__seed1.log,f6b8efb0e6f8a6c5,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__DIOR-R__seed1.json,fa3ab1532b0f02b8,torch VOC-AP==DOTAMetric + instrumented native,yes
K2_final__CSL__DIOR-R__seed2,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed2/epoch_12.pth,b46af2b46b7370a5,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_final__CSL__DIOR-R__seed2.log,9e36f05f7fc03e66,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__DIOR-R__seed2.json,6bdd671bbc9b28ef,torch VOC-AP==DOTAMetric + instrumented native,yes
K2_final__CSL__SODA-A__seed0,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__SODA-A__seed0/epoch_12.pth,bec710beb15aed75,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_final__CSL__SODA-A__seed0.log,95797430fecf744c,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__SODA-A__seed0.json,b6fc993647898fe6,torch VOC-AP==DOTAMetric + instrumented native,yes
