run_id,head,dataset,seed,reason
K2_final__direct_regression_le90__DIOR-R__seed0,direct_regression_le90,DIOR-R,0,failed_training after amp+fp32 budget
K2_final__direct_regression_le90__DIOR-R__seed1,direct_regression_le90,DIOR-R,1,failed_training after amp+fp32 budget
K2_final__direct_regression_le90__DIOR-R__seed2,direct_regression_le90,DIOR-R,2,failed_training after amp+fp32 budget
K2_final__direct_regression_le90__SODA-A__seed1,direct_regression_le90,SODA-A,1,failed_training after amp+fp32 budget
K2_final__direct_regression_le90__SODA-A__seed2,direct_regression_le90,SODA-A,2,failed_training after amp+fp32 budget
K2_final__KLD__DIOR-R__seed0,KLD,DIOR-R,0,all LR pilots failed (method-level under equal budget)
K2_final__KLD__DIOR-R__seed1,KLD,DIOR-R,1,all LR pilots failed (method-level under equal budget)
K2_final__KLD__DIOR-R__seed2,KLD,DIOR-R,2,all LR pilots failed (method-level under equal budget)
K2_final__KLD__SODA-A__seed0,KLD,SODA-A,0,all LR pilots failed (method-level under equal budget)
K2_final__KLD__SODA-A__seed1,KLD,SODA-A,1,all LR pilots failed (method-level under equal budget)
K2_final__KLD__SODA-A__seed2,KLD,SODA-A,2,all LR pilots failed (method-level under equal budget)
