run_id,amp_mode,status,ap50,decision
K2_pilot__PSC__DIOR-R__lr0.0025,amp,complete,0.289,kept
K2_pilot__PSC__DIOR-R__lr0.005,amp,complete,0.213,kept
K2_pilot__PSC__DIOR-R__lr0.01,amp,complete,0.175,kept
K2_pilot__PSC__SODA-A__lr0.0025,amp,rc_fail,,rc_fail
K2_pilot__PSC__SODA-A__lr0.0025,fp32_fallback,rc_fail,,rc_fail
K2_pilot__PSC__SODA-A__lr0.005,amp,rc_fail,,rc_fail
K2_pilot__PSC__SODA-A__lr0.005,fp32_fallback,rc_fail,,rc_fail
K2_pilot__PSC__SODA-A__lr0.01,amp,complete,0.365,kept
K2_pilot__CSL__DIOR-R__lr0.0025,amp,complete,0.204,kept
K2_pilot__CSL__DIOR-R__lr0.01,amp,complete,0.157,kept
K2_pilot__CSL__SODA-A__lr0.0025,amp,complete,0.264,kept
K2_pilot__CSL__SODA-A__lr0.005,amp,complete,0.257,kept
K2_pilot__CSL__SODA-A__lr0.01,amp,diverged,0.0,diverged
K2_pilot__CSL__SODA-A__lr0.01,fp32_fallback,diverged,0.0,diverged
K2_pilot__DCL__DIOR-R__lr0.005,amp,complete,0.053,kept
K2_pilot__DCL__DIOR-R__lr0.01,amp,complete,0.086,kept
K2_pilot__DCL__SODA-A__lr0.0025,amp,complete,0.344,kept
K2_pilot__DCL__SODA-A__lr0.01,amp,diverged,0.0,diverged
K2_pilot__DCL__SODA-A__lr0.01,fp32_fallback,diverged,0.0,diverged
K2_pilot__direct_regression_le90__SODA-A__lr0.005,amp,nan,,nan
K2_pilot__direct_regression_le90__SODA-A__lr0.005,fp32_fallback,nan,,nan
K2_pilot__direct_regression_le90__SODA-A__lr0.01,amp,nan,,nan
K2_pilot__direct_regression_le90__SODA-A__lr0.01,fp32_fallback,nan,,nan
K2_pilot__KLD__DIOR-R__lr0.0025,amp,amp_incompat,,amp_incompat
K2_pilot__KLD__DIOR-R__lr0.0025,fp32_fallback,amp_incompat,,amp_incompat
K2_pilot__KLD__DIOR-R__lr0.005,amp,amp_incompat,,amp_incompat
K2_pilot__KLD__DIOR-R__lr0.005,fp32_fallback,amp_incompat,,amp_incompat
K2_pilot__KLD__DIOR-R__lr0.01,amp,amp_incompat,,amp_incompat
K2_pilot__KLD__DIOR-R__lr0.01,fp32_fallback,amp_incompat,,amp_incompat
K2_pilot__KLD__SODA-A__lr0.0025,amp,amp_incompat,,amp_incompat
K2_pilot__KLD__SODA-A__lr0.0025,fp32_fallback,amp_incompat,,amp_incompat
K2_pilot__KLD__SODA-A__lr0.005,amp,amp_incompat,,amp_incompat
K2_pilot__KLD__SODA-A__lr0.005,fp32_fallback,amp_incompat,,amp_incompat
K2_pilot__KLD__SODA-A__lr0.01,amp,amp_incompat,,amp_incompat
K2_pilot__KLD__SODA-A__lr0.01,fp32_fallback,amp_incompat,,amp_incompat
K2_final__PSC__DIOR-R__seed0,amp,complete,0.539,kept
K2_final__PSC__DIOR-R__seed1,amp,complete,0.537,kept
K2_final__PSC__DIOR-R__seed2,amp,complete,0.541,kept
K2_final__PSC__SODA-A__seed1,amp,complete,0.573,kept
K2_final__PSC__SODA-A__seed2,amp,complete,0.588,kept
K2_final__CSL__SODA-A__seed1,amp,complete,0.362,kept
K2_final__DCL__DIOR-R__seed2,amp,complete,0.433,kept
K2_final__DCL__SODA-A__seed1,amp,complete,0.552,kept
K2_final__direct_regression_le90__DIOR-R__seed0,amp,nan,,nan
K2_final__direct_regression_le90__DIOR-R__seed0,fp32_fallback,nan,,nan
K2_final__direct_regression_le90__DIOR-R__seed1,amp,nan,,nan
K2_final__direct_regression_le90__DIOR-R__seed1,fp32_fallback,nan,,nan
K2_final__direct_regression_le90__DIOR-R__seed2,amp,nan,,nan
K2_final__direct_regression_le90__DIOR-R__seed2,fp32_fallback,nan,,nan
K2_final__direct_regression_le90__SODA-A__seed1,amp,nan,,nan
K2_final__direct_regression_le90__SODA-A__seed1,fp32_fallback,nan,,nan
K2_final__direct_regression_le90__SODA-A__seed2,amp,nan,,nan
K2_final__direct_regression_le90__SODA-A__seed2,fp32_fallback,nan,,nan
