head,dataset,lr,status,ap50,amp_mode
PSC,DIOR-R,0.0025,complete,0.289,prev
PSC,DIOR-R,0.005,complete,0.213,prev
PSC,DIOR-R,0.01,complete,0.175,prev
PSC,SODA-A,0.0025,complete,0.433,amp
PSC,SODA-A,0.005,complete,0.414,amp
PSC,SODA-A,0.01,complete,0.365,prev
CSL,DIOR-R,0.0025,complete,0.198,amp
CSL,DIOR-R,0.005,complete,0.196,amp
CSL,DIOR-R,0.01,complete,0.18,amp
CSL,SODA-A,0.0025,complete,0.257,amp
CSL,SODA-A,0.005,complete,0.281,amp
CSL,SODA-A,0.01,complete,0.001,amp
DCL,DIOR-R,0.0025,complete,0.132,amp
DCL,DIOR-R,0.005,complete,0.067,amp
DCL,DIOR-R,0.01,complete,0.032,amp
DCL,SODA-A,0.0025,complete,0.359,amp
DCL,SODA-A,0.005,complete,0.323,amp
DCL,SODA-A,0.01,failed_training,,amp+fp32_exhausted
direct_regression_le90,DIOR-R,0.0025,failed_training,,amp+fp32_exhausted
direct_regression_le90,DIOR-R,0.005,failed_training,,amp+fp32_exhausted
direct_regression_le90,DIOR-R,0.01,failed_training,,amp+fp32_exhausted
direct_regression_le90,SODA-A,0.0025,complete,0.434,amp
direct_regression_le90,SODA-A,0.005,failed_training,,amp+fp32_exhausted
direct_regression_le90,SODA-A,0.01,failed_training,,amp+fp32_exhausted
KLD,DIOR-R,0.0025,failed_training,,amp+fp32_exhausted
KLD,DIOR-R,0.005,failed_training,,amp+fp32_exhausted
KLD,DIOR-R,0.01,failed_training,,amp+fp32_exhausted
KLD,SODA-A,0.0025,failed_training,,amp+fp32_exhausted
KLD,SODA-A,0.005,failed_training,,amp+fp32_exhausted
KLD,SODA-A,0.01,failed_training,,amp+fp32_exhausted
