run_id,head,dataset,seed,lr,stage,status,final_ap50
K2_final__PSC__DIOR-R__seed1,PSC,DIOR-R,1,0.0025,final,complete,0.537
K2_final__PSC__DIOR-R__seed2,PSC,DIOR-R,2,0.0025,final,complete,0.541
K2_final__PSC__SODA-A__seed1,PSC,SODA-A,1,0.0025,final,complete,0.573
K2_final__PSC__SODA-A__seed2,PSC,SODA-A,2,0.0025,final,complete,0.588
K2_final__CSL__DIOR-R__seed1,CSL,DIOR-R,1,0.0025,final,complete,0.298
K2_final__CSL__DIOR-R__seed2,CSL,DIOR-R,2,0.0025,final,complete,0.325
K2_final__CSL__SODA-A__seed1,CSL,SODA-A,1,0.005,final,complete,0.359
K2_final__CSL__SODA-A__seed2,CSL,SODA-A,2,0.005,final,complete,0.366
K2_final__DCL__DIOR-R__seed1,DCL,DIOR-R,1,0.0025,final,complete,0.434
K2_final__DCL__DIOR-R__seed2,DCL,DIOR-R,2,0.0025,final,complete,0.442
K2_final__DCL__SODA-A__seed1,DCL,SODA-A,1,0.0025,final,complete,0.548
K2_final__DCL__SODA-A__seed2,DCL,SODA-A,2,0.0025,final,complete,0.547
