run_id,head,dataset,seed,lr_candidate,stage,amp_mode,fp32_fallback_allowed,config_path,work_dir,log_path,status,checkpoint_path,evaluator,mask_main,mask_sensitivity,notes
K2_pilot__PSC__DIOR-R__lr0.0025,PSC,DIOR-R,0,0.0025,pilot_3ep,amp(default)/fp32_fallback,yes,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/configs/r1_angle_coder/psc_dior_seed0.py,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_pilot__PSC__DIOR-R__lr0.0025,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_pilot__PSC__DIOR-R__lr0.0025.log,queued,,torch VOC-AP==DOTAMetric + instrumented native,derived-ar=2.1,ar>=1.6; ar>=1.3,LR-sweep pilot; select by val AP50; not for mechanism
K2_pilot__PSC__DIOR-R__lr0.005,PSC,DIOR-R,0,0.005,pilot_3ep,amp(default)/fp32_fallback,yes,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/configs/r1_angle_coder/psc_dior_seed0.py,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_pilot__PSC__DIOR-R__lr0.005,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_pilot__PSC__DIOR-R__lr0.005.log,queued,,torch VOC-AP==DOTAMetric + instrumented native,derived-ar=2.1,ar>=1.6; ar>=1.3,LR-sweep pilot; select by val AP50; not for mechanism
K2_pilot__PSC__DIOR-R__lr0.01,PSC,DIOR-R,0,0.01,pilot_3ep,amp(default)/fp32_fallback,yes,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/configs/r1_angle_coder/psc_dior_seed0.py,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_pilot__PSC__DIOR-R__lr0.01,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_pilot__PSC__DIOR-R__lr0.01.log,queued,,torch VOC-AP==DOTAMetric + instrumented native,derived-ar=2.1,ar>=1.6; ar>=1.3,LR-sweep pilot; select by val AP50; not for mechanism
K2_pilot__PSC__SODA-A__lr0.0025,PSC,SODA-A,0,0.0025,pilot_3ep,amp(default)/fp32_fallback,yes,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/configs/r1_angle_coder/psc_soda_seed0.py,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_pilot__PSC__SODA-A__lr0.0025,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_pilot__PSC__SODA-A__lr0.0025.log,queued,,torch VOC-AP==DOTAMetric + instrumented native,derived-ar=2.1,ar>=1.6; ar>=1.3,LR-sweep pilot; select by val AP50; not for mechanism
K2_pilot__PSC__SODA-A__lr0.005,PSC,SODA-A,0,0.005,pilot_3ep,amp(default)/fp32_fallback,yes,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/configs/r1_angle_coder/psc_soda_seed0.py,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_pilot__PSC__SODA-A__lr0.005,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_pilot__PSC__SODA-A__lr0.005.log,queued,,torch VOC-AP==DOTAMetric + instrumented native,derived-ar=2.1,ar>=1.6; ar>=1.3,LR-sweep pilot; select by val AP50; not for mechanism
K2_pilot__PSC__SODA-A__lr0.01,PSC,SODA-A,0,0.01,pilot_3ep,amp(default)/fp32_fallback,yes,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/configs/r1_angle_coder/psc_soda_seed0.py,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_pilot__PSC__SODA-A__lr0.01,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_pilot__PSC__SODA-A__lr0.01.log,queued,,torch VOC-AP==DOTAMetric + instrumented native,derived-ar=2.1,ar>=1.6; ar>=1.3,LR-sweep pilot; select by val AP50; not for mechanism
K2_pilot__CSL__DIOR-R__lr0.0025,CSL,DIOR-R,0,0.0025,pilot_3ep,amp(default)/fp32_fallback,yes,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/configs/r1_angle_coder/csl_dior_seed0.py,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_pilot__CSL__DIOR-R__lr0.0025,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_pilot__CSL__DIOR-R__lr0.0025.log,queued,,torch VOC-AP==DOTAMetric + instrumented native,derived-ar=2.1,ar>=1.6; ar>=1.3,LR-sweep pilot; select by val AP50; not for mechanism
K2_pilot__CSL__DIOR-R__lr0.005,CSL,DIOR-R,0,0.005,pilot_3ep,amp(default)/fp32_fallback,yes,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/configs/r1_angle_coder/csl_dior_seed0.py,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_pilot__CSL__DIOR-R__lr0.005,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_pilot__CSL__DIOR-R__lr0.005.log,queued,,torch VOC-AP==DOTAMetric + instrumented native,derived-ar=2.1,ar>=1.6; ar>=1.3,LR-sweep pilot; select by val AP50; not for mechanism
K2_pilot__CSL__DIOR-R__lr0.01,CSL,DIOR-R,0,0.01,pilot_3ep,amp(default)/fp32_fallback,yes,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/configs/r1_angle_coder/csl_dior_seed0.py,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_pilot__CSL__DIOR-R__lr0.01,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_pilot__CSL__DIOR-R__lr0.01.log,queued,,torch VOC-AP==DOTAMetric + instrumented native,derived-ar=2.1,ar>=1.6; ar>=1.3,LR-sweep pilot; select by val AP50; not for mechanism
K2_pilot__CSL__SODA-A__lr0.0025,CSL,SODA-A,0,0.0025,pilot_3ep,amp(default)/fp32_fallback,yes,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/configs/r1_angle_coder/csl_soda_seed0.py,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_pilot__CSL__SODA-A__lr0.0025,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_pilot__CSL__SODA-A__lr0.0025.log,queued,,torch VOC-AP==DOTAMetric + instrumented native,derived-ar=2.1,ar>=1.6; ar>=1.3,LR-sweep pilot; select by val AP50; not for mechanism
K2_pilot__CSL__SODA-A__lr0.005,CSL,SODA-A,0,0.005,pilot_3ep,amp(default)/fp32_fallback,yes,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/configs/r1_angle_coder/csl_soda_seed0.py,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_pilot__CSL__SODA-A__lr0.005,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/logs/k2_angle_coder/K2_pilot__CSL__SODA-A__lr0.005.log,queued,,torch VOC-AP==DOTAMetric + instrumented native,derived-ar=2.1,ar>=1.6; ar>=1.3,LR-sweep pilot; select by val AP50; not for mechanism
