dataset,dim,group,P_gt2,P_gt5,mean,median,n,p90,p95,std
DIOR-R_test,ar,1.6<=ar<2.1,0.5303,0.3485,5.455,2.247,66,14.735,19.599,6.587
DIOR-R_test,ar,ar<1.6,0.7296,0.6855,22.7,28.691,159,39.711,40.94,15.583
DIOR-R_test,ar,ar>=2.1,0.4945,0.1127,3.004,1.948,275,5.653,11.925,3.924
DIOR-R_test,class,Expressway-Service-area,0.0,0.0,0.7,0.7,1,0.7,0.7,0.0
DIOR-R_test,class,Expressway-toll-station,0.0,0.0,0.753,0.792,4,1.079,1.098,0.321
DIOR-R_test,class,airplane,0.4571,0.4571,14.431,1.9,35,36.438,37.637,15.451
DIOR-R_test,class,airport,0.0,0.0,0.199,0.199,2,0.216,0.218,0.022
DIOR-R_test,class,baseballfield,0.6364,0.4545,16.976,3.181,11,41.043,41.93,17.687
DIOR-R_test,class,basketballcourt,0.1538,0.0769,1.846,0.622,13,2.033,7.165,3.736
DIOR-R_test,class,bridge,0.6364,0.0909,3.217,2.521,11,4.544,9.694,3.986
DIOR-R_test,class,chimney,0.0,0.0,0.194,0.194,1,0.194,0.194,0.0
DIOR-R_test,class,dam,0.0,0.0,0.208,0.174,3,0.265,0.276,0.056
DIOR-R_test,class,golffield,0.0,0.0,0.115,0.115,1,0.115,0.115,0.0
DIOR-R_test,class,groundtrackfield,0.2,0.0,0.965,0.667,10,2.195,2.772,1.011
DIOR-R_test,class,harbor,0.1,0.1,3.803,0.29,10,4.325,19.643,10.388
DIOR-R_test,class,overpass,0.3333,0.0833,2.142,1.651,12,3.45,6.23,2.554
DIOR-R_test,class,ship,0.5435,0.029,2.29,2.081,138,3.94,4.393,1.274
DIOR-R_test,class,stadium,0.0,0.0,0.906,0.812,3,1.067,1.099,0.16
DIOR-R_test,class,storagetank,0.9326,0.8876,29.713,32.39,89,39.951,41.129,11.534
DIOR-R_test,class,tenniscourt,0.027,0.027,1.196,0.829,37,1.589,1.69,1.746
DIOR-R_test,class,trainstation,0.0,0.0,0.284,0.286,3,0.33,0.336,0.047
DIOR-R_test,class,vehicle,0.7905,0.4667,7.574,4.727,105,18.625,24.281,7.221
DIOR-R_test,class,windmill,0.5455,0.4545,14.747,2.217,11,33.861,33.964,15.116
DIOR-R_test,size,large,0.0536,0.0536,2.213,0.287,56,0.508,6.003,8.4
DIOR-R_test,size,medium,0.1731,0.1731,6.491,1.15,156,32.289,37.023,12.27
DIOR-R_test,size,small,0.8924,0.4618,12.705,4.46,288,35.788,37.638,13.348
FAIR1M-v1.0_val20,ar,1.6<=ar<2.1,0.9839,0.6371,8.837,5.276,124,15.707,19.818,5.926
FAIR1M-v1.0_val20,ar,ar<1.6,0.7703,0.7432,19.121,19.944,74,37.616,39.74,12.974
FAIR1M-v1.0_val20,ar,ar>=2.1,0.9073,0.2748,4.455,4.127,302,6.066,7.31,2.556
FAIR1M-v1.0_val20,class,A220,1.0,1.0,27.209,26.856,4,39.162,39.416,11.631
FAIR1M-v1.0_val20,class,A321,0.0,0.0,1.09,1.09,2,1.107,1.109,0.022
FAIR1M-v1.0_val20,class,A330,1.0,1.0,15.916,15.916,1,15.916,15.916,0.0
FAIR1M-v1.0_val20,class,A350,1.0,1.0,15.811,15.811,1,15.811,15.811,0.0
FAIR1M-v1.0_val20,class,ARJ21,0.0,0.0,1.577,1.577,1,1.577,1.577,0.0
FAIR1M-v1.0_val20,class,Baseball Field,1.0,1.0,38.661,38.661,1,38.661,38.661,0.0
FAIR1M-v1.0_val20,class,Basketball Court,0.5,0.0,1.451,1.451,2,1.979,2.045,0.66
FAIR1M-v1.0_val20,class,Boeing737,0.8333,0.8333,25.985,27.858,6,38.626,40.872,12.845
FAIR1M-v1.0_val20,class,Boeing747,0.4286,0.4286,8.719,0.953,7,20.136,23.262,9.79
FAIR1M-v1.0_val20,class,Boeing777,0.5,0.5,20.265,20.265,2,35.949,37.91,19.605
FAIR1M-v1.0_val20,class,Boeing787,1.0,1.0,15.391,15.391,1,15.391,15.391,0.0
FAIR1M-v1.0_val20,class,Bus,1.0,0.0,2.906,2.906,2,3.085,3.107,0.224
FAIR1M-v1.0_val20,class,Cargo Truck,0.9333,0.2,4.176,3.086,15,5.96,9.094,3.217
FAIR1M-v1.0_val20,class,Dry Cargo Ship,0.0,0.0,0.918,0.725,10,1.438,1.552,0.413
