cell,dataset,detector,score_type,mask_definition,ar_threshold,retained_count,retained_ratio,nrc,aurc,risk70,risk90,nrc_ci_lo,nrc_ci_hi,source_lineage,metric_completeness,note,evaluation_scope
A,DIOR-R,rotated_retinanet_psc,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,25065,0.571634,0.6082,1.2075,1.4346,1.5866,0.5787,0.6399,m069_fullval_same_forward,complete,,D_audit
A,DIOR-R,rotated_retinanet_psc,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,25065,0.571634,0.6129,1.2133,1.404,1.5491,0.5816,0.6435,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
A,DIOR-R,rotated_retinanet_psc,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,24918,0.568281,0.5109,1.0846,1.2076,1.4708,0.4722,0.5545,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
A,DIOR-R,rotated_retinanet_psc,phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,25065,0.571634,1.2689,2.0231,1.6911,1.5502,1.2131,1.3268,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
A,DIOR-R,rotated_retinanet_psc,negative_phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,25065,0.571634,1.1055,1.8213,1.3875,1.6174,1.0515,1.1646,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
B,DIOR-R,oriented_rcnn,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,27671,0.577839,0.5741,1.3528,1.5598,1.7512,0.547,0.6046,m069_fullval_same_forward,complete,,D_audit
B,DIOR-R,oriented_rcnn,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,27671,0.577839,0.5696,1.347,1.5148,1.6792,0.5394,0.6014,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
B,DIOR-R,oriented_rcnn,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,27475,0.573747,0.5291,1.2862,1.4086,1.6475,0.5066,0.5539,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
C,DIOR-R,rotated_rtmdet_s,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,27385,0.571939,0.4653,1.3786,1.609,1.9066,0.4403,0.4919,m069_fullval_same_forward,complete,,D_audit
C,DIOR-R,rotated_rtmdet_s,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,27385,0.571939,0.4708,1.3866,1.5988,1.8545,0.4438,0.498,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
