metric,cell,dataset,detector,score_type,old_ar16_value,new_ar21_value,direction_old,direction_new,conclusion_changed,interpretation
NRC,A,DIOR-R,rotated_retinanet_psc,detection_score,0.5644,0.6082,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,A,DIOR-R,rotated_retinanet_psc,detection_score,1.1937,1.2075,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,A,DIOR-R,rotated_retinanet_psc,detection_score,1.4264,1.4346,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,A,DIOR-R,rotated_retinanet_psc,detection_score,1.631,1.5866,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,A,DIOR-R,rotated_retinanet_psc,geometry_upper_bound,0.5693,0.6129,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,A,DIOR-R,rotated_retinanet_psc,geometry_upper_bound,1.2002,1.2133,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,A,DIOR-R,rotated_retinanet_psc,geometry_upper_bound,1.3892,1.404,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,A,DIOR-R,rotated_retinanet_psc,geometry_upper_bound,1.5766,1.5491,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,A,DIOR-R,rotated_retinanet_psc,negative_phase_mod,1.1786,1.1055,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,A,DIOR-R,rotated_retinanet_psc,negative_phase_mod,2.0066,1.8213,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,A,DIOR-R,rotated_retinanet_psc,negative_phase_mod,1.4859,1.3875,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,A,DIOR-R,rotated_retinanet_psc,negative_phase_mod,1.7036,1.6174,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,A,DIOR-R,rotated_retinanet_psc,phase_mod,1.2191,1.2689,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,A,DIOR-R,rotated_retinanet_psc,phase_mod,2.0602,2.0231,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,A,DIOR-R,rotated_retinanet_psc,phase_mod,1.7298,1.6911,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,A,DIOR-R,rotated_retinanet_psc,phase_mod,1.5961,1.5502,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,A,DIOR-R,rotated_retinanet_psc,tta_neg_circular_var,0.513,0.5109,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,A,DIOR-R,rotated_retinanet_psc,tta_neg_circular_var,1.1221,1.0846,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,A,DIOR-R,rotated_retinanet_psc,tta_neg_circular_var,1.2194,1.2076,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,A,DIOR-R,rotated_retinanet_psc,tta_neg_circular_var,1.5013,1.4708,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,B,DIOR-R,oriented_rcnn,detection_score,0.5271,0.5741,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,B,DIOR-R,oriented_rcnn,detection_score,1.3425,1.3528,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,B,DIOR-R,oriented_rcnn,detection_score,1.5729,1.5598,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,B,DIOR-R,oriented_rcnn,detection_score,1.7996,1.7512,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,B,DIOR-R,oriented_rcnn,geometry_upper_bound,0.5229,0.5696,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,B,DIOR-R,oriented_rcnn,geometry_upper_bound,1.3367,1.347,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,B,DIOR-R,oriented_rcnn,geometry_upper_bound,1.5208,1.5148,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,B,DIOR-R,oriented_rcnn,geometry_upper_bound,1.7196,1.6792,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,B,DIOR-R,oriented_rcnn,tta_neg_circular_var,0.5176,0.5291,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,B,DIOR-R,oriented_rcnn,tta_neg_circular_var,1.3178,1.2862,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,B,DIOR-R,oriented_rcnn,tta_neg_circular_var,1.4381,1.4086,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,B,DIOR-R,oriented_rcnn,tta_neg_circular_var,1.6787,1.6475,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,C,DIOR-R,rotated_rtmdet_s,detection_score,0.4153,0.4653,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
