cell,dataset,detector,score_type,mask_definition,ar_threshold,retained_count,retained_ratio,nrc,aurc,risk70,risk90,nrc_ci_lo,nrc_ci_hi,source_lineage,metric_completeness,note,evaluation_scope
A,DIOR-R,rotated_retinanet_psc,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,29767,0.678868,0.5644,1.1937,1.4264,1.631,nan,nan,m069_fullval_same_forward,complete,,D_audit
A,DIOR-R,rotated_retinanet_psc,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,29767,0.678868,0.5693,1.2002,1.3892,1.5766,nan,nan,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
A,DIOR-R,rotated_retinanet_psc,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,29583,0.674672,0.513,1.1221,1.2194,1.5013,nan,nan,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
A,DIOR-R,rotated_retinanet_psc,phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,29767,0.678868,1.2191,2.0602,1.7298,1.5961,nan,nan,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
A,DIOR-R,rotated_retinanet_psc,negative_phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,29767,0.678868,1.1786,2.0066,1.4859,1.7036,nan,nan,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
A,DIOR-R,rotated_retinanet_psc,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,32223,0.73488,0.5716,1.2896,1.548,1.771,nan,nan,m069_fullval_same_forward,complete,,D_audit
A,DIOR-R,rotated_retinanet_psc,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,32223,0.73488,0.5393,1.2412,1.4316,1.6605,nan,nan,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
A,DIOR-R,rotated_retinanet_psc,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,32016,0.730159,0.5665,1.2761,1.3051,1.5832,nan,nan,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
A,DIOR-R,rotated_retinanet_psc,phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,32223,0.73488,1.1721,2.1906,1.8957,1.7527,nan,nan,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
A,DIOR-R,rotated_retinanet_psc,negative_phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,32223,0.73488,1.1876,2.2139,1.6669,1.8719,nan,nan,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
