cell,dataset,detector,size_bin,ar_threshold,n_instances,mask_definition,retained_count,retained_ratio,n_images,nrc_detection,nrc_linear_score_ar,nrc_linear_score_ar_size,nrc_nonlinear_geometry,paired_nrc_diff_lin_minus_nl,ci_lo,ci_hi,nonlinear_better_sig,aurc_diff,risk70_diff,risk90_diff,fit_target,evaluation_mask_geometry,selector_geometry,fixed_size_bin_geometry,bootstrap_unit,bootstrap_replicates,source_lineage,selector_fit_split,conformal_calibration_split,evaluation_split
A,DIOR-R,rotated_retinanet_psc,small,2.1,15234,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,15234,0.347427,1819,0.7027,0.7065,0.7065,0.705,0.002,-0.0205,0.0248,False,0.0021,-0.0235,-0.0203,target-domain GT angle error (calibration/upper-bound),matched_GT_aspect_ratio,prediction_box_only,prediction_box_area,evaluation_image_cluster,1000,m069_fullval_same_forward,D_cal-fit,D_cal-calib (not used by M2),D_audit
A,DIOR-R,rotated_retinanet_psc,medium,2.1,7589,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,7589,0.173075,1546,0.5838,0.8799,0.7384,0.5991,0.1388,0.0943,0.1805,True,0.131,0.0309,0.0011,target-domain GT angle error (calibration/upper-bound),matched_GT_aspect_ratio,prediction_box_only,prediction_box_area,evaluation_image_cluster,1000,m069_fullval_same_forward,D_cal-fit,D_cal-calib (not used by M2),D_audit
A,DIOR-R,rotated_retinanet_psc,large,2.1,2242,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,2242,0.051131,1494,0.5897,0.6479,0.6233,0.4719,0.151,0.1034,0.1983,True,0.1413,-0.0039,-0.0565,target-domain GT angle error (calibration/upper-bound),matched_GT_aspect_ratio,prediction_box_only,prediction_box_area,evaluation_image_cluster,1000,m069_fullval_same_forward,D_cal-fit,D_cal-calib (not used by M2),D_audit
B,DIOR-R,oriented_rcnn,small,2.1,17081,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,17081,0.356694,1911,0.6538,0.7077,0.6742,0.6324,0.0419,0.0085,0.078,True,0.0626,0.0009,-0.0065,target-domain GT angle error (calibration/upper-bound),matched_GT_aspect_ratio,prediction_box_only,prediction_box_area,evaluation_image_cluster,1000,m069_fullval_same_forward,D_cal-fit,D_cal-calib (not used by M2),D_audit
B,DIOR-R,oriented_rcnn,medium,2.1,8030,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,8030,0.167686,1640,0.6608,0.9785,0.8372,0.6172,0.2206,0.1777,0.2617,True,0.2033,0.0887,0.0428,target-domain GT angle error (calibration/upper-bound),matched_GT_aspect_ratio,prediction_box_only,prediction_box_area,evaluation_image_cluster,1000,m069_fullval_same_forward,D_cal-fit,D_cal-calib (not used by M2),D_audit
B,DIOR-R,oriented_rcnn,large,2.1,2560,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,2560,0.053459,1597,0.5388,0.7021,0.6627,0.4777,0.185,0.1389,0.2295,True,0.1717,0.0998,0.0249,target-domain GT angle error (calibration/upper-bound),matched_GT_aspect_ratio,prediction_box_only,prediction_box_area,evaluation_image_cluster,1000,m069_fullval_same_forward,D_cal-fit,D_cal-calib (not used by M2),D_audit
C,DIOR-R,rotated_rtmdet_s,small,2.1,16836,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,16836,0.351622,1873,0.5621,0.5796,0.5797,0.5413,0.0386,0.0222,0.0553,True,0.0662,0.0065,0.0028,target-domain GT angle error (calibration/upper-bound),matched_GT_aspect_ratio,prediction_box_only,prediction_box_area,evaluation_image_cluster,1000,m069_fullval_same_forward,D_cal-fit,D_cal-calib (not used by M2),D_audit
C,DIOR-R,rotated_rtmdet_s,medium,2.1,7859,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,7859,0.164136,1609,0.5578,0.8305,0.7261,0.5603,0.1642,0.1312,0.1977,True,0.1569,0.0273,-0.006,target-domain GT angle error (calibration/upper-bound),matched_GT_aspect_ratio,prediction_box_only,prediction_box_area,evaluation_image_cluster,1000,m069_fullval_same_forward,D_cal-fit,D_cal-calib (not used by M2),D_audit
C,DIOR-R,rotated_rtmdet_s,large,2.1,2690,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,2690,0.056181,1683,0.4236,0.4562,0.4367,0.3587,0.0781,0.0464,0.107,True,0.0843,-0.0115,0.0082,target-domain GT angle error (calibration/upper-bound),matched_GT_aspect_ratio,prediction_box_only,prediction_box_area,evaluation_image_cluster,1000,m069_fullval_same_forward,D_cal-fit,D_cal-calib (not used by M2),D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,small,2.1,13765,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,13765,0.527233,920,0.9661,0.7735,0.7735,0.7368,0.0364,0.0,0.0784,False,0.0575,-0.0047,-0.0025,target-domain GT angle error (calibration/upper-bound),matched_GT_aspect_ratio,prediction_box_only,prediction_box_area,evaluation_image_cluster,1000,m069_fullval_same_forward,D_cal-fit,D_cal-calib (not used by M2),D_audit
