cell,size_bin,lower_area_inclusive,mask_definition,upper_area_exclusive,observed_size_min,observed_size_max,n_total,n_fit,n_audit,status,frozen
A,small,0.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,1024.0,23.85,1023.97,30155,6672,15234,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
A,medium,1024.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,9216.0,1024.05,9209.85,14895,3456,7589,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
A,large,9216.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,inf,9216.34,365314.02,4452,1020,2242,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
B,small,0.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,1024.0,41.68,1023.9,33429,7521,17081,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
B,medium,1024.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,9216.0,1024.03,9211.41,15787,3695,8030,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
B,large,9216.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,inf,9218.68,329290.47,5081,1177,2560,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
C,small,0.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,1024.0,40.09,1023.95,32898,7314,16836,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
C,medium,1024.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,9216.0,1024.02,9215.6,15440,3592,7859,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
C,large,9216.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,inf,9221.52,380224.55,5333,1224,2690,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
D,small,0.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,1024.0,70.02,1023.8,29000,7438,13765,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
D,medium,1024.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,9216.0,1024.45,9199.84,2343,676,1136,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
D,large,9216.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,inf,9223.03,124545.49,458,116,219,insufficient_preregistered_minimum,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
E,small,0.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,1024.0,21.96,1023.96,195006,51612,99811,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
E,medium,1024.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,9216.0,1024.05,2176.39,2523,582,1291,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
E,large,9216.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,inf,,,0,0,0,insufficient_preregistered_minimum,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
F,small,0.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,1024.0,17.29,1023.97,232297,60855,119367,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
F,medium,1024.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,9216.0,1024.2,2358.64,3131,765,1558,eligible,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
F,large,9216.0,matched_gt_ar_ge_2.1_exclude_pred_or_gt_near_square,inf,,,0,0,0,insufficient_preregistered_minimum,"canonical prediction-box area bins: <32^2, [32^2,96^2), >=96^2; fixed before audit"
