cell,dataset,detector,score,result_role,alpha,selected_threshold_exists,threshold,target_coverage,audit_images,audit_retained_instances,empirical_instance_weighted_risk,image_cluster_bootstrap_ci_lo,image_cluster_bootstrap_ci_hi,formal_guarantee,note
A,DIOR-R,rotated_retinanet_psc,detection_score,PRIMARY,0.03,True,0.050029996782541275,1.0,5900,25065,0.008378216636744464,0.006933357684213552,0.009986160191698911,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,detection_score,PRIMARY,0.05,True,0.050029996782541275,1.0,5900,25065,0.008378216636744464,0.0069121419988306945,0.010020163338948663,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,detection_score,PRIMARY,0.1,True,0.050029996782541275,1.0,5900,25065,0.008378216636744464,0.006805042691240582,0.009886705555948656,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.03,True,-11.879554376308898,1.0,5900,25063,0.008338985755895144,0.007001570024424996,0.009998386491767467,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.05,True,-11.879554376308898,1.0,5900,25063,0.008338985755895144,0.0069178671423661305,0.009928515504728392,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.1,True,-11.879554376308898,1.0,5900,25063,0.008338985755895144,0.006959847857665372,0.009892750689289099,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.03,True,-0.9778335806642825,1.0,5900,24918,0.008186852877437997,0.006775524432461604,0.00980293281655852,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.05,True,-0.9778335806642825,1.0,5900,24918,0.008186852877437997,0.006745903252715949,0.009834643080495238,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.1,True,-0.9778335806642825,1.0,5900,24918,0.008186852877437997,0.006720758441634849,0.009785684054858936,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,phase_mod,PREREGISTERED_SCORE_MENU,0.03,True,0.06497964262962341,1.0,5900,25064,0.008378550909671241,0.006775797186047457,0.009997691029424733,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,phase_mod,PREREGISTERED_SCORE_MENU,0.05,True,0.06497964262962341,1.0,5900,25064,0.008378550909671241,0.006879421756566066,0.009900098554765037,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,phase_mod,PREREGISTERED_SCORE_MENU,0.1,True,0.06497964262962341,1.0,5900,25064,0.008378550909671241,0.0069168950615742745,0.010070627442548111,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,negative_phase_mod,PREREGISTERED_SCORE_MENU,0.03,True,-2.7954747676849365,1.0,5900,25065,0.008378216636744464,0.006910242232164738,0.009850556005698816,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,negative_phase_mod,PREREGISTERED_SCORE_MENU,0.05,True,-2.7954747676849365,1.0,5900,25065,0.008378216636744464,0.006966900589969836,0.010088444831975596,False,empirical instance-weighted risk with image-cluster bootstrap CI
A,DIOR-R,rotated_retinanet_psc,negative_phase_mod,PREREGISTERED_SCORE_MENU,0.1,True,-2.7954747676849365,1.0,5900,25065,0.008378216636744464,0.006873183198200817,0.010076517803492344,False,empirical instance-weighted risk with image-cluster bootstrap CI
B,DIOR-R,oriented_rcnn,detection_score,PRIMARY,0.03,True,0.0500916987657547,1.0,5900,27669,0.00863782572554122,0.007188165882634749,0.010239794242590047,False,empirical instance-weighted risk with image-cluster bootstrap CI
B,DIOR-R,oriented_rcnn,detection_score,PRIMARY,0.05,True,0.0500916987657547,1.0,5900,27669,0.00863782572554122,0.007212793893317217,0.010124072319278659,False,empirical instance-weighted risk with image-cluster bootstrap CI
B,DIOR-R,oriented_rcnn,detection_score,PRIMARY,0.1,True,0.0500916987657547,1.0,5900,27669,0.00863782572554122,0.007202341221285157,0.010213120903017382,False,empirical instance-weighted risk with image-cluster bootstrap CI
B,DIOR-R,oriented_rcnn,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.03,True,-14.580352806688424,1.0,5900,27670,0.008637513552584027,0.007091337986556037,0.010249238792656334,False,empirical instance-weighted risk with image-cluster bootstrap CI
B,DIOR-R,oriented_rcnn,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.05,True,-14.580352806688424,1.0,5900,27670,0.008637513552584027,0.007172436766293736,0.010304241463793851,False,empirical instance-weighted risk with image-cluster bootstrap CI
B,DIOR-R,oriented_rcnn,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.1,True,-14.580352806688424,1.0,5900,27670,0.008637513552584027,0.007214116222034881,0.010240175990531149,False,empirical instance-weighted risk with image-cluster bootstrap CI
B,DIOR-R,oriented_rcnn,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.03,True,-0.8333129443792352,1.0,5900,27473,0.008299057256215193,0.007017978233771043,0.009929532976551704,False,empirical instance-weighted risk with image-cluster bootstrap CI
B,DIOR-R,oriented_rcnn,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.05,True,-0.8333129443792352,1.0,5900,27473,0.008299057256215193,0.006901884402358578,0.009862309022045369,False,empirical instance-weighted risk with image-cluster bootstrap CI
B,DIOR-R,oriented_rcnn,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.1,True,-0.8333129443792352,1.0,5900,27473,0.008299057256215193,0.00688644367157955,0.009882625670416756,False,empirical instance-weighted risk with image-cluster bootstrap CI
C,DIOR-R,rotated_rtmdet_s,detection_score,PRIMARY,0.03,True,0.05014808848500252,1.0,5900,27383,0.01628747763210751,0.013834591485942368,0.019272875800690592,False,empirical instance-weighted risk with image-cluster bootstrap CI
C,DIOR-R,rotated_rtmdet_s,detection_score,PRIMARY,0.05,True,0.05014808848500252,1.0,5900,27383,0.01628747763210751,0.013747563013994305,0.019286387859560546,False,empirical instance-weighted risk with image-cluster bootstrap CI
C,DIOR-R,rotated_rtmdet_s,detection_score,PRIMARY,0.1,True,0.05014808848500252,1.0,5900,27383,0.01628747763210751,0.013799531206712914,0.019340391800418757,False,empirical instance-weighted risk with image-cluster bootstrap CI
C,DIOR-R,rotated_rtmdet_s,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.03,True,-27.0055155545807,1.0,5900,27385,0.016286288113930986,0.013717129985405781,0.019463974976756494,False,empirical instance-weighted risk with image-cluster bootstrap CI
C,DIOR-R,rotated_rtmdet_s,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.05,True,-27.0055155545807,1.0,5900,27385,0.016286288113930986,0.013786598054147682,0.01946969416444186,False,empirical instance-weighted risk with image-cluster bootstrap CI
C,DIOR-R,rotated_rtmdet_s,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.1,True,-27.0055155545807,1.0,5900,27385,0.016286288113930986,0.013796142809918735,0.01930162778727235,False,empirical instance-weighted risk with image-cluster bootstrap CI
C,DIOR-R,rotated_rtmdet_s,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.03,True,-0.9848531316587387,1.0,5900,27244,0.01600352371164293,0.013373884937146892,0.018977315290215156,False,empirical instance-weighted risk with image-cluster bootstrap CI
C,DIOR-R,rotated_rtmdet_s,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.05,True,-0.9848531316587387,1.0,5900,27244,0.01600352371164293,0.013554109824640665,0.019034426127243632,False,empirical instance-weighted risk with image-cluster bootstrap CI
C,DIOR-R,rotated_rtmdet_s,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.1,True,-0.9848531316587387,1.0,5900,27244,0.01600352371164293,0.013515443449958083,0.0191051956782,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,detection_score,PRIMARY,0.03,True,0.05006488785147667,1.0,2142,15120,0.005621693121693121,0.004198902384712733,0.007158673084355796,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,detection_score,PRIMARY,0.05,True,0.05006488785147667,1.0,2142,15120,0.005621693121693121,0.004273031818952231,0.007126868159107972,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,detection_score,PRIMARY,0.1,True,0.05006488785147667,1.0,2142,15120,0.005621693121693121,0.00423523281764049,0.007108714046515622,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.03,True,-10.633514948814549,1.0,2142,15120,0.005621693121693121,0.004343277074064732,0.006946487436924052,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.05,True,-10.633514948814549,1.0,2142,15120,0.005621693121693121,0.004323330428855644,0.007135401108689705,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.1,True,-10.633514948814549,1.0,2142,15120,0.005621693121693121,0.004254644415455895,0.007103933124225227,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.03,True,-0.9850534560818353,1.0,2142,14924,0.005561511659072635,0.004203442733765338,0.007004693962059283,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.05,True,-0.9850534560818353,1.0,2142,14924,0.005561511659072635,0.004185463742317977,0.007092005437160889,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.1,True,-0.9850534560818353,1.0,2142,14924,0.005561511659072635,0.00419557966440846,0.007210711709551807,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,phase_mod,PREREGISTERED_SCORE_MENU,0.03,True,0.026262838393449783,1.0,2142,15119,0.005622064951385674,0.004290035925380675,0.007072874408891837,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,phase_mod,PREREGISTERED_SCORE_MENU,0.05,True,0.026262838393449783,1.0,2142,15119,0.005622064951385674,0.004273688379087826,0.007085660184803624,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,phase_mod,PREREGISTERED_SCORE_MENU,0.1,True,0.026262838393449783,1.0,2142,15119,0.005622064951385674,0.004288589673804747,0.0071647469586893575,False,empirical instance-weighted risk with image-cluster bootstrap CI
