source_kind,is_proxy,dataset,group_type,group_value,subset_definition,n,mean_deg,median_deg,p90_deg,p95_deg,P_gt5,P_gt10,status,note
GT_CORNER_JITTER_PROXY,True,DIOR-R,dataset,all,all proxy-sampled GT instances,500,9.591,2.545,34.067,37.485,0.326,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,ar_sensitivity,ar>=1.6,historical K3 ar>=1.6 sensitivity; not the ar>=2.1 human endpoint,341,3.478,2.001,7.066,14.651,0.1584,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,dataset,all,all proxy-sampled GT instances,500,7.712,4.677,17.722,24.47,0.434,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,ar_sensitivity,ar>=1.6,historical K3 ar>=1.6 sensitivity; not the ar>=2.1 human endpoint,426,5.73,4.546,13.906,15.503,0.3803,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,dataset,all,all proxy-sampled GT instances,500,9.895,4.911,23.402,33.935,0.496,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,ar_sensitivity,ar>=1.6,historical K3 ar>=1.6 sensitivity; not the ar>=2.1 human endpoint,450,7.808,4.621,19.236,22.427,0.4533,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,ar,1.6<=ar<2.1,historical K3 proxy stratum,66,5.455,2.247,14.735,19.599,0.3485,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,ar,ar<1.6,historical K3 proxy stratum,159,22.7,28.691,39.711,40.94,0.6855,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,ar,ar>=2.1,historical K3 proxy stratum,275,3.004,1.948,5.653,11.925,0.1127,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,Expressway-Service-area,historical K3 proxy stratum,1,0.7,0.7,0.7,0.7,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,Expressway-toll-station,historical K3 proxy stratum,4,0.753,0.792,1.079,1.098,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,airplane,historical K3 proxy stratum,35,14.431,1.9,36.438,37.637,0.4571,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,airport,historical K3 proxy stratum,2,0.199,0.199,0.216,0.218,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,baseballfield,historical K3 proxy stratum,11,16.976,3.181,41.043,41.93,0.4545,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,basketballcourt,historical K3 proxy stratum,13,1.846,0.622,2.033,7.165,0.0769,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,bridge,historical K3 proxy stratum,11,3.217,2.521,4.544,9.694,0.0909,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,chimney,historical K3 proxy stratum,1,0.194,0.194,0.194,0.194,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,dam,historical K3 proxy stratum,3,0.208,0.174,0.265,0.276,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,golffield,historical K3 proxy stratum,1,0.115,0.115,0.115,0.115,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,groundtrackfield,historical K3 proxy stratum,10,0.965,0.667,2.195,2.772,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,harbor,historical K3 proxy stratum,10,3.803,0.29,4.325,19.643,0.1,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,overpass,historical K3 proxy stratum,12,2.142,1.651,3.45,6.23,0.0833,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,ship,historical K3 proxy stratum,138,2.29,2.081,3.94,4.393,0.029,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,stadium,historical K3 proxy stratum,3,0.906,0.812,1.067,1.099,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,storagetank,historical K3 proxy stratum,89,29.713,32.39,39.951,41.129,0.8876,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,tenniscourt,historical K3 proxy stratum,37,1.196,0.829,1.589,1.69,0.027,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,trainstation,historical K3 proxy stratum,3,0.284,0.286,0.33,0.336,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,vehicle,historical K3 proxy stratum,105,7.574,4.727,18.625,24.281,0.4667,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,class,windmill,historical K3 proxy stratum,11,14.747,2.217,33.861,33.964,0.4545,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,size,large,historical K3 proxy stratum,56,2.213,0.287,0.508,6.003,0.0536,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,size,medium,historical K3 proxy stratum,156,6.491,1.15,32.289,37.023,0.1731,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,DIOR-R,size,small,historical K3 proxy stratum,288,12.705,4.46,35.788,37.638,0.4618,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,ar,1.6<=ar<2.1,historical K3 proxy stratum,124,8.837,5.276,15.707,19.818,0.6371,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,ar,ar<1.6,historical K3 proxy stratum,74,19.121,19.944,37.616,39.74,0.7432,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,ar,ar>=2.1,historical K3 proxy stratum,302,4.455,4.127,6.066,7.31,0.2748,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,A220,historical K3 proxy stratum,4,27.209,26.856,39.162,39.416,1.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,A321,historical K3 proxy stratum,2,1.09,1.09,1.107,1.109,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,A330,historical K3 proxy stratum,1,15.916,15.916,15.916,15.916,1.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,A350,historical K3 proxy stratum,1,15.811,15.811,15.811,15.811,1.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,ARJ21,historical K3 proxy stratum,1,1.577,1.577,1.577,1.577,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Baseball Field,historical K3 proxy stratum,1,38.661,38.661,38.661,38.661,1.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Basketball Court,historical K3 proxy stratum,2,1.451,1.451,1.979,2.045,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Boeing737,historical K3 proxy stratum,6,25.985,27.858,38.626,40.872,0.8333,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Boeing747,historical K3 proxy stratum,7,8.719,0.953,20.136,23.262,0.4286,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Boeing777,historical K3 proxy stratum,2,20.265,20.265,35.949,37.91,0.5,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Boeing787,historical K3 proxy stratum,1,15.391,15.391,15.391,15.391,1.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Bus,historical K3 proxy stratum,2,2.906,2.906,3.085,3.107,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Cargo Truck,historical K3 proxy stratum,15,4.176,3.086,5.96,9.094,0.2,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Dry Cargo Ship,historical K3 proxy stratum,10,0.918,0.725,1.438,1.552,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Dump Truck,historical K3 proxy stratum,28,4.792,3.926,5.957,12.048,0.1786,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Engineering Ship,historical K3 proxy stratum,3,1.082,0.868,1.45,1.522,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Excavator,historical K3 proxy stratum,1,2.485,2.485,2.485,2.485,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Fishing Boat,historical K3 proxy stratum,9,2.828,2.793,3.995,4.034,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Football Field,historical K3 proxy stratum,2,0.341,0.341,0.481,0.499,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Intersection,historical K3 proxy stratum,7,12.308,1.531,32.508,34.639,0.4286,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Liquid Cargo Ship,historical K3 proxy stratum,6,0.937,0.921,1.238,1.281,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Motorboat,historical K3 proxy stratum,8,4.846,3.231,7.941,11.718,0.125,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Roundabout,historical K3 proxy stratum,1,40.296,40.296,40.296,40.296,1.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Small Car,historical K3 proxy stratum,187,7.139,4.787,15.577,20.8,0.4492,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Tennis Court,historical K3 proxy stratum,1,0.935,0.935,0.935,0.935,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Tractor,historical K3 proxy stratum,1,1.68,1.68,1.68,1.68,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Trailer,historical K3 proxy stratum,1,1.819,1.819,1.819,1.819,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Truck Tractor,historical K3 proxy stratum,1,3.693,3.693,3.693,3.693,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
