anon_id,dataset,image_id,pred_id,matched_gt_class,matched_gt_size_bin,matched_gt_aspect_ratio,matched_gt_ar_bin,formal_ar21_eligible,formal_stratum,angleA,angleB,cannotA,cannotB,annotatorA_id_sha256,annotatorB_id_sha256,pair_status,human_usable
c26412cc14adf60e,DIOR-R,21504,5,airplane,large,1.62963,1.6<=ar<2.1,False,airplane|large|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
1e3d8cc1e6c55d3b,DIOR-R,13026,5,Expressway-toll-station,small,1.5,ar<1.6,False,Expressway-toll-station|small|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
33954392327ffbbf,DIOR-R,11746,49,ship,small,3.15625,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
33adb03f58d0db3b,DIOR-R,21101,14,dam,small,3.791005,ar>=2.1,True,dam|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
fc630ac89633a172,DIOR-R,18246,0,Expressway-Service-area,small,2.269231,ar>=2.1,True,Expressway-Service-area|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
c6c873b2be3ea780,DIOR-R,15880,112,ship,small,3.111111,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
384a09b2c13beb09,DIOR-R,12460,289,ship,small,2.625,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
885f088889e15db7,DIOR-R,14315,29,storagetank,small,1.076923,ar<1.6,False,storagetank|small|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
adf21d9d5f36829e,DIOR-R,22191,57,ship,small,3.15,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
021abe13d822d18d,DIOR-R,19479,53,ship,small,2.257669,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
89ba663026c60a7f,DIOR-R,12545,12,ship,small,2.944444,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
ec0a8f5f9f069c5e,DIOR-R,19708,1,baseballfield,large,1.093663,ar<1.6,False,baseballfield|large|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
8bccfaf24cb6bd28,DIOR-R,17419,2,basketballcourt,medium,1.183372,ar<1.6,False,basketballcourt|medium|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
f882e7245f614fb1,DIOR-R,11866,6,chimney,large,1.928571,1.6<=ar<2.1,False,chimney|large|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
1ce2a518edcc66a2,DIOR-R,23245,5,vehicle,medium,2.364988,ar>=2.1,True,vehicle|medium|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
32222327ec5335cf,DIOR-R,16849,5,tenniscourt,medium,2.124692,ar>=2.1,True,tenniscourt|medium|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
3879289f1e30f2ca,DIOR-R,21478,4,airplane,medium,1.489017,ar<1.6,False,airplane|medium|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
239f1c7b133a86b3,DIOR-R,19135,2,ship,medium,1.402085,ar<1.6,False,ship|medium|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
8f0d2b339f19c3a0,DIOR-R,20455,38,ship,small,3.0,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
4bdcd00a5edadde9,DIOR-R,19706,0,windmill,large,1.40625,ar<1.6,False,windmill|large|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
3f2bfa7d8e6debbc,DIOR-R,22107,0,storagetank,medium,1.047619,ar<1.6,False,storagetank|medium|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
a9c210f892f500f4,DIOR-R,14454,22,vehicle,small,3.586207,ar>=2.1,True,vehicle|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
b074f6874285b046,DIOR-R,15745,6,windmill,small,2.285714,ar>=2.1,True,windmill|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
7ab093b45cccf80f,DIOR-R,14322,16,ship,medium,2.867949,ar>=2.1,True,ship|medium|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
98d253854601680e,DIOR-R,18501,4,vehicle,small,3.775811,ar>=2.1,True,vehicle|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
4a8f4fe58dfc838b,DIOR-R,16370,190,ship,small,2.6,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
b75a2a378cc1c45c,DIOR-R,20888,7,ship,small,2.8125,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
d452cf2a348cbe92,DIOR-R,23367,50,vehicle,small,2.166667,ar>=2.1,True,vehicle|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
288d818b5d6c0f9f,DIOR-R,19329,14,ship,small,2.0,1.6<=ar<2.1,False,ship|small|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
ef2c72ef25ef5764,DIOR-R,18620,103,ship,small,2.973224,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
83ce9fe5b4528fb6,DIOR-R,22497,21,airplane,medium,1.342105,ar<1.6,False,airplane|medium|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
ced37bc8cc8e1210,DIOR-R,21076,2,tenniscourt,medium,2.12736,ar>=2.1,True,tenniscourt|medium|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
9bab53b6320ea504,DIOR-R,14530,22,harbor,large,2.20915,ar>=2.1,True,harbor|large|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
cbe3bedd36b13ca5,DIOR-R,15408,12,tenniscourt,medium,2.363636,ar>=2.1,True,tenniscourt|medium|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
ed39c0bea4c8e8d8,DIOR-R,11916,0,dam,large,1.868859,1.6<=ar<2.1,False,dam|large|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
e9f510e96989097a,DIOR-R,17426,0,Expressway-toll-station,small,2.065744,1.6<=ar<2.1,False,Expressway-toll-station|small|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
3fab56fa4e0c7c8f,DIOR-R,14135,2,airplane,large,1.030864,ar<1.6,False,airplane|large|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
2ce4d67b33c1deec,DIOR-R,18806,27,chimney,small,1.115385,ar<1.6,False,chimney|small|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
249b60a5ece8642d,DIOR-R,21352,23,ship,small,3.051418,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
8e5142c19b9f51a5,DIOR-R,11747,0,dam,large,1.398501,ar<1.6,False,dam|large|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
2391c6d252f26e8a,DIOR-R,22564,1,bridge,large,7.170654,ar>=2.1,True,bridge|large|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
faf6a81a68e4cda0,DIOR-R,21577,98,storagetank,small,1.636364,1.6<=ar<2.1,False,storagetank|small|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
c447c023a2c57d5d,DIOR-R,15945,4,tenniscourt,medium,2.093023,1.6<=ar<2.1,False,tenniscourt|medium|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
6269b8e48ff2f681,DIOR-R,14746,16,storagetank,small,1.3,ar<1.6,False,storagetank|small|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
82fbc957bb245d6d,DIOR-R,13158,208,ship,small,2.3,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
e02781046ff3409d,DIOR-R,13684,0,tenniscourt,large,2.155023,ar>=2.1,True,tenniscourt|large|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
324b9b944b7bf7be,DIOR-R,20748,29,ship,small,2.914286,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
600e02423333ab32,DIOR-R,17052,7,basketballcourt,medium,1.881881,1.6<=ar<2.1,False,basketballcourt|medium|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
bad27abef2fd2f83,DIOR-R,12921,5,ship,large,1.992801,1.6<=ar<2.1,False,ship|large|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
9d2b716795ebd0f7,DIOR-R,18258,102,ship,small,3.194915,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
2c49743b09b62512,DIOR-R,11942,19,storagetank,small,1.083333,ar<1.6,False,storagetank|small|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
495ec00599149c07,DIOR-R,15124,4,windmill,small,1.733333,1.6<=ar<2.1,False,windmill|small|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
699b46d5626a7feb,DIOR-R,14842,10,storagetank,medium,1.0,ar<1.6,False,storagetank|medium|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
c042b760bdb6cb8a,DIOR-R,15418,4,tenniscourt,medium,2.127737,ar>=2.1,True,tenniscourt|medium|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
f3276b3aeb3f4ce5,DIOR-R,12038,60,vehicle,small,1.465517,ar<1.6,False,vehicle|small|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
5d31a03858142835,DIOR-R,17345,65,ship,small,3.094594,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
2a41ba05f9233ab3,DIOR-R,22591,16,baseballfield,large,1.68,1.6<=ar<2.1,False,baseballfield|large|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
bc3d945611110382,DIOR-R,13148,6,vehicle,small,1.977901,1.6<=ar<2.1,False,vehicle|small|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
7ce71cbb2dcf0a4f,DIOR-R,23451,2,windmill,medium,1.308824,ar<1.6,False,windmill|medium|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
ec4e635defc85042,DIOR-R,20500,14,airplane,medium,1.067049,ar<1.6,False,airplane|medium|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
6ec6e800225ef723,DIOR-R,20489,23,baseballfield,small,1.6,1.6<=ar<2.1,False,baseballfield|small|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
567d51555f2724f1,DIOR-R,16032,98,ship,small,2.350254,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
c9e6f29e0a36851f,DIOR-R,20332,41,vehicle,small,2.071896,1.6<=ar<2.1,False,vehicle|small|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
4f447e0882d9d6ad,DIOR-R,20889,60,ship,small,2.2,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
6933a5eef0b5f687,DIOR-R,12290,0,tenniscourt,medium,1.83871,1.6<=ar<2.1,False,tenniscourt|medium|1.6<=ar<2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
2f209c8422019910,DIOR-R,13821,44,storagetank,small,1.095238,ar<1.6,False,storagetank|small|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
2dff38a5a209811b,DIOR-R,16965,6,storagetank,large,1.0,ar<1.6,False,storagetank|large|ar<1.6,,,0,0,,,PENDING_HUMAN_LABELS,False
7e2c0edcd50b89d5,DIOR-R,17843,3,ship,small,6.376624,ar>=2.1,True,ship|small|ar>=2.1,,,0,0,,,PENDING_HUMAN_LABELS,False
