cell,ar_bin,n,mean_eps_max,base_risk,pert_risk,delta_risk,delta_mAP50_proxy,delta_AP75_proxy,risk_per_mAP
DIOR#22,near_square,549,68.75,27.049,55.806,28.756,0.0,-0.3133,inf
DIOR#22,moderate_low,120,66.69,4.81,66.484,61.674,0.0,-0.6667,inf
DIOR#22,elongated,2249,32.5,1.818,34.194,32.376,0.0,-0.7323,inf
DIOR#22,very_elongated,1082,19.2,1.544,20.745,19.201,0.0,-0.6072,inf
FAIR1M#24,near_square,474,68.5,18.6,60.937,42.337,0.0,-0.4093,inf
FAIR1M#24,moderate_low,189,58.34,5.084,60.43,55.346,0.0,-0.3968,inf
FAIR1M#24,elongated,2650,33.0,2.691,35.549,32.858,0.0,-0.3483,inf
FAIR1M#24,very_elongated,687,16.48,1.694,18.178,16.485,0.0,-0.361,inf
SODA#23,near_square,352,67.73,29.408,56.003,26.594,0.0,-0.4091,inf
SODA#23,moderate_low,178,58.78,6.279,61.662,55.383,0.0,-0.3764,inf
SODA#23,elongated,2849,31.82,2.726,34.296,31.57,0.0,-0.391,inf
SODA#23,very_elongated,621,14.79,1.428,16.221,14.792,0.0,-0.5604,inf
DIOR#3,near_square,506,68.7,24.908,58.071,33.163,0.0,-0.2668,inf
DIOR#3,moderate_low,130,65.32,2.99,66.978,63.988,0.0,-0.7308,inf
DIOR#3,elongated,2268,32.99,2.064,34.925,32.861,0.0,-0.8377,inf
DIOR#3,very_elongated,1096,18.85,1.583,20.437,18.854,0.0,-0.7564,inf
DIOR#61,near_square,531,68.83,18.61,61.204,42.594,0.0,-0.2637,inf
DIOR#61,moderate_low,127,67.14,4.154,68.444,64.29,0.0,-0.811,inf
DIOR#61,elongated,2205,33.59,2.268,35.642,33.374,0.0,-0.8422,inf
DIOR#61,very_elongated,1137,19.11,1.694,20.802,19.108,0.0,-0.7757,inf
SODA#4,near_square,339,67.74,33.43,52.554,19.123,0.0,-0.4454,inf
SODA#4,moderate_low,156,60.47,7.785,62.277,54.492,0.0,-0.3846,inf
SODA#4,elongated,2913,33.42,2.941,36.31,33.369,0.0,-0.5366,inf
SODA#4,very_elongated,592,15.62,1.423,17.046,15.623,0.0,-0.6791,inf
