cell,alpha_deg,achievable,coverage,emp_risk,abstention,violation,n_cal,n_audit,base_risk
DIOR#22,1.0,True,0.3049,0.989,0.6951,False,12097,12891,1.74
DIOR#22,1.5,True,0.7927,1.589,0.2073,True,12097,12891,1.74
DIOR#22,2.0,True,0.9998,1.74,0.0002,False,12097,12891,1.74
DIOR#22,2.5,True,0.9998,1.74,0.0002,False,12097,12891,1.74
DIOR#22,3.0,True,0.9998,1.74,0.0002,False,12097,12891,1.74
FAIR1M#24,1.0,True,0.0068,0.813,0.9932,False,23986,21754,2.485
FAIR1M#24,1.5,True,0.0145,1.802,0.9855,True,23986,21754,2.485
FAIR1M#24,2.0,True,0.0645,2.193,0.9355,True,23986,21754,2.485
FAIR1M#24,2.5,True,1.0,2.485,0.0,False,23986,21754,2.485
FAIR1M#24,3.0,True,1.0,2.485,0.0,False,23986,21754,2.485
SODA#23,1.0,False,0,,1.0,,130877,136919,2.409
SODA#23,1.5,True,0.0,5.411,1.0,True,130877,136919,2.409
SODA#23,2.0,True,0.0002,1.978,0.9998,False,130877,136919,2.409
SODA#23,2.5,True,1.0,2.409,0.0,False,130877,136919,2.409
SODA#23,3.0,True,1.0,2.409,0.0,False,130877,136919,2.409
DIOR#3,1.0,True,0.2288,0.985,0.7712,False,12885,14072,1.885
DIOR#3,1.5,True,0.6901,1.53,0.3099,True,12885,14072,1.885
DIOR#3,2.0,True,1.0,1.885,0.0,False,12885,14072,1.885
DIOR#3,2.5,True,1.0,1.885,0.0,False,12885,14072,1.885
DIOR#3,3.0,True,1.0,1.885,0.0,False,12885,14072,1.885
DIOR#61,1.0,True,0.2763,0.968,0.7237,False,13086,14296,2.056
DIOR#61,1.5,True,0.7366,1.54,0.2634,True,13086,14296,2.056
DIOR#61,2.0,True,0.9999,2.054,0.0001,True,13086,14296,2.056
DIOR#61,2.5,True,0.9999,2.054,0.0001,False,13086,14296,2.056
DIOR#61,3.0,True,0.9999,2.054,0.0001,False,13086,14296,2.056
SODA#4,1.0,True,0.018,1.025,0.982,True,161908,169667,2.648
SODA#4,1.5,True,0.0671,1.478,0.9329,False,161908,169667,2.648
SODA#4,2.0,True,0.2438,1.946,0.7562,False,161908,169667,2.648
SODA#4,2.5,True,0.8275,2.479,0.1725,False,161908,169667,2.648
SODA#4,3.0,True,1.0,2.648,0.0,False,161908,169667,2.648
