cell,alpha,score,coverage,emp_tail_rate,violation,note,base_tail
DIOR#22,0.03,detection_score,0.327,0.018,False,n_join=24988,0.0665
DIOR#22,0.03,geometry_selector,0.4716,0.0222,False,n_join=24988,0.0665
DIOR#22,0.03,tta_neg_circular_var,0.0005,0.4286,True,n_join=24988,0.0665
DIOR#22,0.03,intrinsic_phase_mod,0.0002,0.0,False,n_join=24988,0.0665
FAIR1M#24,0.03,detection_score,0.0153,0.0301,True,n_join=45740,0.1282
FAIR1M#24,0.03,geometry_selector,0.1643,0.0333,True,n_join=45740,0.1282
FAIR1M#24,0.03,tta_neg_circular_var,0.0002,0.4,True,n_join=45740,0.1282
FAIR1M#24,0.03,intrinsic_phase_mod,0.0005,0.0,False,n_join=45740,0.1282
SODA#23,0.03,detection_score,0.0,1.0,True,n_join=267796,0.1134
SODA#23,0.03,geometry_selector,0.227,0.0233,False,n_join=267796,0.1134
SODA#23,0.03,tta_neg_circular_var,0.2277,0.0248,False,n_join=267796,0.1134
SODA#23,0.03,intrinsic_phase_mod,0.0,0.2,True,n_join=267796,0.1134
DIOR#3,0.03,detection_score,0.5017,0.0262,False,n_join=26957,0.0674
DIOR#3,0.03,geometry_selector,0.593,0.0258,False,n_join=26957,0.0674
DIOR#3,0.03,tta_neg_circular_var,0.4898,0.026,False,n_join=26957,0.0674
DIOR#61,0.03,detection_score,0.5823,0.0264,False,n_join=27382,0.0758
DIOR#61,0.03,geometry_selector,0.6311,0.0266,False,n_join=27382,0.0758
DIOR#61,0.03,tta_neg_circular_var,0.1261,0.0322,True,n_join=27376,0.0758
SODA#4,0.03,detection_score,0.0318,0.0312,True,n_join=331575,0.1415
SODA#4,0.03,geometry_selector,0.2015,0.0243,False,n_join=331575,0.1415
SODA#4,0.03,tta_neg_circular_var,0.1366,0.1067,True,n_join=331575,0.1415
