cell,alpha,ar_bin,strat_violation,global_cov,global_tail,strat_cov,strat_tail,n_audit_bin,global_violation
DIOR#22,0.05,"[1.6,2.0)",False,0.6204,0.0612,0.2939,0.0111,922,True
DIOR#22,0.05,"[2.0,3.0)",False,0.7338,0.0455,0.7089,0.0435,7783,False
DIOR#22,0.05,"[3.0,inf)",False,0.5939,0.0422,0.4596,0.0327,4186,False
FAIR1M#24,0.05,"[1.6,2.0)",False,0.0364,0.0278,0.0431,0.0235,4939,False
FAIR1M#24,0.05,"[2.0,3.0)",True,0.0128,0.0962,0.0086,0.0667,12228,True
FAIR1M#24,0.05,"[3.0,inf)",False,0.0249,0.0175,0.1051,0.0228,4587,False
SODA#23,0.05,"[1.6,2.0)",True,0.0004,0.2,0.0,1.0,24204,True
SODA#23,0.05,"[2.0,3.0)",True,0.0001,0.0,0.0009,0.0617,87383,False
SODA#23,0.05,"[3.0,inf)",False,0.0001,0.0,1.0,0.0283,25332,False
DIOR#3,0.05,"[1.6,2.0)",False,0.7007,0.0851,0.1749,0.0058,989,True
DIOR#3,0.05,"[2.0,3.0)",False,0.8507,0.0485,0.8146,0.0451,8332,False
DIOR#3,0.05,"[3.0,inf)",False,0.7619,0.0373,0.8539,0.0407,4751,False
DIOR#61,0.05,"[1.6,2.0)",False,0.7783,0.0908,0.4143,0.0327,1033,True
DIOR#61,0.05,"[2.0,3.0)",False,0.865,0.0515,0.8291,0.0463,8416,True
DIOR#61,0.05,"[3.0,inf)",False,0.8354,0.0361,0.8828,0.0386,4847,False
SODA#4,0.05,"[1.6,2.0)",True,0.0331,0.1967,0.0011,0.1667,33187,True
SODA#4,0.05,"[2.0,3.0)",True,0.0323,0.0871,0.0029,0.0903,107304,True
SODA#4,0.05,"[3.0,inf)",False,0.2281,0.0029,0.9998,0.0373,29176,False
