cell,alpha,achievable,coverage,emp_tail_rate,abstention,violation,hoeffding,n_cal,n_audit,base_tail,tail_deg
DIOR#22,0.02,True,0.1887,0.0086,0.8113,False,0.0098,12097,12891,0.0665,5.0
DIOR#22,0.03,True,0.327,0.018,0.673,False,0.0098,12097,12891,0.0665,5.0
DIOR#22,0.05,True,0.6802,0.0456,0.3198,False,0.0098,12097,12891,0.0665,5.0
DIOR#22,0.08,True,0.9998,0.0665,0.0002,False,0.0098,12097,12891,0.0665,5.0
DIOR#22,0.1,True,0.9998,0.0665,0.0002,False,0.0098,12097,12891,0.0665,5.0
FAIR1M#24,0.02,True,0.0124,0.0149,0.9876,False,0.0069,23986,21754,0.1282,5.0
FAIR1M#24,0.03,True,0.0153,0.0301,0.9847,True,0.0069,23986,21754,0.1282,5.0
FAIR1M#24,0.05,True,0.0207,0.0489,0.9793,False,0.0069,23986,21754,0.1282,5.0
FAIR1M#24,0.08,True,0.0529,0.073,0.9471,False,0.0069,23986,21754,0.1282,5.0
FAIR1M#24,0.1,True,0.1342,0.0959,0.8658,False,0.0069,23986,21754,0.1282,5.0
SODA#23,0.02,True,0.0,1.0,1.0,True,0.003,130877,136919,0.1134,5.0
SODA#23,0.03,True,0.0,1.0,1.0,True,0.003,130877,136919,0.1134,5.0
SODA#23,0.05,True,0.0001,0.1053,0.9999,True,0.003,130877,136919,0.1134,5.0
SODA#23,0.08,True,0.0002,0.0882,0.9998,True,0.003,130877,136919,0.1134,5.0
SODA#23,0.1,True,0.6367,0.0925,0.3633,False,0.003,130877,136919,0.1134,5.0
DIOR#3,0.02,True,0.2468,0.0109,0.7532,False,0.0095,12885,14072,0.0674,5.0
DIOR#3,0.03,True,0.5017,0.0262,0.4983,False,0.0095,12885,14072,0.0674,5.0
DIOR#3,0.05,True,0.8102,0.0472,0.1898,False,0.0095,12885,14072,0.0674,5.0
DIOR#3,0.08,True,1.0,0.0674,0.0,False,0.0095,12885,14072,0.0674,5.0
DIOR#3,0.1,True,1.0,0.0674,0.0,False,0.0095,12885,14072,0.0674,5.0
DIOR#61,0.02,True,0.3314,0.012,0.6686,False,0.0094,13086,14296,0.0758,5.0
DIOR#61,0.03,True,0.5823,0.0264,0.4177,False,0.0094,13086,14296,0.0758,5.0
DIOR#61,0.05,True,0.8487,0.049,0.1513,False,0.0094,13086,14296,0.0758,5.0
DIOR#61,0.08,True,0.9999,0.0757,0.0001,False,0.0094,13086,14296,0.0758,5.0
DIOR#61,0.1,True,0.9999,0.0757,0.0001,False,0.0094,13086,14296,0.0758,5.0
SODA#4,0.02,True,0.0182,0.0207,0.9818,True,0.0027,161908,169667,0.1415,5.0
SODA#4,0.03,True,0.0318,0.0312,0.9682,True,0.0027,161908,169667,0.1415,5.0
SODA#4,0.05,True,0.0661,0.0479,0.9339,False,0.0027,161908,169667,0.1415,5.0
SODA#4,0.08,True,0.2036,0.0732,0.7964,False,0.0027,161908,169667,0.1415,5.0
SODA#4,0.1,True,0.4411,0.0915,0.5589,False,0.0027,161908,169667,0.1415,5.0
