cell,cmp,delta_nrc,ci_lo,ci_hi,a_better_sig,tie
DIOR#22,geometry_selector_minus_detection_score,-0.0413,-0.054,-0.0283,True,False
DIOR#22,geometry_selector_minus_tta_neg_circular_var,-0.0139,-0.0826,0.0445,False,True
FAIR1M#24,geometry_selector_minus_detection_score,-0.3209,-0.3588,-0.2876,True,False
FAIR1M#24,geometry_selector_minus_tta_neg_circular_var,-0.0479,-0.0695,-0.0278,True,False
SODA#23,geometry_selector_minus_detection_score,-0.4049,-0.421,-0.3882,True,False
SODA#23,geometry_selector_minus_tta_neg_circular_var,-0.0256,-0.0421,-0.0084,True,False
DIOR#3,geometry_selector_minus_detection_score,-0.0406,-0.0506,-0.0308,True,False
DIOR#3,geometry_selector_minus_tta_neg_circular_var,-0.0822,-0.1177,-0.0477,True,False
DIOR#61,geometry_selector_minus_detection_score,-0.0219,-0.0295,-0.0117,True,False
DIOR#61,geometry_selector_minus_tta_neg_circular_var,-0.2881,-0.3469,-0.2235,True,False
SODA#4,geometry_selector_minus_detection_score,-0.201,-0.2072,-0.1937,True,False
SODA#4,geometry_selector_minus_tta_neg_circular_var,-0.4571,-0.4685,-0.446,True,False
