cell,detector,selector,protocol,n,nrc
DIOR#22,PSC,detection_score,masked_ar1.6_Daudit,12891,0.5615
DIOR#22,PSC,geometry_selector,masked_ar1.6_Daudit,12891,0.5203
DIOR#22,PSC,tta_neg_circular_var,masked_ar1.6_Daudit,12891,0.5342
DIOR#22,PSC,intrinsic_phase_mod,masked_ar1.6_Daudit,12891,1.128
FAIR1M#24,PSC,detection_score,masked_ar1.6_Daudit,21754,0.9205
FAIR1M#24,PSC,geometry_selector,masked_ar1.6_Daudit,21754,0.5992
FAIR1M#24,PSC,tta_neg_circular_var,masked_ar1.6_Daudit,21754,0.6473
FAIR1M#24,PSC,intrinsic_phase_mod,masked_ar1.6_Daudit,21754,1.1173
SODA#23,PSC,detection_score,masked_ar1.6_Daudit,136919,0.9064
SODA#23,PSC,geometry_selector,masked_ar1.6_Daudit,136919,0.502
SODA#23,PSC,tta_neg_circular_var,masked_ar1.6_Daudit,136919,0.527
SODA#23,PSC,intrinsic_phase_mod,masked_ar1.6_Daudit,136919,1.0913
DIOR#3,ORCNN,detection_score,masked_ar1.6_Daudit,14072,0.5277
DIOR#3,ORCNN,geometry_selector,masked_ar1.6_Daudit,14072,0.4867
DIOR#3,ORCNN,tta_neg_circular_var,masked_ar1.6_Daudit,14072,0.5703
DIOR#61,RTMDet,detection_score,masked_ar1.6_Daudit,14296,0.4191
DIOR#61,RTMDet,geometry_selector,masked_ar1.6_Daudit,14296,0.3963
DIOR#61,RTMDet,tta_neg_circular_var,masked_ar1.6_Daudit,14293,0.684
SODA#4,ORCNN,detection_score,masked_ar1.6_Daudit,169667,0.7062
SODA#4,ORCNN,geometry_selector,masked_ar1.6_Daudit,169667,0.5053
SODA#4,ORCNN,tta_neg_circular_var,masked_ar1.6_Daudit,169667,0.9481
