cell,selector,risk,n_audit,base_mean_dIoU,AURC,risk_at70,risk_at90,NRC
DIOR#22,detection_score,angle_induced_dIoU,6000,0.0032,0.0026,0.0033,0.0032,0.801
DIOR#22,size_linear,angle_induced_dIoU,6000,0.0032,0.0028,0.0033,0.0032,0.883
DIOR#22,geometry_selector,angle_induced_dIoU,6000,0.0032,0.0024,0.0031,0.0032,0.752
FAIR1M#24,detection_score,angle_induced_dIoU,6000,0.0023,0.0021,0.0024,0.0023,0.8926
FAIR1M#24,size_linear,angle_induced_dIoU,6000,0.0023,0.0024,0.0023,0.0024,1.0155
FAIR1M#24,geometry_selector,angle_induced_dIoU,6000,0.0023,0.0022,0.0023,0.0023,0.9544
SODA#23,detection_score,angle_induced_dIoU,6000,0.0025,0.0027,0.0023,0.0024,1.0846
SODA#23,size_linear,angle_induced_dIoU,6000,0.0025,0.0024,0.0024,0.0024,0.9832
SODA#23,geometry_selector,angle_induced_dIoU,6000,0.0025,0.0022,0.0023,0.0024,0.8909
DIOR#3,detection_score,angle_induced_dIoU,6000,0.0044,0.0033,0.0039,0.0043,0.7419
DIOR#3,size_linear,angle_induced_dIoU,6000,0.0044,0.0043,0.0044,0.0043,0.9871
DIOR#3,geometry_selector,angle_induced_dIoU,6000,0.0044,0.0034,0.0042,0.0044,0.7637
DIOR#61,detection_score,angle_induced_dIoU,6000,0.0041,0.0031,0.0038,0.0039,0.7373
DIOR#61,size_linear,angle_induced_dIoU,6000,0.0041,0.0036,0.0039,0.004,0.8791
DIOR#61,geometry_selector,angle_induced_dIoU,6000,0.0041,0.0032,0.004,0.004,0.7853
SODA#4,detection_score,angle_induced_dIoU,6000,0.0033,0.0033,0.0032,0.0033,0.9911
SODA#4,size_linear,angle_induced_dIoU,6000,0.0033,0.0031,0.0031,0.0033,0.9209
SODA#4,geometry_selector,angle_induced_dIoU,6000,0.0033,0.0029,0.003,0.0032,0.8729
