analysis_id,analysis_name,dataset,seed,mask_definition,risk_event,group_type,group_value,statistic,estimate,n,status,note,evidence_json
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),all,all,spearman,0.18638337732130297,48282,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D1,mean_angle_error_deg,3.16142872,4829,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D1,severe_event_rate,0.02671361,4829,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D2,mean_angle_error_deg,1.39836808,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D2,severe_event_rate,0.0041425,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D3,mean_angle_error_deg,0.89633284,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D3,severe_event_rate,0.00455675,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D4,mean_angle_error_deg,0.83053584,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D4,severe_event_rate,0.0041425,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D5,mean_angle_error_deg,1.01838045,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D5,severe_event_rate,0.00787075,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D6,mean_angle_error_deg,1.17564583,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D6,severe_event_rate,0.006628,4828,COMPLETE,,
