dataset,seed,candidate,n,formula,spearman_vs_negative_phase_mod,kendall_vs_negative_phase_mod,rank_disagreement,top10_overlap,isotonic_r2_best_direction,spearman_vs_detection_score,unique_values,depends_on_gt,inference_side,target_domain_fit,feature_ablation,simple_monotone_transform,nontrivial,beats_negative_phase_mod_nrc,beats_negative_phase_mod_all_metrics,paired_delta_nrc_ci_hi,paired_delta_aurc_ci_hi,paired_delta_risk70_ci_hi,paired_delta_risk90_ci_hi,status
DIOR-R,0,tta_phase_direction_consistency,47984,-theta->2theta circular variance over identity/hflip/vflip phase direction,0.23034685,0.16344015,0.27299105,0.01333611,0.30342099,0.31430966,47911,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.50120126,-0.00444446,-0.00262907,-0.00251699,COMPLETE
DIOR-R,0,multi_frequency_consistency,48282,-multi_frequency_disagreement_deg,0.34982579,0.26528022,0.2396762,0.02526403,0.56251546,0.29492131,48215,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.66095372,-0.00580692,-0.00169368,-0.00171134,COMPLETE
DIOR-R,0,unwrap_candidate_energy_gap,48282,abs(cos alignment candidate0 - candidate1),0.34982579,0.26528022,0.2396762,0.02526403,0.48402117,0.29492131,48215,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.65243053,-0.00572752,-0.00164286,-0.00172019,COMPLETE
DIOR-R,0,phase_direction_margin,48282,unwrap_candidate_energy_gap * secondary phase-vector norm,-0.096916,-0.09276263,0.33225807,0.35307517,0.04935696,0.12374604,48215,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.60553444,-0.00530926,-0.00212045,-0.00213186,COMPLETE
DIOR-R,1,tta_phase_direction_consistency,0,-theta->2theta circular variance over identity/hflip/vflip phase direction,,,,,,,,False,True,False,single registered raw mechanism signal; no fitted combination,,False,False,False,,,,,UNAVAILABLE
DIOR-R,1,multi_frequency_consistency,48152,-multi_frequency_disagreement_deg,0.3669772,0.27299706,0.23730047,0.02076412,0.55130793,0.29333571,48084,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.64145181,-0.00534391,-0.00103882,-0.00158838,COMPLETE
DIOR-R,1,unwrap_candidate_energy_gap,48152,abs(cos alignment candidate0 - candidate1),0.3669772,0.27299706,0.23730047,0.02076412,0.45375516,0.29333571,48084,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.63380887,-0.00529355,-0.00092297,-0.00162394,COMPLETE
DIOR-R,1,phase_direction_margin,48152,unwrap_candidate_energy_gap * secondary phase-vector norm,-0.07144242,-0.06612631,0.32437767,0.35631229,0.04373243,0.16864598,48084,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.58794421,-0.00500739,-0.00150457,-0.00204588,COMPLETE
DIOR-R,2,tta_phase_direction_consistency,0,-theta->2theta circular variance over identity/hflip/vflip phase direction,,,,,,,,False,True,False,single registered raw mechanism signal; no fitted combination,,False,False,False,,,,,UNAVAILABLE
DIOR-R,2,multi_frequency_consistency,48195,-multi_frequency_disagreement_deg,0.36516903,0.26929322,0.23782402,0.02157676,0.58660617,0.2876018,48127,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.56854899,-0.00468422,-0.00146382,-0.00151683,COMPLETE
DIOR-R,2,unwrap_candidate_energy_gap,48195,abs(cos alignment candidate0 - candidate1),0.36516903,0.26929322,0.23782402,0.02157676,0.54301154,0.2876018,48127,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.58206396,-0.00475611,-0.00154517,-0.0014831,COMPLETE
DIOR-R,2,phase_direction_margin,48195,unwrap_candidate_energy_gap * secondary phase-vector norm,-0.0699387,-0.0721337,0.32517358,0.35726141,0.05542741,0.09206697,48127,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.61155484,-0.00504225,-0.00182316,-0.00206068,COMPLETE
SODA-A,0,tta_phase_direction_consistency,190941,-theta->2theta circular variance over identity/hflip/vflip phase direction,0.06902038,0.0436415,0.31951109,0.03728725,0.2284898,0.16547073,190920,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-1.14049573,-0.00412122,-0.00180778,-0.0013762,COMPLETE
SODA-A,0,multi_frequency_consistency,193045,-multi_frequency_disagreement_deg,0.07255595,0.05084679,0.31383918,0.03154623,0.7148494,0.15315021,193038,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-1.12033213,-0.00426728,-0.00145214,-0.0008891,COMPLETE
SODA-A,0,unwrap_candidate_energy_gap,193045,abs(cos alignment candidate0 - candidate1),0.07255595,0.05084679,0.31383918,0.03154623,0.65285607,0.15315021,193038,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-1.11055785,-0.0042461,-0.0014686,-0.00091086,COMPLETE
SODA-A,0,phase_direction_margin,193045,unwrap_candidate_energy_gap * secondary phase-vector norm,-0.24485895,-0.17914334,0.35949492,0.04952085,0.30792116,0.06941389,193038,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.9680007,-0.00369327,-0.00164719,-0.00126152,COMPLETE
SODA-A,1,tta_phase_direction_consistency,0,-theta->2theta circular variance over identity/hflip/vflip phase direction,,,,,,,,False,True,False,single registered raw mechanism signal; no fitted combination,,False,False,False,,,,,UNAVAILABLE
SODA-A,1,multi_frequency_consistency,195192,-multi_frequency_disagreement_deg,-0.00281034,0.00243627,0.32727096,0.02279713,0.67837064,0.12218101,194731,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.97805917,-0.00409796,-0.00131074,-0.00052242,COMPLETE
SODA-A,1,unwrap_candidate_energy_gap,195192,abs(cos alignment candidate0 - candidate1),-0.00281034,0.00243627,0.32727096,0.02279713,0.57595368,0.12218101,194731,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.97094379,-0.0041466,-0.00132066,-0.00053125,COMPLETE
SODA-A,1,phase_direction_margin,195192,unwrap_candidate_energy_gap * secondary phase-vector norm,-0.37657056,-0.27872772,0.38483564,0.05773566,0.32347182,0.01274828,194731,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.8910064,-0.00376624,-0.00158301,-0.00116039,COMPLETE
SODA-A,2,tta_phase_direction_consistency,0,-theta->2theta circular variance over identity/hflip/vflip phase direction,,,,,,,,False,True,False,single registered raw mechanism signal; no fitted combination,,False,False,False,,,,,UNAVAILABLE
SODA-A,2,multi_frequency_consistency,196374,-multi_frequency_disagreement_deg,-0.02282186,-0.01324505,0.33286052,0.02948365,0.61459246,0.10319626,196075,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.81973709,-0.00333293,-0.00082529,-0.00050747,COMPLETE
SODA-A,2,unwrap_candidate_energy_gap,196374,abs(cos alignment candidate0 - candidate1),-0.02282186,-0.01324505,0.33286052,0.02948365,0.48052067,0.10319626,196075,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.8084459,-0.00338042,-0.00083538,-0.00051194,COMPLETE
SODA-A,2,phase_direction_margin,196374,unwrap_candidate_energy_gap * secondary phase-vector norm,-0.40234993,-0.29915617,0.38949947,0.05794887,0.27169734,0.03080789,196075,False,True,False,single registered raw mechanism signal; no fitted combination,False,True,True,True,-0.64172854,-0.0027172,-0.00114615,-0.00103889,COMPLETE
