dataset,seed,k,n_images,n_predictions,n_matched,AP50,AP75,mean_angle_error_deg,median_angle_error_deg,p95_angle_error_deg,mean_phase_mod_primary,mean_phase_mod_secondary,mean_matched_phase_loss,mean_abs_radial_gradient,mean_tangential_gradient_norm,mean_abs_dloss_dk,controlled_base_mean_phase_mod_primary,controlled_base_mean_phase_mod_secondary,controlled_base_mean_phase_loss,controlled_base_mean_abs_radial_gradient,controlled_base_mean_tangential_gradient_norm,controlled_base_mean_abs_dloss_dk,actual_head_mean_angle_loss,actual_head_mean_abs_radial_gradient,actual_head_mean_tangential_gradient_norm,actual_head_mean_abs_radial_gradient_wrt_base_z,actual_head_mean_tangential_gradient_norm_wrt_base_z,actual_head_mean_abs_dloss_dk,actual_head_mean_positive_anchors,decoded_angle_median_diff_deg,decoded_angle_p95_diff_deg,post_nms_exact_image_proportion,post_nms_score_label_count_equal_proportion,actual_head_statistics_source,legacy_actual_head_fields_superseded,actual_head_loss_relative_change_vs_k1,controlled_phase_mod_ratio_vs_k1,phase_mod_expected_k2,phase_mod_k2_abs_error,manifest_sha256,actual_head_supplement_manifest_sha256,checkpoint_sha256,mask_definition
DIOR-R,0,0.25,11738,573806,77866,0.50108,0.262996,12.78838813,2.5e-06,89.9999975,0.14047489,0.1373554,0.12448362,0.01744773,0.0715274,0.00750788,0.13994979,0.13846868,0.12346682,0.01909556,0.0705605,0.03295115,0.5984602065,0.0895322861,0.0476695245,0.0223830715,0.0119173811,0.7266959539,129.715283694,0.49795742,35.55124135,0.00042597,0.53901857,targeted_network_coordinate_supplement,True,3.8444567395,0.0625,0.0625,0.0,1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,601c663c13b9ec9e01002bc744a26e4e1480da265b0a72a0d54882b2301e0660,dcaa351dbb558ce9e623197ad8c8a127390d748268f1ee6879a173d363fcf225,full evaluator radial intervention; matched diagnostics use frozen K2 val; actual head loss uses network-coordinate targeted supplement
DIOR-R,0,0.5,11738,566507,84569,0.532198,0.336366,9.33918276,0.70778518,89.84886071,0.56003788,0.55467965,0.1166826,0.01867682,0.07146098,0.01613146,0.55979917,0.55387471,0.11660347,0.01878494,0.07141114,0.03241802,0.4201723039,0.0871410261,0.0510417296,0.0435705131,0.0255208648,0.709233037,129.715283694,0.0,0.0,0.27517465,0.8002215,targeted_network_coordinate_supplement,True,2.4012395933,0.25,0.25,0.0,1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,601c663c13b9ec9e01002bc744a26e4e1480da265b0a72a0d54882b2301e0660,dcaa351dbb558ce9e623197ad8c8a127390d748268f1ee6879a173d363fcf225,full evaluator radial intervention; matched diagnostics use frozen K2 val; actual head loss uses network-coordinate targeted supplement
DIOR-R,0,0.75,11738,566455,85032,0.533939,0.34018,8.93234453,0.708767,89.83865432,1.25955452,1.24630811,0.11085104,0.01804662,0.07343659,0.0233556,1.25954813,1.24621811,0.11084802,0.01804629,0.07343757,0.03113948,0.252286831,0.0775918926,0.0617304196,0.0581939195,0.0462978147,0.6469024334,129.715283694,1.1e-07,8.5e-07,0.68674391,0.97307889,targeted_network_coordinate_supplement,True,1.0422287488,0.5625,0.5625,0.0,1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,601c663c13b9ec9e01002bc744a26e4e1480da265b0a72a0d54882b2301e0660,dcaa351dbb558ce9e623197ad8c8a127390d748268f1ee6879a173d363fcf225,full evaluator radial intervention; matched diagnostics use frozen K2 val; actual head loss uses network-coordinate targeted supplement
DIOR-R,0,0.9,11738,566488,85037,0.533896,0.340229,8.92553599,0.70939641,89.83768452,1.81374957,1.79461484,0.10880034,0.01644946,0.07652699,0.0254981,1.81374922,1.79455397,0.10880079,0.01644851,0.07652806,0.0283295,0.1642899558,0.060852321,0.0764028456,0.0547670889,0.068762561,0.5387384105,129.715283694,1.1e-07,8.5e-07,0.79289487,0.99182143,targeted_network_coordinate_supplement,True,0.329905606,0.80999996,0.81,4e-08,1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,601c663c13b9ec9e01002bc744a26e4e1480da265b0a72a0d54882b2301e0660,dcaa351dbb558ce9e623197ad8c8a127390d748268f1ee6879a173d363fcf225,full evaluator radial intervention; matched diagnostics use frozen K2 val; actual head loss uses network-coordinate targeted supplement
DIOR-R,0,1.0,11738,566506,85040,0.533908,0.34024,8.9250108,0.70994443,89.83767967,2.23919668,2.21549884,0.10954256,0.02581734,0.07545374,0.04462891,2.23919668,2.21549884,0.10954256,0.02581734,0.07545374,0.04462891,0.1235350502,0.0306515127,0.0970429019,0.0306515127,0.0970429019,0.256192088,129.715283694,0.0,0.0,1.0,1.0,targeted_network_coordinate_supplement,True,0.0,1.0,1.0,0.0,1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,601c663c13b9ec9e01002bc744a26e4e1480da265b0a72a0d54882b2301e0660,dcaa351dbb558ce9e623197ad8c8a127390d748268f1ee6879a173d363fcf225,full evaluator radial intervention; matched diagnostics use frozen K2 val; actual head loss uses network-coordinate targeted supplement
DIOR-R,0,1.1,11738,566512,85038,0.533908,0.340279,8.9251619,0.71018883,89.8376829,2.70944046,2.68081063,0.11916032,0.06535332,0.04186862,0.12439583,2.70942806,2.68075368,0.11916254,0.06535403,0.04186822,0.11308714,0.1665815541,0.0708177878,0.0683801159,0.0778995666,0.0752181275,0.5908264445,129.715283694,1.3e-07,8.5e-07,0.81461919,0.99369569,targeted_network_coordinate_supplement,True,0.3484557932,1.21000003,1.21,3e-08,1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,601c663c13b9ec9e01002bc744a26e4e1480da265b0a72a0d54882b2301e0660,dcaa351dbb558ce9e623197ad8c8a127390d748268f1ee6879a173d363fcf225,full evaluator radial intervention; matched diagnostics use frozen K2 val; actual head loss uses network-coordinate targeted supplement
DIOR-R,0,1.25,11738,566513,85037,0.533901,0.340285,8.92140641,0.71012111,89.83676882,3.49876236,3.46182439,0.13712485,0.07171535,0.03512108,0.15493809,3.49874479,3.46171693,0.13712741,0.07171564,0.03512117,0.12394952,0.2649247702,0.0854807113,0.0542890902,0.1068508891,0.0678613627,0.6960345524,129.715283694,1.6e-07,8.5e-07,0.77900835,0.98875447,targeted_network_coordinate_supplement,True,1.1445312061,1.56249999,1.5625,1e-08,1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,601c663c13b9ec9e01002bc744a26e4e1480da265b0a72a0d54882b2301e0660,dcaa351dbb558ce9e623197ad8c8a127390d748268f1ee6879a173d363fcf225,full evaluator radial intervention; matched diagnostics use frozen K2 val; actual head loss uses network-coordinate targeted supplement
DIOR-R,0,1.5,11738,566525,85036,0.533902,0.340337,8.92074871,0.71014184,89.83677015,5.03825518,4.98509192,0.16878582,0.07433411,0.03180889,0.19254047,5.03819254,4.98487243,0.16879008,0.07433422,0.03180917,0.12835857,0.445576305,0.0910349238,0.0472626752,0.1365523856,0.0708940128,0.7392463766,129.715283694,1.1e-07,8.5e-07,0.75276879,0.98398364,targeted_network_coordinate_supplement,True,2.6068816443,2.25,2.25,0.0,1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,601c663c13b9ec9e01002bc744a26e4e1480da265b0a72a0d54882b2301e0660,dcaa351dbb558ce9e623197ad8c8a127390d748268f1ee6879a173d363fcf225,full evaluator radial intervention; matched diagnostics use frozen K2 val; actual head loss uses network-coordinate targeted supplement
DIOR-R,0,2.0,11738,566532,85034,0.533902,0.340346,8.92112252,0.71024323,89.83677281,8.95696486,8.86258076,0.23356147,0.07549765,0.03019481,0.26059,8.9567867,8.86199537,0.23356362,0.07549721,0.03019559,0.1302913,0.8220595088,0.0941666412,0.0427290137,0.1883332824,0.0854580274,0.7628629612,129.715283694,0.0,0.0,0.84588516,0.98134265,targeted_network_coordinate_supplement,True,5.6544637127,3.99999999,4.0,1e-08,1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,601c663c13b9ec9e01002bc744a26e4e1480da265b0a72a0d54882b2301e0660,dcaa351dbb558ce9e623197ad8c8a127390d748268f1ee6879a173d363fcf225,full evaluator radial intervention; matched diagnostics use frozen K2 val; actual head loss uses network-coordinate targeted supplement
DIOR-R,0,4.0,11738,566536,85032,0.533824,0.340372,8.92166337,0.71034349,89.83677547,35.82810252,35.45113535,0.4950869,0.07589272,0.02959822,0.523718,35.82714681,35.44798147,0.49507718,0.07589207,0.02959943,0.13092447,2.3598860694,0.0952548165,0.0408620716,0.3810192661,0.1634482864,0.7710560514,129.715283694,0.0,0.0,0.82773897,0.97844607,targeted_network_coordinate_supplement,True,18.1029676645,15.99999997,16.0,3e-08,1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,601c663c13b9ec9e01002bc744a26e4e1480da265b0a72a0d54882b2301e0660,dcaa351dbb558ce9e623197ad8c8a127390d748268f1ee6879a173d363fcf225,full evaluator radial intervention; matched diagnostics use frozen K2 val; actual head loss uses network-coordinate targeted supplement
