dataset,seed,score,score_family,formula,endpoint,mask_definition,risk_event,ar_threshold,retained_count,retained_ratio,n,n_images,reference_score,bootstrap_unit,bootstrap_replicates,comparison_status,source_file,source_sha256,nrc,nrc_ci_lo,nrc_ci_hi,delta_nrc,delta_nrc_ci_lo,delta_nrc_ci_hi,aurc,aurc_ci_lo,aurc_ci_hi,delta_aurc,delta_aurc_ci_lo,delta_aurc_ci_hi,risk70,risk70_ci_lo,risk70_ci_hi,delta_risk70,delta_risk70_ci_lo,delta_risk70_ci_hi,risk90,risk90_ci_lo,risk90_ci_hi,delta_risk90,delta_risk90_ci_lo,delta_risk90_ci_hi
DIOR-R,0,phase_mod,registered_psc_phase1,phase_mod_primary,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48282,0.56775635,48282,6901,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/matched_phase.jsonl,e793354efdb9db4fbdaaebda91e5d46c47b4529a57ca88fcf7fd3ae2dba60856,0.95199338,0.85368987,1.06990963,-0.55664295,-0.8006095,-0.28594006,0.00863819,0.00736593,0.01004287,-0.00502667,-0.00734198,-0.00254854,0.00789988,0.006772,0.0090687,-0.00065093,-0.00179559,0.00051598,0.00711097,0.00610842,0.00809932,-0.00200212,-0.00264784,-0.00131186
DIOR-R,0,negative_phase_mod,registered_psc_phase1,-phase_mod_primary,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48282,0.56775635,48282,6901,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/matched_phase.jsonl,e793354efdb9db4fbdaaebda91e5d46c47b4529a57ca88fcf7fd3ae2dba60856,1.50863633,1.34172741,1.6702929,0.0,0.0,0.0,0.01366486,0.01160847,0.01621826,0.0,0.0,0.0,0.0085508,0.00731049,0.01001357,0.0,0.0,0.0,0.00911309,0.00797739,0.01040181,0.0,0.0,0.0
DIOR-R,0,detection_score,registered_psc_phase1,post-NMS detection score,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48282,0.56775635,48282,6901,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/matched_phase.jsonl,e793354efdb9db4fbdaaebda91e5d46c47b4529a57ca88fcf7fd3ae2dba60856,0.23314242,0.20691891,0.26187808,-1.27549391,-1.44150204,-1.10120471,0.00214672,0.00181861,0.00253639,-0.01151814,-0.01361376,-0.00934296,0.00340257,0.00271954,0.00413053,-0.00514823,-0.00628217,-0.00410202,0.00545404,0.00464123,0.00636607,-0.00365904,-0.00435154,-0.00290207
DIOR-R,0,tta_phase_direction_consistency,registered_psc_phase1,-theta->2theta circular variance over identity/hflip/vflip phase direction,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,47984,0.56425212,47984,6872,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/matched_phase.jsonl,e793354efdb9db4fbdaaebda91e5d46c47b4529a57ca88fcf7fd3ae2dba60856,0.75263974,0.61597527,0.90900295,-0.74543332,-0.97081133,-0.50120126,0.00675463,0.00516323,0.00864032,-0.00664998,-0.00899152,-0.00444446,0.00497187,0.00395784,0.00600885,-0.00348328,-0.00445737,-0.00262907,0.00578891,0.00490664,0.00688209,-0.00319548,-0.00380214,-0.00251699
DIOR-R,0,multi_frequency_consistency,registered_psc_phase1,-multi_frequency_disagreement_deg,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48282,0.56775635,48282,6901,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/matched_phase.jsonl,e793354efdb9db4fbdaaebda91e5d46c47b4529a57ca88fcf7fd3ae2dba60856,0.64415618,0.5521145,0.74414192,-0.86448016,-1.06918772,-0.66095372,0.00585831,0.00471246,0.00727116,-0.00780655,-0.00986939,-0.00580692,0.00606545,0.00492352,0.00725879,-0.00248535,-0.00329332,-0.00169368,0.00683481,0.00576305,0.00794202,-0.00227827,-0.00292415,-0.00171134
DIOR-R,0,unwrap_candidate_energy_gap,registered_psc_phase1,abs(cos alignment candidate0 - candidate1),geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48282,0.56775635,48282,6901,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/matched_phase.jsonl,e793354efdb9db4fbdaaebda91e5d46c47b4529a57ca88fcf7fd3ae2dba60856,0.64415618,0.5483441,0.75099358,-0.86448016,-1.06806561,-0.65243053,0.00585831,0.00479615,0.00712471,-0.00780655,-0.00995843,-0.00572752,0.00606545,0.00489155,0.00728938,-0.00248535,-0.00338461,-0.00164286,0.00683481,0.0057283,0.00789058,-0.00227827,-0.0029721,-0.00172019
DIOR-R,0,phase_direction_margin,registered_psc_phase1,unwrap_candidate_energy_gap * secondary phase-vector norm,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48282,0.56775635,48282,6901,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/matched_phase.jsonl,e793354efdb9db4fbdaaebda91e5d46c47b4529a57ca88fcf7fd3ae2dba60856,0.71934901,0.60475253,0.84549858,-0.78928732,-0.99204733,-0.60553444,0.00653733,0.0053054,0.00785269,-0.00712753,-0.00922283,-0.00530926,0.00541452,0.00439928,0.00634436,-0.00313628,-0.00437388,-0.00212045,0.00623648,0.005246,0.00720441,-0.00287661,-0.00361892,-0.00213186
DIOR-R,1,phase_mod,registered_psc_phase1,phase_mod_primary,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48152,0.56949569,48152,6929,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/matched_phase.jsonl,7850258f6d9b8a833d4cc64348e72f19b5466b81a69af2124c83f9d7c637760c,0.95340141,0.84729918,1.05606762,-0.55644028,-0.81861371,-0.28759297,0.00827809,0.00687074,0.00966001,-0.00480929,-0.00731617,-0.00240003,0.00771353,0.00660224,0.00879762,-0.000178,-0.00137117,0.00094574,0.00689942,0.00593315,0.00784296,-0.00198445,-0.0027672,-0.00133912
DIOR-R,1,negative_phase_mod,registered_psc_phase1,-phase_mod_primary,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48152,0.56949569,48152,6929,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/matched_phase.jsonl,7850258f6d9b8a833d4cc64348e72f19b5466b81a69af2124c83f9d7c637760c,1.50984168,1.34395775,1.69177935,0.0,0.0,0.0,0.01308739,0.01076384,0.0155128,0.0,0.0,0.0,0.00789154,0.00660976,0.00915248,0.0,0.0,0.0,0.00888386,0.00769879,0.01008952,0.0,0.0,0.0
DIOR-R,1,detection_score,registered_psc_phase1,post-NMS detection score,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48152,0.56949569,48152,6929,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/matched_phase.jsonl,7850258f6d9b8a833d4cc64348e72f19b5466b81a69af2124c83f9d7c637760c,0.23936671,0.21369962,0.26712878,-1.27047497,-1.43870345,-1.09209957,0.00210672,0.00174857,0.00250836,-0.01098067,-0.01294269,-0.00894425,0.00332275,0.00261795,0.00414086,-0.00456878,-0.00545765,-0.00367147,0.00569952,0.00472097,0.00673522,-0.00318435,-0.00374916,-0.00259524
DIOR-R,1,tta_phase_direction_consistency,registered_psc_phase1,-theta->2theta circular variance over identity/hflip/vflip phase direction,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,0,0.0,0,0,negative_phase_mod,image,800,UNAVAILABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/matched_phase.jsonl,7850258f6d9b8a833d4cc64348e72f19b5466b81a69af2124c83f9d7c637760c,,,,,,,,,,,,,,,,,,,,,,,,
DIOR-R,1,multi_frequency_consistency,registered_psc_phase1,-multi_frequency_disagreement_deg,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48152,0.56949569,48152,6929,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/matched_phase.jsonl,7850258f6d9b8a833d4cc64348e72f19b5466b81a69af2124c83f9d7c637760c,0.6455044,0.54354713,0.75610972,-0.86433728,-1.11648985,-0.64145181,0.00561695,0.0045011,0.00670469,-0.00747044,-0.00988558,-0.00534391,0.00602249,0.00501352,0.00709117,-0.00186905,-0.00274657,-0.00103882,0.00666867,0.00578871,0.00767759,-0.0022152,-0.00280209,-0.00158838
DIOR-R,1,unwrap_candidate_energy_gap,registered_psc_phase1,abs(cos alignment candidate0 - candidate1),geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48152,0.56949569,48152,6929,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/matched_phase.jsonl,7850258f6d9b8a833d4cc64348e72f19b5466b81a69af2124c83f9d7c637760c,0.6455044,0.5526046,0.74925613,-0.86433728,-1.08244584,-0.63380887,0.00561695,0.00454474,0.00695006,-0.00747044,-0.00964695,-0.00529355,0.00602249,0.0050026,0.00720476,-0.00186905,-0.00272201,-0.00092297,0.00666867,0.00574893,0.00774034,-0.0022152,-0.00283396,-0.00162394
