run_id,angle_head,dataset,seed,classification,eligible_for_main_matrix,epoch12_written,final_mAP,epoch1_mAP,reason
PSC__DIOR-R__seed0,PSC,DIOR-R,0,complete,true,True,0.5311,0.0317,"healthy, final mAP=0.5311"
PSC__DIOR-R__seed1,PSC,DIOR-R,1,complete,true,True,0.5391,0.04,"healthy, final mAP=0.5391"
PSC__DIOR-R__seed2,PSC,DIOR-R,2,complete,true,True,0.5375,0.058,"healthy, final mAP=0.5375"
PSC__SODA-A__seed0,PSC,SODA-A,0,complete,true,True,0.5985,0.2191,"healthy, final mAP=0.5985"
PSC__SODA-A__seed1,PSC,SODA-A,1,complete,true,True,0.5968,0.1465,"healthy, final mAP=0.5968"
PSC__SODA-A__seed2,PSC,SODA-A,2,complete,true,True,0.5996,0.2607,"healthy, final mAP=0.5996"
CSL__DIOR-R__seed0,CSL,DIOR-R,0,complete,true,True,0.3306,0.0255,"healthy, final mAP=0.3306"
CSL__DIOR-R__seed1,CSL,DIOR-R,1,complete,true,True,0.2906,0.0153,"healthy, final mAP=0.2906"
CSL__DIOR-R__seed2,CSL,DIOR-R,2,complete,true,True,0.3096,0.0288,"healthy, final mAP=0.3096"
CSL__SODA-A__seed0,CSL,SODA-A,0,complete,true,True,0.3185,0.1096,"healthy, final mAP=0.3185"
CSL__SODA-A__seed1,CSL,SODA-A,1,complete,true,True,0.342,0.143,"healthy, final mAP=0.3420"
CSL__SODA-A__seed2,CSL,SODA-A,2,complete,true,True,0.3788,0.1278,"healthy, final mAP=0.3788"
DCL__DIOR-R__seed0,DCL,DIOR-R,0,complete,true,True,0.3367,0.033,"healthy, final mAP=0.3367"
DCL__DIOR-R__seed1,DCL,DIOR-R,1,complete,true,True,0.3224,0.013,"healthy, final mAP=0.3224"
DCL__DIOR-R__seed2,DCL,DIOR-R,2,complete,true,True,0.328,0.0066,"healthy, final mAP=0.3280"
DCL__SODA-A__seed0,DCL,SODA-A,0,complete,true,True,0.5367,0.0765,"healthy, final mAP=0.5367"
DCL__SODA-A__seed1,DCL,SODA-A,1,complete,true,True,0.5371,0.0474,"healthy, final mAP=0.5371"
DCL__SODA-A__seed2,DCL,SODA-A,2,complete,true,True,0.5035,0.0599,"healthy, final mAP=0.5035"
direct_regression_le90__DIOR-R__seed0,direct_regression_le90,DIOR-R,0,failed_training,false,True,0.0,0.0,NaN divergence under shared protocol (loss:nan persistent)
direct_regression_le90__DIOR-R__seed1,direct_regression_le90,DIOR-R,1,failed_training,false,True,0.0,0.0,NaN divergence under shared protocol (loss:nan persistent)
direct_regression_le90__DIOR-R__seed2,direct_regression_le90,DIOR-R,2,failed_training,false,True,0.0,0.0,NaN divergence under shared protocol (loss:nan persistent)
direct_regression_le90__SODA-A__seed0,direct_regression_le90,SODA-A,0,failed_training,false,True,0.0,0.0,NaN divergence under shared protocol (loss:nan persistent)
direct_regression_le90__SODA-A__seed1,direct_regression_le90,SODA-A,1,failed_training,false,True,0.0,0.2272,NaN divergence under shared protocol (loss:nan persistent)
direct_regression_le90__SODA-A__seed2,direct_regression_le90,SODA-A,2,failed_training,false,False,0.0,0.0,NaN divergence under shared protocol (loss:nan persistent)
KLD__DIOR-R__seed0,KLD,DIOR-R,0,failed_training,false,False,,,AMP/fp16 GDLoss linalg.inv incompatible (<30s crash)
KLD__DIOR-R__seed1,KLD,DIOR-R,1,failed_training,false,False,,,AMP/fp16 GDLoss linalg.inv incompatible (<30s crash)
KLD__DIOR-R__seed2,KLD,DIOR-R,2,failed_training,false,False,,,AMP/fp16 GDLoss linalg.inv incompatible (<30s crash)
KLD__SODA-A__seed0,KLD,SODA-A,0,failed_training,false,False,,,AMP/fp16 GDLoss linalg.inv incompatible (<30s crash)
KLD__SODA-A__seed1,KLD,SODA-A,1,failed_training,false,False,,,AMP/fp16 GDLoss linalg.inv incompatible (<30s crash)
KLD__SODA-A__seed2,KLD,SODA-A,2,failed_training,false,False,,,AMP/fp16 GDLoss linalg.inv incompatible (<30s crash)
