run_id,angle_head,dataset,seed,status,AP50,AP75,angle_error_masked,native_uncertainty_def,masked_NRC,NRC_CI_lo,NRC_CI_hi,failed_training,notes
PSC__DIOR-R__seed0,PSC,DIOR-R,0,evaluated,0.531,0.3472,1.6976,phase_mod,1.2055,1.1698,1.2377,no,"native=phase_mod NRC_native=1.2055 NRC_score=0.574 (masked ar>=1.6, n=57802)"
PSC__DIOR-R__seed1,PSC,DIOR-R,1,evaluated,0.539,0.3485,1.6938,phase_mod,1.2102,1.1769,1.2437,no,"native=phase_mod NRC_native=1.2102 NRC_score=0.5644 (masked ar>=1.6, n=57917)"
PSC__DIOR-R__seed2,PSC,DIOR-R,2,evaluated,0.538,0.3534,1.7051,phase_mod,1.2008,1.1685,1.2341,no,"native=phase_mod NRC_native=1.2008 NRC_score=0.5824 (masked ar>=1.6, n=58556)"
PSC__SODA-A__seed0,PSC,SODA-A,0,evaluated,0.598,0.2649,2.3501,phase_mod,1.1293,1.1143,1.1436,no,"native=phase_mod NRC_native=1.1293 NRC_score=0.9596 (masked ar>=1.6, n=266381)"
PSC__SODA-A__seed1,PSC,SODA-A,1,evaluated,0.597,0.274,2.3444,phase_mod,1.1519,1.1333,1.1687,no,"native=phase_mod NRC_native=1.1519 NRC_score=0.9588 (masked ar>=1.6, n=264509)"
PSC__SODA-A__seed2,PSC,SODA-A,2,evaluated,0.6,0.269,2.3524,phase_mod,1.1574,1.1416,1.1728,no,"native=phase_mod NRC_native=1.1574 NRC_score=0.9492 (masked ar>=1.6, n=266996)"
CSL__DIOR-R__seed0,CSL,DIOR-R,0,evaluated,0.331,0.1026,14.2253,angle_class_entropy/max_prob/margin,0.8929,0.872,0.915,no,"native=softmax_margin NRC_native=0.8929 NRC_score=0.8413 (masked ar>=1.6, n=27208)"
CSL__DIOR-R__seed1,CSL,DIOR-R,1,evaluated,0.291,0.0546,16.4536,angle_class_entropy/max_prob/margin,0.8944,0.8689,0.9199,no,"native=softmax_margin NRC_native=0.8944 NRC_score=1.2811 (masked ar>=1.6, n=19978)"
CSL__DIOR-R__seed2,CSL,DIOR-R,2,evaluated,0.31,0.0551,16.1577,angle_class_entropy/max_prob/margin,0.8953,0.8743,0.9173,no,"native=softmax_margin NRC_native=0.8953 NRC_score=1.066 (masked ar>=1.6, n=21804)"
CSL__SODA-A__seed0,CSL,SODA-A,0,evaluated,0.318,0.0427,21.3164,angle_class_entropy/max_prob/margin,1.1373,1.1061,1.1646,no,"native=softmax_margin NRC_native=1.1373 NRC_score=1.2228 (masked ar>=1.6, n=60305)"
CSL__SODA-A__seed1,CSL,SODA-A,1,evaluated,0.342,0.0463,17.4879,angle_class_entropy/max_prob/margin,0.9394,0.9167,0.9605,no,"native=softmax_margin NRC_native=0.9394 NRC_score=1.1502 (masked ar>=1.6, n=96832)"
CSL__SODA-A__seed2,CSL,SODA-A,2,evaluated,0.379,0.0361,18.6894,angle_class_entropy/max_prob/margin,0.9213,0.8974,0.9443,no,"native=softmax_margin NRC_native=0.9213 NRC_score=1.0449 (masked ar>=1.6, n=49016)"
DCL__DIOR-R__seed0,DCL,DIOR-R,0,evaluated,0.337,0.1181,3.2256,angle_class_entropy/max_prob/margin,0.194,0.1786,0.2107,no,"native=mean_bit_margin NRC_native=0.194 NRC_score=0.6792 (masked ar>=1.6, n=37995)"
DCL__DIOR-R__seed1,DCL,DIOR-R,1,evaluated,0.322,0.1048,3.0692,angle_class_entropy/max_prob/margin,0.217,0.2029,0.233,no,"native=mean_bit_margin NRC_native=0.217 NRC_score=0.6764 (masked ar>=1.6, n=36653)"
DCL__DIOR-R__seed2,DCL,DIOR-R,2,evaluated,0.328,0.103,3.2996,angle_class_entropy/max_prob/margin,0.1956,0.184,0.2081,no,"native=mean_bit_margin NRC_native=0.1956 NRC_score=0.7649 (masked ar>=1.6, n=38306)"
DCL__SODA-A__seed0,DCL,SODA-A,0,evaluated,0.537,0.1855,3.4212,angle_class_entropy/max_prob/margin,0.3698,0.3574,0.3837,no,"native=mean_bit_margin NRC_native=0.3698 NRC_score=1.0065 (masked ar>=1.6, n=236034)"
DCL__SODA-A__seed1,DCL,SODA-A,1,evaluated,0.537,0.1804,3.4477,angle_class_entropy/max_prob/margin,0.3656,0.352,0.3792,no,"native=mean_bit_margin NRC_native=0.3656 NRC_score=0.9881 (masked ar>=1.6, n=234594)"
DCL__SODA-A__seed2,DCL,SODA-A,2,evaluated,0.503,0.1572,3.4441,angle_class_entropy/max_prob/margin,0.3652,0.3536,0.3784,no,"native=mean_bit_margin NRC_native=0.3652 NRC_score=1.0061 (masked ar>=1.6, n=233634)"
direct_regression_le90__DIOR-R__seed0,direct_regression_le90,DIOR-R,0,"failed_training (NaN divergence, mAP=0)",0.0,,,"NONE (negative control, no native uncertainty)",,,,yes,DIVERGED to NaN ~iter 720-760 at shared lr=0.005+AMP (plain RetinaHead direct 5-param regression). Queue marked rc=0/epoch12 but checkpoint is NaN -> UNUSABLE. Negative-control cell lost at shared hyperparameters; needs stability fix (lower lr / disable AMP / stronger grad-clip) as a documented deviation before it can serve as the no-native-uncertainty control.
direct_regression_le90__DIOR-R__seed1,direct_regression_le90,DIOR-R,1,"failed_training (NaN divergence, mAP=0)",0.0,,,"NONE (negative control, no native uncertainty)",,,,yes,DIVERGED to NaN ~iter 720-760 at shared lr=0.005+AMP (plain RetinaHead direct 5-param regression). Queue marked rc=0/epoch12 but checkpoint is NaN -> UNUSABLE. Negative-control cell lost at shared hyperparameters; needs stability fix (lower lr / disable AMP / stronger grad-clip) as a documented deviation before it can serve as the no-native-uncertainty control.
direct_regression_le90__DIOR-R__seed2,direct_regression_le90,DIOR-R,2,"failed_training (NaN divergence, mAP=0)",0.0,,,"NONE (negative control, no native uncertainty)",,,,yes,DIVERGED to NaN ~iter 720-760 at shared lr=0.005+AMP (plain RetinaHead direct 5-param regression). Queue marked rc=0/epoch12 but checkpoint is NaN -> UNUSABLE. Negative-control cell lost at shared hyperparameters; needs stability fix (lower lr / disable AMP / stronger grad-clip) as a documented deviation before it can serve as the no-native-uncertainty control.
direct_regression_le90__SODA-A__seed0,direct_regression_le90,SODA-A,0,"failed_training (NaN divergence, mAP=0)",0.0,,,"NONE (negative control, no native uncertainty)",,,,yes,DIVERGED to NaN ~iter 720-760 at shared lr=0.005+AMP (plain RetinaHead direct 5-param regression). Queue marked rc=0/epoch12 but checkpoint is NaN -> UNUSABLE. Negative-control cell lost at shared hyperparameters; needs stability fix (lower lr / disable AMP / stronger grad-clip) as a documented deviation before it can serve as the no-native-uncertainty control.
direct_regression_le90__SODA-A__seed1,direct_regression_le90,SODA-A,1,"failed_training (NaN divergence, mAP=0)",0.0,,,"NONE (negative control, no native uncertainty)",,,,yes,DIVERGED to NaN ~iter 720-760 at shared lr=0.005+AMP (plain RetinaHead direct 5-param regression). Queue marked rc=0/epoch12 but checkpoint is NaN -> UNUSABLE. Negative-control cell lost at shared hyperparameters; needs stability fix (lower lr / disable AMP / stronger grad-clip) as a documented deviation before it can serve as the no-native-uncertainty control.
direct_regression_le90__SODA-A__seed2,direct_regression_le90,SODA-A,2,"failed_training (NaN divergence, mAP=0)",0.0,,,"NONE (negative control, no native uncertainty)",,,,yes,DIVERGED to NaN ~iter 720-760 at shared lr=0.005+AMP (plain RetinaHead direct 5-param regression). Queue marked rc=0/epoch12 but checkpoint is NaN -> UNUSABLE. Negative-control cell lost at shared hyperparameters; needs stability fix (lower lr / disable AMP / stronger grad-clip) as a documented deviation before it can serve as the no-native-uncertainty control.
KLD__DIOR-R__seed0,KLD,DIOR-R,0,failed_training (AMP/fp16 incompatible with GDLoss linalg.inv),n/a,,,predicted_angle_variance/distribution_uncertainty,n/a,,,yes,"failed_training under shared pre-registered protocol: GDLoss_v1(kld) requires fp32 for linalg.inv but the frozen protocol uses AMP/fp16 (AmpOptimWrapper, inherited by all heads) -> RuntimeError 'linalg.inv: Low precision dtypes not supported. Got Half' on all 4 ranks, crash <30s. Not tuned/rescued into main matrix. native uncertainty unavailable; NRC not computed. Exploratory non-AMP rescue is appendix-only (see rescue plan doc)."
