angle_head,dataset,n_seeds,mean_NRC,std_NRC,min_NRC,max_NRC,all_seed_CI_lower_gt1,reproducible_reverse,notes
PSC,DIOR-R,3,1.2055,0.0038,1.2008,1.2102,yes,yes(all 3 seeds NRC>1),"native NRC 1.2008-1.2102 (mean 1.2055, CI_lo_min 1.1685); score NRC 0.5736; AP50 0.536 AP75 0.3497; interim, no mechanism proof"
PSC,SODA-A,3,1.1462,0.0122,1.1293,1.1574,yes,yes(all 3 seeds NRC>1),"native NRC 1.1293-1.1574 (mean 1.1462, CI_lo_min 1.1143); score NRC 0.9559; AP50 0.5983 AP75 0.2693; interim, no mechanism proof"
CSL,DIOR-R,3,0.8942,0.001,0.8929,0.8953,no,no,"native NRC 0.8929-0.8953 (mean 0.8942, CI_lo_min 0.8689); score NRC 1.0628; AP50 0.3107 AP75 0.0708; interim, no mechanism proof"
CSL,SODA-A,3,0.9993,0.0978,0.9213,1.1373,no,no,"native NRC 0.9213-1.1373 (mean 0.9993, CI_lo_min 0.8974); score NRC 1.1393; AP50 0.3463 AP75 0.0417; interim, no mechanism proof"
DCL,DIOR-R,3,0.2022,0.0105,0.194,0.217,no,no,"native NRC 0.194-0.217 (mean 0.2022, CI_lo_min 0.1786); score NRC 0.7068; AP50 0.329 AP75 0.1086; interim, no mechanism proof"
DCL,SODA-A,3,0.3669,0.0021,0.3652,0.3698,no,no,"native NRC 0.3652-0.3698 (mean 0.3669, CI_lo_min 0.352); score NRC 1.0002; AP50 0.5257 AP75 0.1744; interim, no mechanism proof"
direct_regression_le90,DIOR-R,0 usable,,,,,,,failed_training under shared protocol (NaN divergence / AMP-fp16 incompat); excluded from main matrix; no NRC
direct_regression_le90,SODA-A,0 usable,,,,,,,failed_training under shared protocol (NaN divergence / AMP-fp16 incompat); excluded from main matrix; no NRC
KLD,DIOR-R,0 usable,,,,,,,failed_training under shared protocol (NaN divergence / AMP-fp16 incompat); excluded from main matrix; no NRC
KLD,SODA-A,0 usable,,,,,,,failed_training under shared protocol (NaN divergence / AMP-fp16 incompat); excluded from main matrix; no NRC
