run_id,angle_head,dataset,seed,status,oom_retries,config_present,note
PSC__DIOR-R__seed0,PSC,DIOR-R,0,complete,0,True,
PSC__DIOR-R__seed1,PSC,DIOR-R,1,running,0,True,
PSC__DIOR-R__seed2,PSC,DIOR-R,2,queued,0,True,
PSC__SODA-A__seed0,PSC,SODA-A,0,blocked_config_missing,0,False,config not authored yet
PSC__SODA-A__seed1,PSC,SODA-A,1,blocked_config_missing,0,False,config not authored yet
PSC__SODA-A__seed2,PSC,SODA-A,2,blocked_config_missing,0,False,config not authored yet
CSL__DIOR-R__seed0,CSL,DIOR-R,0,blocked_config_missing,0,False,config not authored yet
CSL__DIOR-R__seed1,CSL,DIOR-R,1,blocked_config_missing,0,False,config not authored yet
CSL__DIOR-R__seed2,CSL,DIOR-R,2,blocked_config_missing,0,False,config not authored yet
CSL__SODA-A__seed0,CSL,SODA-A,0,blocked_config_missing,0,False,config not authored yet
CSL__SODA-A__seed1,CSL,SODA-A,1,blocked_config_missing,0,False,config not authored yet
CSL__SODA-A__seed2,CSL,SODA-A,2,blocked_config_missing,0,False,config not authored yet
DCL__DIOR-R__seed0,DCL,DIOR-R,0,blocked_config_missing,0,False,config not authored yet
DCL__DIOR-R__seed1,DCL,DIOR-R,1,blocked_config_missing,0,False,config not authored yet
DCL__DIOR-R__seed2,DCL,DIOR-R,2,blocked_config_missing,0,False,config not authored yet
DCL__SODA-A__seed0,DCL,SODA-A,0,blocked_config_missing,0,False,config not authored yet
DCL__SODA-A__seed1,DCL,SODA-A,1,blocked_config_missing,0,False,config not authored yet
DCL__SODA-A__seed2,DCL,SODA-A,2,blocked_config_missing,0,False,config not authored yet
direct_regression_le90__DIOR-R__seed0,direct_regression_le90,DIOR-R,0,blocked_config_missing,0,False,config not authored yet
direct_regression_le90__DIOR-R__seed1,direct_regression_le90,DIOR-R,1,blocked_config_missing,0,False,config not authored yet
direct_regression_le90__DIOR-R__seed2,direct_regression_le90,DIOR-R,2,blocked_config_missing,0,False,config not authored yet
direct_regression_le90__SODA-A__seed0,direct_regression_le90,SODA-A,0,blocked_config_missing,0,False,config not authored yet
direct_regression_le90__SODA-A__seed1,direct_regression_le90,SODA-A,1,blocked_config_missing,0,False,config not authored yet
direct_regression_le90__SODA-A__seed2,direct_regression_le90,SODA-A,2,blocked_config_missing,0,False,config not authored yet
KLD__DIOR-R__seed0,KLD,DIOR-R,0,blocked_config_missing,0,False,config not authored yet
KLD__DIOR-R__seed1,KLD,DIOR-R,1,blocked_config_missing,0,False,config not authored yet
KLD__DIOR-R__seed2,KLD,DIOR-R,2,blocked_config_missing,0,False,config not authored yet
KLD__SODA-A__seed0,KLD,SODA-A,0,blocked_config_missing,0,False,config not authored yet
KLD__SODA-A__seed1,KLD,SODA-A,1,blocked_config_missing,0,False,config not authored yet
KLD__SODA-A__seed2,KLD,SODA-A,2,blocked_config_missing,0,False,config not authored yet
