run_id,angle_head,dataset,seed,config_source,native_uncertainty_def,planned_gpus,work_dir,launch_status,status
PSC__DIOR-R__seed0,PSC,DIOR-R,0,"pth_data baseline template (config.py, KNOWN-GOOD) -> copy",phase_mod,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/PSC__DIOR-R__seed0,config_ready_smoke_passed_061,complete
PSC__DIOR-R__seed1,PSC,DIOR-R,1,"pth_data baseline template (config.py, KNOWN-GOOD) -> copy",phase_mod,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/PSC__DIOR-R__seed1,config_ready_smoke_passed_061,running
PSC__DIOR-R__seed2,PSC,DIOR-R,2,"pth_data baseline template (config.py, KNOWN-GOOD) -> copy",phase_mod,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/PSC__DIOR-R__seed2,config_ready_smoke_passed_061,queued
PSC__SODA-A__seed0,PSC,SODA-A,0,"pth_data baseline template (config.py, KNOWN-GOOD) -> copy",phase_mod,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/PSC__SODA-A__seed0,config_ready_smoke_passed_061,queued
PSC__SODA-A__seed1,PSC,SODA-A,1,"pth_data baseline template (config.py, KNOWN-GOOD) -> copy",phase_mod,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/PSC__SODA-A__seed1,config_ready_smoke_passed_061,queued
PSC__SODA-A__seed2,PSC,SODA-A,2,"pth_data baseline template (config.py, KNOWN-GOOD) -> copy",phase_mod,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/PSC__SODA-A__seed2,config_ready_smoke_passed_061,queued
CSL__DIOR-R__seed0,CSL,DIOR-R,0,"third_party/{mmrotate_1x,ai4rs}/configs/csl -> needs orientbench copy + dataset align",angle_class_entropy/max_prob/margin,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/CSL__DIOR-R__seed0,config_ready_smoke_passed_061,queued
CSL__DIOR-R__seed1,CSL,DIOR-R,1,"third_party/{mmrotate_1x,ai4rs}/configs/csl -> needs orientbench copy + dataset align",angle_class_entropy/max_prob/margin,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/CSL__DIOR-R__seed1,config_ready_smoke_passed_061,queued
CSL__DIOR-R__seed2,CSL,DIOR-R,2,"third_party/{mmrotate_1x,ai4rs}/configs/csl -> needs orientbench copy + dataset align",angle_class_entropy/max_prob/margin,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/CSL__DIOR-R__seed2,config_ready_smoke_passed_061,queued
CSL__SODA-A__seed0,CSL,SODA-A,0,"third_party/{mmrotate_1x,ai4rs}/configs/csl -> needs orientbench copy + dataset align",angle_class_entropy/max_prob/margin,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/CSL__SODA-A__seed0,config_ready_smoke_passed_061,queued
CSL__SODA-A__seed1,CSL,SODA-A,1,"third_party/{mmrotate_1x,ai4rs}/configs/csl -> needs orientbench copy + dataset align",angle_class_entropy/max_prob/margin,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/CSL__SODA-A__seed1,config_ready_smoke_passed_061,queued
CSL__SODA-A__seed2,CSL,SODA-A,2,"third_party/{mmrotate_1x,ai4rs}/configs/csl -> needs orientbench copy + dataset align",angle_class_entropy/max_prob/margin,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/CSL__SODA-A__seed2,config_ready_smoke_passed_061,queued
DCL__DIOR-R__seed0,DCL,DIOR-R,0,PSC template + project-local DCLCoder(BCL) via custom_imports (unit-test gated),per-bit sigmoid margin,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/DCL__DIOR-R__seed0,config_ready_smoke_passed_061,queued
DCL__DIOR-R__seed1,DCL,DIOR-R,1,PSC template + project-local DCLCoder(BCL) via custom_imports (unit-test gated),per-bit sigmoid margin,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/DCL__DIOR-R__seed1,config_ready_smoke_passed_061,queued
