run_id,angle_head,epoch1_mAP,loss_nan,linalg_crash,gate_decision,action
PSC__DIOR-R__seed0,PSC,0.0317,False,False,pass_healthy,kept_running_to_12ep
PSC__DIOR-R__seed1,PSC,0.04,False,False,pass_healthy,kept_running_to_12ep
PSC__DIOR-R__seed2,PSC,0.058,False,False,pass_healthy,kept_running_to_12ep
PSC__SODA-A__seed0,PSC,0.2191,False,False,pass_healthy,kept_running_to_12ep
PSC__SODA-A__seed1,PSC,0.1465,False,False,pass_healthy,kept_running_to_12ep
PSC__SODA-A__seed2,PSC,0.2607,False,False,pass_healthy,kept_running_to_12ep
CSL__DIOR-R__seed0,CSL,0.0255,False,False,pass_healthy,kept_running_to_12ep
CSL__DIOR-R__seed1,CSL,0.0153,False,False,pass_healthy,kept_running_to_12ep
CSL__DIOR-R__seed2,CSL,0.0288,False,False,pass_healthy,kept_running_to_12ep
CSL__SODA-A__seed0,CSL,0.1096,False,False,pass_healthy,kept_running_to_12ep
CSL__SODA-A__seed1,CSL,0.143,False,False,pass_healthy,kept_running_to_12ep
CSL__SODA-A__seed2,CSL,0.1278,False,False,pass_healthy,kept_running_to_12ep
DCL__DIOR-R__seed0,DCL,0.033,False,False,pass_healthy,kept_running_to_12ep
DCL__DIOR-R__seed1,DCL,0.013,False,False,pass_healthy,kept_running_to_12ep
DCL__DIOR-R__seed2,DCL,0.0066,False,False,pass_healthy,kept_running_to_12ep
DCL__SODA-A__seed0,DCL,0.0765,False,False,pass_healthy,kept_running_to_12ep
DCL__SODA-A__seed1,DCL,0.0474,False,False,pass_healthy,kept_running_to_12ep
DCL__SODA-A__seed2,DCL,0.0599,False,False,pass_healthy,kept_running_to_12ep
direct_regression_le90__DIOR-R__seed0,direct_regression_le90,0.0,True,False,early_fail_nan,early_stop_failed_training
direct_regression_le90__DIOR-R__seed1,direct_regression_le90,0.0,True,False,early_fail_nan,early_stop_failed_training
direct_regression_le90__DIOR-R__seed2,direct_regression_le90,0.0,True,False,early_fail_nan,early_stop_failed_training
direct_regression_le90__SODA-A__seed0,direct_regression_le90,0.0,True,False,early_fail_nan,early_stop_failed_training
direct_regression_le90__SODA-A__seed1,direct_regression_le90,0.2272,True,False,early_fail_nan,early_stop_failed_training
direct_regression_le90__SODA-A__seed2,direct_regression_le90,0.0,True,False,early_fail_nan,early_stop_failed_training
KLD__DIOR-R__seed0,KLD,,False,True,early_fail_ampcrash,early_stop_failed_training
KLD__DIOR-R__seed1,KLD,,False,True,early_fail_ampcrash,early_stop_failed_training
KLD__DIOR-R__seed2,KLD,,False,True,early_fail_ampcrash,early_stop_failed_training
KLD__SODA-A__seed0,KLD,,False,True,early_fail_ampcrash,early_stop_failed_training
KLD__SODA-A__seed1,KLD,,False,True,early_fail_ampcrash,early_stop_failed_training
KLD__SODA-A__seed2,KLD,,False,True,early_fail_ampcrash,early_stop_failed_training
