cell,dataset,detector,n,masked_NRC,AURC,Risk70,Risk90,ranking_quality,artifact_sha256,can_recompute,included_main
DIOR#22,DIOR-R,rotated_retinanet_psc,24988,0.5424,1.1373,1.442,1.606,non-reversed(NRC<1),f596a441d14e82a6a8ae9cf61c6e32a6,yes,yes
FAIR1M#24,FAIR1M-v1.0,rotated_retinanet_psc,45740,0.8848,2.2838,2.386,2.457,non-reversed(NRC<1),d12f35c56132f86e0faed978b43005c5,yes,yes
SODA#23,SODA-A,rotated_retinanet_psc,267796,0.9138,2.2741,2.196,2.329,non-reversed(NRC<1),a60cc90cfd733bcb3553a05a8f8929d8,yes,yes
DIOR#3,DIOR-R,oriented_rcnn,26957,0.5258,1.2433,1.485,1.719,non-reversed(NRC<1),c8031cfb64085d145a493d69aff3e400,yes,yes
DIOR#61,DIOR-R,rotated_rtmdet_s,27382,0.4072,1.1884,1.437,1.742,non-reversed(NRC<1),7d27907ec0150199879c5b60f6ad1228,yes,yes
SODA#4,SODA-A,oriented_rcnn,331575,0.7114,2.1474,2.387,2.544,non-reversed(NRC<1),6e1248798ae6e53cebc9a5c89490714d,yes,yes
DIOR#10,DIOR-R,orcnn+lsknet,27097,0.5476,1.2057,1.422,1.643,non-reversed(NRC<1),"(features_v2, recomputable)",masked-only,no(appendix)
SODA#11,SODA-A,orcnn+lsknet,254021,0.7313,1.8789,2.065,2.205,non-reversed(NRC<1),"(features_v2, recomputable)",masked-only,no(appendix)
FAIR1M#5,FAIR1M-v1.0,orcnn,44942,0.7833,2.1757,2.396,2.475,non-reversed(NRC<1),"(features_v2, recomputable)",masked-only,no(appendix)
FAIR1M#12,FAIR1M-v1.0,orcnn+lsknet,49084,0.801,2.0759,2.247,2.328,non-reversed(NRC<1),"(features_v2, recomputable)",masked-only,no(appendix)
