cell_id,dataset,detector,artifact_path,artifact_sha256,provenance_status,dump_status,can_recompute,included_main,exclusion_reason,next_action
DIOR-R/22,DIOR-R,rotated_retinanet_psc,outputs/persistent_artifacts/orientbench_real_052/matched_tables/DIOR-R/22/matched_17field_full_052.jsonl,f596a441d14e82a6a8ae9cf61c6e32a6,"clean(real detector, checkpoint sha256)",full_val,yes,yes,,in main tables
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,outputs/persistent_artifacts/orientbench_real_052/matched_tables/FAIR1M-v1.0/24/matched_17field_full_052.jsonl,d12f35c56132f86e0faed978b43005c5,"clean(real detector, checkpoint sha256)",full_val,yes,yes,,in main tables
SODA-A/23,SODA-A,rotated_retinanet_psc,outputs/persistent_artifacts/orientbench_real_052/matched_tables/SODA-A/23/matched_17field_full_052.jsonl,a60cc90cfd733bcb3553a05a8f8929d8,"clean(real detector, checkpoint sha256)",full_val,yes,yes,,in main tables
DIOR-R/3,DIOR-R,oriented_rcnn,outputs/persistent_artifacts/orientbench_real_052/matched_tables/DIOR-R/3/matched_17field_full_052.jsonl,c8031cfb64085d145a493d69aff3e400,"clean(real detector, checkpoint sha256)",full_val,yes,yes,,in main tables
DIOR-R/61,DIOR-R,rotated_rtmdet_s,outputs/persistent_artifacts/orientbench_real_052/matched_tables/DIOR-R/61/matched_17field_full_052.jsonl,7d27907ec0150199879c5b60f6ad1228,"clean(real detector, checkpoint sha256)",full_val,yes,yes,,in main tables
SODA-A/4,SODA-A,oriented_rcnn,outputs/persistent_artifacts/orientbench_real_052/matched_tables/SODA-A/4/matched_17field_full_052.jsonl,6e1248798ae6e53cebc9a5c89490714d,"clean(real detector, checkpoint sha256)",full_val,yes,yes,,in main tables
DIOR-R/10,DIOR-R,oriented_rcnn_lsknet,measure_fix_v2/artifacts/features_v2/DIOR-R_10.jsonl,"(features, recomputable)",clean(masked features ar>=1.6),masked_only(no full-val matched table),masked metrics only,no,no full-val 17-field matched table (only pre-filtered masked features),forward+match on full val to promote to main (future command; not 058)
SODA-A/11,SODA-A,oriented_rcnn_lsknet,measure_fix_v2/artifacts/features_v2/SODA-A_11.jsonl,"(features, recomputable)",clean(masked features ar>=1.6),masked_only(no full-val matched table),masked metrics only,no,no full-val 17-field matched table (only pre-filtered masked features),forward+match on full val to promote to main (future command; not 058)
FAIR1M-v1.0/5,FAIR1M-v1.0,oriented_rcnn,measure_fix_v2/artifacts/features_v2/FAIR1M-v1.0_5.jsonl,"(features, recomputable)",clean(masked features ar>=1.6),masked_only(no full-val matched table),masked metrics only,no,no full-val 17-field matched table (only pre-filtered masked features),forward+match on full val to promote to main (future command; not 058)
FAIR1M-v1.0/12,FAIR1M-v1.0,oriented_rcnn_lsknet,measure_fix_v2/artifacts/features_v2/FAIR1M-v1.0_12.jsonl,"(features, recomputable)",clean(masked features ar>=1.6),masked_only(no full-val matched table),masked metrics only,no,no full-val 17-field matched table (only pre-filtered masked features),forward+match on full val to promote to main (future command; not 058)
DOTA-v1.0/20,DOTA-v1.0,rotated_retinanet_psc,outputs/persistent_artifacts/orientbench_real_052/matched_tables/DOTA-v1.0/20/matched_17field_full_052.jsonl,449675cdd250ab5664c4dcd99682e800,clean checkpoint but scope-limited,"invalid(19-img D_cal subset, mAP anomalous)",only on subset,no,matched against 19-image D_cal subset GT; not comparable to full-val cells,needs provenance-clean FULL-VAL forward dump before it can be considered (future command)
CANDIDATE:strip_rcnn,(various),strip_rcnn,pth_data checkpoint,(see pth_data readme),checkpoint-only,no provenance-clean dump,requires forward inference,no,no provenance-clean matched dump exists yet,"forward inference + match to build clean cell (future command; NOT 058, no long task this round)"
CANDIDATE:ars_detr(DETR-family),(various),ars_detr(DETR-family),pth_data checkpoint,(see pth_data readme),checkpoint-only,no provenance-clean dump,requires forward inference,no,no provenance-clean matched dump exists yet,"forward inference + match to build clean cell (future command; NOT 058, no long task this round)"
CANDIDATE:DOTA-v1.0/v1.5 additional cells,(various),DOTA-v1.0/v1.5 additional cells,pth_data checkpoint,(see pth_data readme),checkpoint-only,no provenance-clean dump,requires forward inference,no,no provenance-clean matched dump exists yet,"forward inference + match to build clean cell (future command; NOT 058, no long task this round)"
CANDIDATE:HRSC2016 real detector,(various),HRSC2016 real detector,pth_data checkpoint,(see pth_data readme),checkpoint-only,no provenance-clean dump,requires forward inference,no,no provenance-clean matched dump exists yet,"forward inference + match to build clean cell (future command; NOT 058, no long task this round)"
