cell,selector,base_severe_rate,coverage,severe_err_rate,severe_def,n_audit
SODA#4,detection_score,0.0054,0.5,0.0013,err>15deg,140083
SODA#4,detection_score,0.0054,0.7,0.002,err>15deg,140083
SODA#4,detection_score,0.0054,0.9,0.0036,err>15deg,140083
SODA#4,size_linear,0.0054,0.5,0.0006,err>15deg,140083
SODA#4,size_linear,0.0054,0.7,0.0014,err>15deg,140083
SODA#4,size_linear,0.0054,0.9,0.0033,err>15deg,140083
SODA#4,geometry,0.0054,0.5,0.0006,err>15deg,140083
SODA#4,geometry,0.0054,0.7,0.0017,err>15deg,140083
SODA#4,geometry,0.0054,0.9,0.003,err>15deg,140083
DIOR#3,detection_score,0.0011,0.5,0.0,err>15deg,7571
DIOR#3,detection_score,0.0011,0.7,0.0,err>15deg,7571
DIOR#3,detection_score,0.0011,0.9,0.0003,err>15deg,7571
DIOR#3,size_linear,0.0011,0.5,0.0,err>15deg,7571
DIOR#3,size_linear,0.0011,0.7,0.0,err>15deg,7571
DIOR#3,size_linear,0.0011,0.9,0.0,err>15deg,7571
DIOR#3,geometry,0.0011,0.5,0.0,err>15deg,7571
DIOR#3,geometry,0.0011,0.7,0.0,err>15deg,7571
DIOR#3,geometry,0.0011,0.9,0.0003,err>15deg,7571
FAIR1M#24,detection_score,0.0056,0.5,0.0,err>15deg,714
FAIR1M#24,detection_score,0.0056,0.7,0.0,err>15deg,714
FAIR1M#24,detection_score,0.0056,0.9,0.0062,err>15deg,714
FAIR1M#24,size_linear,0.0056,0.5,0.0,err>15deg,714
FAIR1M#24,size_linear,0.0056,0.7,0.0,err>15deg,714
FAIR1M#24,size_linear,0.0056,0.9,0.0016,err>15deg,714
FAIR1M#24,geometry,0.0056,0.5,0.0028,err>15deg,714
FAIR1M#24,geometry,0.0056,0.7,0.002,err>15deg,714
FAIR1M#24,geometry,0.0056,0.9,0.0031,err>15deg,714
DIOR#22,detection_score,0.0013,0.5,0.0,err>15deg,6886
DIOR#22,detection_score,0.0013,0.7,0.0002,err>15deg,6886
DIOR#22,detection_score,0.0013,0.9,0.0005,err>15deg,6886
DIOR#22,size_linear,0.0013,0.5,0.0,err>15deg,6886
DIOR#22,size_linear,0.0013,0.7,0.0002,err>15deg,6886
DIOR#22,size_linear,0.0013,0.9,0.0005,err>15deg,6886
DIOR#22,geometry,0.0013,0.5,0.0,err>15deg,6886
DIOR#22,geometry,0.0013,0.7,0.0006,err>15deg,6886
DIOR#22,geometry,0.0013,0.9,0.001,err>15deg,6886
