dataset,split,detector,head,checkpoint,checkpoint_sha256,seed,epoch,best_epoch,final_epoch,lr,lr_tuning_budget,amp_fp32,prediction_artifact,prediction_identity_hash,matched_table_artifact,matched_artifact_sha256,gt_artifact,gt_sha256,fullval_subset,ar_mask,continuous_risk_definition,severe_event_definition,coverage_grid,score_direction,original_scene_id_availability,image_count,mother_scene_count_masked,matched_count_before_mask,retained_ar21,can_recompute
DIOR-R,full-validation,rotated_retinanet,PSC,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed0/epoch_12.pth,dcaa351dbb558ce9e623197ad8c8a127390d748268f1ee6879a173d363fcf225,0,12,12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/matched_phase.jsonl,2d0c1c72534815f4057e23b92ecabded21841b3ec971973dfa5068d044eab4aa,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/matched_phase.jsonl,e793354efdb9db4fbdaaebda91e5d46c47b4529a57ca88fcf7fd3ae2dba60856,outputs/persistent_artifacts/k1_table1_fullval_065/gt/DIOR-R_test_fullval_gt.jsonl,894f5dac4a05619fb73d197a7475a7f34a517bb13b1c6fa718d31a7090a5c1a5,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger means more reliable; phase_mod and -phase_mod computed directly,True,11738,6901,85040,48282,True
DIOR-R,full-validation,rotated_retinanet,PSC,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed1/epoch_12.pth,800b7294a303d0f8f144ffd951530580af9622b83c3e8c6d384c72e987e801e8,1,12,12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,prev,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/matched_phase.jsonl,7e096397c3fc6ab37fdf04c80936b3f92c3536ae70847d88d868018603abad74,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/matched_phase.jsonl,7850258f6d9b8a833d4cc64348e72f19b5466b81a69af2124c83f9d7c637760c,outputs/persistent_artifacts/k1_table1_fullval_065/gt/DIOR-R_test_fullval_gt.jsonl,894f5dac4a05619fb73d197a7475a7f34a517bb13b1c6fa718d31a7090a5c1a5,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger means more reliable; phase_mod and -phase_mod computed directly,True,11738,6929,84552,48152,True
DIOR-R,full-validation,rotated_retinanet,PSC,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed2/epoch_12.pth,5f1b80d0c10d44396596b216495ab918f888b5a6155b2cb8fb04f9f3e50cccb0,2,12,12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,prev,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/matched_phase.jsonl,06a3e729c54b8be0a8ff066c0962ef43a1644f3821f03d688e09b27bccedd2b0,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/matched_phase.jsonl,98cdeb2f22b0c95a29ae26fc607c10b5eb22e9fee79a704e97e1b0e68a44b2de,outputs/persistent_artifacts/k1_table1_fullval_065/gt/DIOR-R_test_fullval_gt.jsonl,894f5dac4a05619fb73d197a7475a7f34a517bb13b1c6fa718d31a7090a5c1a5,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger means more reliable; phase_mod and -phase_mod computed directly,True,11738,6920,85383,48195,True
SODA-A,full-validation,rotated_retinanet,PSC,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__SODA-A__seed0/epoch_12.pth,c4e272b2f59096da98ef990385a09998faead416a9b0577586219bbb9141c512,0,12,12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/matched_phase.jsonl,7f4c19e4f20dc246e221453c6b5e6cc71f918412629658c408c49c43c36a907d,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/matched_phase.jsonl,09acdd753960b7d935da2f3f09b502ae9134ef16a0f19c6ffdfd547cfb40bdc8,outputs/persistent_artifacts/k1_table1_fullval_065/gt/SODA-A_val_tiled_fullval_gt.jsonl,68805e7d7098054a62977b3b34bc718cd565b9bb1b89db5118350340b3cc0a5b,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger means more reliable; phase_mod and -phase_mod computed directly,True,22994,433,302699,193045,True
SODA-A,full-validation,rotated_retinanet,PSC,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__SODA-A__seed1/epoch_12.pth,e3c16510c1f675c3792ddd9b746a7c0f7c8c07b463e1b3cf766d51e7cc088580,1,12,12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,prev,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/matched_phase.jsonl,10ab3486106d5cd2963407192a9211ea1597c6ab7ecaedfc5cf28d7ceddc562a,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/matched_phase.jsonl,8aeeaf2d439098da9045644c7cf99d72bcf8b5c0d3f7144b8893ed7e4cf03b84,outputs/persistent_artifacts/k1_table1_fullval_065/gt/SODA-A_val_tiled_fullval_gt.jsonl,68805e7d7098054a62977b3b34bc718cd565b9bb1b89db5118350340b3cc0a5b,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger means more reliable; phase_mod and -phase_mod computed directly,True,22994,434,305938,195192,True
SODA-A,full-validation,rotated_retinanet,PSC,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__SODA-A__seed2/epoch_12.pth,5a4e0b71d79ca33bc82abee4ba962fd0420338626869a8838fe52b2e2bc9180f,2,12,12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed2/matched_phase.jsonl,1c2b6b301af4ba2457223c8d96320c8c2dd0bf9ed915739c9e5b3146174926b3,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed2/matched_phase.jsonl,01d1fe4614a19dc22bf28cd7356c2e77fae0b8f02f5249567ad2e12c0a8ab057,outputs/persistent_artifacts/k1_table1_fullval_065/gt/SODA-A_val_tiled_fullval_gt.jsonl,68805e7d7098054a62977b3b34bc718cd565b9bb1b89db5118350340b3cc0a5b,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger means more reliable; phase_mod and -phase_mod computed directly,True,22994,433,307622,196374,True
FAIR1M-v1.0,train_80->val_20,rotated_retinanet,PSC,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__PSC__FAIR1M__seed0.pth,194de87e72248cc15e6941e040e7d8660cdf3615685fd462deca1d7946cb75a1,0,12,12,12,0.005,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__PSC__FAIR1M__seed0_matched.npz,48f982dd61e792e51459882a46c404c4d0c6de2585b1a142a24c6099ef0ec418,outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__PSC__FAIR1M__seed0_matched.npz,92dd46aa8e585002f7aae9f3381e92f6c5d512b978b579895e658dbe43eaf41f,FAIR1M val_20 evaluator dataset,bound-by-evaluation-json:2c66fb2a97ff4cddf94ddacae2078a44fce003de58ff8e10ff860cc5105104e4,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger means more reliable; phase_mod and -phase_mod computed directly,True,4362,2495,54639,31813,True
FAIR1M-v1.0,train_80->val_20,rotated_retinanet,PSC,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__PSC__FAIR1M__seed1.pth,e1e3b1ae09ac4acba91f76cce601d5288b4b357df2eb113793b4129bf83cda9a,1,12,12,12,0.005,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__PSC__FAIR1M__seed1_matched.npz,f460c0b5cff13caace15031d6bfbfb9022ec2f85aebc06becee84946307cff40,outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__PSC__FAIR1M__seed1_matched.npz,0e395d29a6cd26bbdcda76969dd8a33681043dea824c5ce82a40a04e41e19b35,FAIR1M val_20 evaluator dataset,bound-by-evaluation-json:ee9a6b42d60315f78249ba3898dac1ebf56539776658ed21829cfcce5ad04c52,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger means more reliable; phase_mod and -phase_mod computed directly,True,4362,2508,54668,31978,True
FAIR1M-v1.0,train_80->val_20,rotated_retinanet,PSC,outputs/persistent_artifacts/m4_third_dataset_070/checkpoints/M4_070_final__PSC__FAIR1M__seed2.pth,60d0d05b3f78755429363261414917a3d44e3f664ac5f6ae0a78cb864899de36,2,12,12,12,0.005,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__PSC__FAIR1M__seed2_matched.npz,77d9f64720ae99311fcc37b2df550aaec79d03f88b0cc45954ac4f18b46edbc9,outputs/persistent_artifacts/m4_third_dataset_070/eval/M4_070_final__PSC__FAIR1M__seed2_matched.npz,2ffdfc82ba6fb5dee92f798dd8aa53a1f111fbe0f816dbadd5b64baf3ae89396,FAIR1M val_20 evaluator dataset,bound-by-evaluation-json:5b9752478cada1d1606ee49447bbc6be5dc44b1ad34e9010d2a5122f78f19fb2,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger means more reliable; phase_mod and -phase_mod computed directly,True,4362,2505,54415,31658,True
DIOR-R,full-validation,rotated_retinanet,CSL,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed0/epoch_12.pth,9c17aa7cfef8502f4a38df5a803810fbe45d8ac97c8005eb6e2fb74fc3a2af07,0,12,not separately persisted; evaluated epoch 12,12,0.0025,3 candidates x 3 pilot epochs; AP50 selection,amp,outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/DIOR-R/seed0/matched_native.jsonl,matched-artifact-sha256:0357323f9485db752821829d51e356d6541ec35c36fb10bc76c4755c46b60a3d,outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/DIOR-R/seed0/matched_native.jsonl,0357323f9485db752821829d51e356d6541ec35c36fb10bc76c4755c46b60a3d,outputs/persistent_artifacts/k1_table1_fullval_065/gt/DIOR-R_test_fullval_gt.jsonl,894f5dac4a05619fb73d197a7475a7f34a517bb13b1c6fa718d31a7090a5c1a5,full-val matched endpoint,matched GT ar>=2.1,le90 circular angle error degrees,angle_error>delta_theta_0.75(GT aspect_ratio),exact sorted prefix; AURC implementation frozen; Risk@70/90,larger native signal means more reliable,True,11738,available from image IDs; not recomputed for non-PSC G0 units,51864,recorded in native evaluation,True
