run_id,dataset,head,seed,lr_sweep,selected_lr_record,aggregate_record_lr,actual_final_lr,pilot_epochs,final_epochs,best_epoch,final_epoch,checkpoint_used,checkpoint_exists,AP50,AP75,angle_error,amp_fp32,aggregate_record_amp,fallback,early_stop,failed_candidates,final_model_health,native_uncertainty,can_recompute,schedule_discrepancy
K2_final__PSC__DIOR-R__seed0,DIOR-R,PSC,0,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,12,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed0/epoch_12.pth,True,0.5339,0.3402,1.658,amp,amp,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,phase_mod,True,False
K2_final__PSC__DIOR-R__seed1,DIOR-R,PSC,1,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,12,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed1/epoch_12.pth,True,0.5373,0.3415,1.629,prev,amp,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,phase_mod,True,True
K2_final__PSC__DIOR-R__seed2,DIOR-R,PSC,2,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,12,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed2/epoch_12.pth,True,0.5413,0.3384,1.625,prev,amp,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,phase_mod,True,True
K2_final__PSC__SODA-A__seed0,SODA-A,PSC,0,0.0025;0.005;0.01,0.0025,0.01,0.0025,3,12,11,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__SODA-A__seed0/epoch_12.pth,True,0.598,0.2604,2.054,amp,prev,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,phase_mod,True,True
K2_final__PSC__SODA-A__seed1,SODA-A,PSC,1,0.0025;0.005;0.01,0.0025,0.01,0.0025,3,12,12,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__SODA-A__seed1/epoch_12.pth,True,0.5732,0.2492,2.108,prev,amp,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,phase_mod,True,True
K2_final__PSC__SODA-A__seed2,SODA-A,PSC,2,0.0025;0.005;0.01,0.0025,0.01,0.0025,3,12,12,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__SODA-A__seed2/epoch_12.pth,True,0.5882,0.2638,2.103,amp,amp,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,phase_mod,True,True
K2_final__CSL__DIOR-R__seed0,DIOR-R,CSL,0,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,11,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed0/epoch_12.pth,True,0.3146,0.0916,11.664,amp,prev,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,softmax_margin,True,True
K2_final__CSL__DIOR-R__seed1,DIOR-R,CSL,1,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,11,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed1/epoch_12.pth,True,0.2977,0.0463,12.16,amp,prev,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,softmax_margin,True,True
K2_final__CSL__DIOR-R__seed2,DIOR-R,CSL,2,0.0025;0.005;0.01,0.0025,0.0025,0.0025,3,12,11,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__DIOR-R__seed2/epoch_12.pth,True,0.3249,0.0533,12.624,amp,prev,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,softmax_margin,True,True
K2_final__CSL__SODA-A__seed0,SODA-A,CSL,0,0.0025;0.005;0.01,0.005,0.0025,0.005,3,12,11,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__SODA-A__seed0/epoch_12.pth,True,0.3178,0.0536,18.93,amp,prev,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,softmax_margin,True,True
K2_final__CSL__SODA-A__seed1,SODA-A,CSL,1,0.0025;0.005;0.01,0.005,0.0025,0.005,3,12,9,12,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/work_dirs/k2/K2_final__CSL__SODA-A__seed1/epoch_12.pth,True,0.3622,0.0496,14.437,amp,amp,recorded in health-gate attempts,none for completed final,see health gate,COMPLETE_NONEMPTY,softmax_margin,True,True
