dataset,seed,endpoint,cluster_unit,metric,phase_estimate,phase_ci_lo,phase_ci_hi,negative_estimate,negative_ci_lo,negative_ci_hi,paired_delta_phase_minus_negative,delta_ci_lo,delta_ci_hi,replicates,resample_id_scheme
DIOR-R,0,continuous_angle_error,image,nrc,1.1998360054558437,1.1604927600011403,1.2429116914419165,1.1484065909799268,1.0971467433557511,1.194594600771492,0.05142941447591687,-0.024464656424502105,0.13966281296769653,400,fixed_seed_074_0_continuous_angle_error_image
DIOR-R,0,continuous_angle_error,image,aurc,2.0009615133675016,1.9408407038260838,2.0564399948897965,1.9349714128261228,1.8228356542342354,2.032951468631483,0.06599010054137877,-0.03178398181870249,0.17668352934060158,400,fixed_seed_074_0_continuous_angle_error_image
DIOR-R,0,continuous_angle_error,image,risk70,1.7126794304438804,1.647635977817348,1.7754754371721237,1.454568044051945,1.3626510492919586,1.5465290100677007,0.2581113863919353,0.19495471960808458,0.3258727248326657,400,fixed_seed_074_0_continuous_angle_error_image
DIOR-R,0,continuous_angle_error,image,risk90,1.5871139703973727,1.5155167915866086,1.6549559633090676,1.6924440445879554,1.6103565598044256,1.7704934986916807,-0.10533007419058271,-0.1276287456968002,-0.08470673567307842,400,fixed_seed_074_0_continuous_angle_error_image
DIOR-R,0,continuous_angle_error,mother_scene,nrc,1.1998360054558437,1.1644659438493485,1.2358097753264181,1.1484065909799268,1.1024864495092639,1.193276992066778,0.05142941447591687,-0.026983699573377443,0.1277047402586249,400,fixed_seed_074_0_continuous_angle_error_mother_scene
DIOR-R,0,continuous_angle_error,mother_scene,aurc,2.0009615133675016,1.945429650085512,2.0571586066366194,1.9349714128261228,1.8403117560913222,2.029944043745685,0.06599010054137877,-0.03639218795460815,0.1629928618761653,400,fixed_seed_074_0_continuous_angle_error_mother_scene
DIOR-R,0,continuous_angle_error,mother_scene,risk70,1.7126794304438804,1.6461105114738037,1.7757752506938074,1.454568044051945,1.3826385075871466,1.5384601910423803,0.2581113863919353,0.1978975099407739,0.3137967246500186,400,fixed_seed_074_0_continuous_angle_error_mother_scene
DIOR-R,0,continuous_angle_error,mother_scene,risk90,1.5871139703973727,1.530020431717215,1.6501277032766373,1.6924440445879554,1.6280780976886144,1.7621917721917286,-0.10533007419058271,-0.12779918102430898,-0.08707833850053477,400,fixed_seed_074_0_continuous_angle_error_mother_scene
DIOR-R,0,geometry_normalized_severe_event,image,nrc,0.9519933838431957,0.8532763436291833,1.0589489839856538,1.5086363347507479,1.3405262133986833,1.666891157827887,-0.5566429509075522,-0.7946702942188243,-0.3110411425779631,400,fixed_seed_074_0_geometry_normalized_severe_event_image
DIOR-R,0,geometry_normalized_severe_event,image,aurc,0.00863818782333691,0.007216734827431205,0.010027704629298466,0.013664861201448896,0.01143590003723948,0.016018815251135857,-0.005026673378111987,-0.0074558146287239425,-0.002775513854599077,400,fixed_seed_074_0_geometry_normalized_severe_event_image
DIOR-R,0,geometry_normalized_severe_event,image,risk70,0.007899875732291851,0.006655557516451174,0.009303539152696029,0.008550801822593053,0.00720251878272378,0.010128974470274372,-0.0006509260903012019,-0.001803242140922109,0.0003405640844289693,400,fixed_seed_074_0_geometry_normalized_severe_event_image
